source,attribution,collection,documentation-url,endpoint,licence,organisation,pipeline,entry-date,start-date,end-date
835185c66d94fe65d100551655449792,,developer-contributions,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/,bec467da0d8851388b931dae57ffa5e79653f3e271981c08e8c1a5c0e7b1140b,,local-authority-eng:ADU,developer-agreement-transaction,2020-12-21T00:00:00Z,2020-12-21,
5f03eda8fbe18aa512f241cf126c9b15,,developer-contributions,https://www.ambervalley.gov.uk/planningobligations,0f58cc93427544f40cfc63b29809bed23c6485923e095d2c53bb0ee3008d309e,,local-authority-eng:AMB,developer-agreement-transaction,2021-01-11T00:00:00Z,2021-01-11,
41373636b178c1bf5675ba1a680feaf6,,developer-contributions,https://www.ashford.gov.uk/planning-and-development/planning-policy/developer-contributions/,6171e63f0cbf308ab07f92ae90cde5e8a45091869efca6d2ac4f8cb197aa25eb,,local-authority-eng:ASF,developer-agreement-transaction,2020-12-22T00:00:00Z,2020-12-22,
a24d78c81d98180ea47f0a28ed7d758e,,developer-contributions,https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions/1,2e23473d44aeb29a9fab2502f2da4710fe760574abfefded48f2f211f7e195ee,,local-authority-eng:BOL,developer-agreement-transaction,2020-12-23T00:00:00Z,2020-12-23,
b026e722a0587cd9aea1d7a597263c51,,developer-contributions,,b4b23d8c1e653a4e20c50641461b6553eac09f6087a13256547dee0f18ae7915,,local-authority-eng:BOT,developer-agreement-transaction,2020-12-22T00:00:00Z,2020-12-22,
c25c8ba73ba7f4cef797b0ee51ec9dd1,,developer-contributions,https://www.braintree.gov.uk/homepage/188/developer-agreements-contributions,16af08c6b63f522fe12ee84045b3a55a13a8de4d0ae89505bae175dd3fbb931e,,local-authority-eng:BRA,developer-agreement-transaction,2021-01-04T00:00:00Z,2021-01-04,
55279e770c0b4297cac05d7fc7d480df,,developer-contributions,https://www.broxbourne.gov.uk/ifs,a06836755418154220d78214dc67d2aef22e109b38e0ea1eaf4a18ca67e54c5b,,local-authority-eng:BRX,developer-agreement-transaction,2020-12-22T00:00:00Z,2020-12-22,
d4a94a65185caa95713b661170fe8d0c,,developer-contributions,https://www.charnwood.gov.uk/pages/106_agreements,0f6f5ae1fa5632f2b8cc08891bb3157541117ab29bdb64f55363008a734772f7,,local-authority-eng:CHA,developer-agreement-transaction,2020-12-23T00:00:00Z,2020-12-23,
3c70a02d9fc59a190fae22613b192db2,,developer-contributions,https://www.cheltenham.gov.uk/developer-agreement-transaction,e4a3bbbdbc80d48650d16eb4c050c6530228118b0f0da133a3911b0d07795b4a,,local-authority-eng:CHT,developer-agreement-transaction,2021-01-04T00:00:00Z,2021-01-04,
67018be010975475c2271fbb96f1c84e,,developer-contributions,https://cumbria.gov.uk/planning-environment/ifs.asp,2150658d50678c26993baec2c52da50325463e9bca3a35fc5b4bccd6fccd5e51,,local-authority-eng:CMA,developer-agreement-transaction,2021-01-04T00:00:00Z,2021-01-04,
