end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,4400000,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/01030/FUL-rec
,,4400001,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/02146/FUL-rec
,,4400002,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/02215/RMA-dem
,,4400003,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/01055/RMAM-rec
,,4400004,,,local-authority-eng:NEA,developer-agreement-transaction,,,,15/01295/FULM-dem
,,4400005,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/01846/FUL-dem
,,4400006,,,local-authority-eng:NEA,developer-agreement-transaction,,,,15/01295/FULM-rec
,,4400007,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/02304/FUL-dem
,,4400008,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/02215/RMA-rec
,,4400009,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/01846/FUL-rec
,,4400010,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/01645/RMAM-rec
,,4400011,,,local-authority-eng:NEA,developer-agreement-transaction,,,,14/00161/FULM-rec
,,4400012,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/02153/FUL-dem
,,4400013,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/00029/FUL-rec
,,4400014,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/00029/FUL-dem
,,4400015,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/02304/FUL-rec
,,4400016,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/00597/FULM-dem
,,4400017,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/01248/FUL-dem
,,4400018,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/00597/FULM-rec
,,4400019,,,local-authority-eng:NEA,developer-agreement-transaction,,,,17/01248/FUL-rec
,,4400020,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/00526/RMAM-dem
,,4400021,,,local-authority-eng:NEA,developer-agreement-transaction,,,,18/00953/FUL-dem
