dataset,entity-minimum,entity-maximum,organisation
community-infrastructure-levy-schedule,900009,900009,government-organisation:D1342
community-infrastructure-levy-schedule,900072,900072,government-organisation:D1342
community-infrastructure-levy-schedule,900135,900138,government-organisation:D1342
community-infrastructure-levy-schedule,900000,900000,local-authority:ARU
community-infrastructure-levy-schedule,900001,900001,local-authority:BAB
community-infrastructure-levy-schedule,900004,900004,local-authority:BAE
community-infrastructure-levy-schedule,900002,900002,local-authority:BAI
community-infrastructure-levy-schedule,900003,900003,local-authority:BAN
community-infrastructure-levy-schedule,900005,900005,local-authority:BAS
community-infrastructure-levy-schedule,900006,900006,local-authority:BDF
community-infrastructure-levy-schedule,900086,900086,local-authority:BDG
community-infrastructure-levy-schedule,900088,900088,local-authority:BEX
community-infrastructure-levy-schedule,900007,900007,local-authority:BIR
community-infrastructure-levy-schedule,900008,900008,local-authority:BLA
community-infrastructure-levy-schedule,900087,900087,local-authority:BNE
community-infrastructure-levy-schedule,900015,900015,local-authority:BNH
community-infrastructure-levy-schedule,900010,900012,local-authority:BPC
community-infrastructure-levy-schedule,900013,900013,local-authority:BRC
community-infrastructure-levy-schedule,900037,900037,local-authority:BRD
community-infrastructure-levy-schedule,900018,900018,local-authority:BRM
community-infrastructure-levy-schedule,900017,900017,local-authority:BRO
community-infrastructure-levy-schedule,900020,900020,local-authority:BRT
community-infrastructure-levy-schedule,900014,900014,local-authority:BRW
community-infrastructure-levy-schedule,900019,900019,local-authority:BRX
community-infrastructure-levy-schedule,900016,900016,local-authority:BST
community-infrastructure-levy-schedule,900021,900021,local-authority:BUC
community-infrastructure-levy-schedule,900022,900022,local-authority:CAB
community-infrastructure-levy-schedule,900023,900023,local-authority:CAM
community-infrastructure-levy-schedule,900024,900024,local-authority:CAN
community-infrastructure-levy-schedule,900026,900026,local-authority:CAS
community-infrastructure-levy-schedule,900025,900025,local-authority:CAT
community-infrastructure-levy-schedule,900027,900027,local-authority:CBF
community-infrastructure-levy-schedule,900028,900028,local-authority:CHA
community-infrastructure-levy-schedule,900032,900032,local-authority:CHE
community-infrastructure-levy-schedule,900035,900035,local-authority:CHI
community-infrastructure-levy-schedule,900029,900029,local-authority:CHL
community-infrastructure-levy-schedule,900036,900036,local-authority:CHO
community-infrastructure-levy-schedule,900031,900031,local-authority:CHR
community-infrastructure-levy-schedule,900034,900034,local-authority:CHS
community-infrastructure-levy-schedule,900030,900030,local-authority:CHT
community-infrastructure-levy-schedule,900033,900033,local-authority:CHW
community-infrastructure-levy-schedule,900041,900041,local-authority:COL
community-infrastructure-levy-schedule,900042,900042,local-authority:CON
community-infrastructure-levy-schedule,900043,900043,local-authority:COT
community-infrastructure-levy-schedule,900044,900044,local-authority:CRW
community-infrastructure-levy-schedule,900045,900045,local-authority:DAC
community-infrastructure-levy-schedule,900046,900046,local-authority:DAL
community-infrastructure-levy-schedule,900047,900047,local-authority:DAR
community-infrastructure-levy-schedule,900049,900049,local-authority:DBY
community-infrastructure-levy-schedule,900050,900050,local-authority:DEB
community-infrastructure-levy-schedule,900048,900048,local-authority:DER
community-infrastructure-levy-schedule,900051,900051,local-authority:DEV
community-infrastructure-levy-schedule,900052,900052,local-authority:DNC
community-infrastructure-levy-schedule,900057,900057,local-authority:DOV
community-infrastructure-levy-schedule,900053,900056,local-authority:DST
community-infrastructure-levy-schedule,900058,900058,local-authority:DUD
community-infrastructure-levy-schedule,900067,900067,local-authority:EAS
community-infrastructure-levy-schedule,900059,900059,local-authority:ECA
community-infrastructure-levy-schedule,900060,900060,local-authority:EDE
community-infrastructure-levy-schedule,900061,900061,local-authority:EHA
community-infrastructure-levy-schedule,900068,900068,local-authority:ELM
community-infrastructure-levy-schedule,900069,900069,local-authority:EPS
community-infrastructure-levy-schedule,900062,900062,local-authority:ESK
community-infrastructure-levy-schedule,900063,900066,local-authority:ESX
community-infrastructure-levy-schedule,900070,900070,local-authority:EXE
community-infrastructure-levy-schedule,900071,900071,local-authority:FAR
community-infrastructure-levy-schedule,900073,900073,local-authority:GAT
community-infrastructure-levy-schedule,900074,900074,local-authority:GED
community-infrastructure-levy-schedule,900077,900077,local-authority:GLA
community-infrastructure-levy-schedule,900075,900075,local-authority:GLO
community-infrastructure-levy-schedule,900076,900076,local-authority:GOS
community-infrastructure-levy-schedule,900078,900078,local-authority:HAA
community-infrastructure-levy-schedule,900079,900079,local-authority:HER
community-infrastructure-levy-schedule,900080,900080,local-authority:HOR
community-infrastructure-levy-schedule,900081,900081,local-authority:HUN
community-infrastructure-levy-schedule,900082,900082,local-authority:KIR
community-infrastructure-levy-schedule,900083,900083,local-authority:LDS
community-infrastructure-levy-schedule,900084,900084,local-authority:LEE
community-infrastructure-levy-schedule,900038,900038,local-authority:LIC
community-infrastructure-levy-schedule,900085,900085,local-authority:LIF
community-infrastructure-levy-schedule,900039,900039,local-authority:LND
community-infrastructure-levy-schedule,900097,900097,local-authority:SGC
community-infrastructure-levy-schedule,900089,900089,local-authority:SHR
community-infrastructure-levy-schedule,900098,900098,local-authority:SNO
community-infrastructure-levy-schedule,900090,900090,local-authority:SOL
community-infrastructure-levy-schedule,900102,900102,local-authority:SOS
community-infrastructure-levy-schedule,900099,900099,local-authority:SOX
community-infrastructure-levy-schedule,900100,900100,local-authority:SRI
community-infrastructure-levy-schedule,900101,900101,local-authority:STH
community-infrastructure-levy-schedule,900105,900105,local-authority:STO
community-infrastructure-levy-schedule,900104,900104,local-authority:STR
community-infrastructure-levy-schedule,900103,900103,local-authority:STV
community-infrastructure-levy-schedule,900091,900096,local-authority:SUA
community-infrastructure-levy-schedule,900106,900106,local-authority:SUR
community-infrastructure-levy-schedule,900107,900107,local-authority:SWD
community-infrastructure-levy-schedule,900109,900109,local-authority:TAN
community-infrastructure-levy-schedule,900108,900108,local-authority:TAW
community-infrastructure-levy-schedule,900110,900110,local-authority:TEI
community-infrastructure-levy-schedule,900111,900111,local-authority:TEN
community-infrastructure-levy-schedule,900112,900112,local-authority:TES
community-infrastructure-levy-schedule,900113,900113,local-authority:TEW
community-infrastructure-levy-schedule,900114,900114,local-authority:THE
community-infrastructure-levy-schedule,900115,900115,local-authority:TOB
community-infrastructure-levy-schedule,900116,900116,local-authority:TRF
community-infrastructure-levy-schedule,900117,900117,local-authority:VAL
community-infrastructure-levy-schedule,900121,900121,local-authority:WAE
community-infrastructure-levy-schedule,900120,900120,local-authority:WAT
community-infrastructure-levy-schedule,900119,900119,local-authority:WAW
community-infrastructure-levy-schedule,900124,900124,local-authority:WBK
community-infrastructure-levy-schedule,900122,900122,local-authority:WEA
community-infrastructure-levy-schedule,900123,900123,local-authority:WEW
community-infrastructure-levy-schedule,900139,900139,local-authority:WFUA
community-infrastructure-levy-schedule,900129,900129,local-authority:WIN
community-infrastructure-levy-schedule,900118,900118,local-authority:WKF
community-infrastructure-levy-schedule,900125,900125,local-authority:WLA
community-infrastructure-levy-schedule,900126,900126,local-authority:WLI
community-infrastructure-levy-schedule,900127,900128,local-authority:WNUA
community-infrastructure-levy-schedule,900132,900132,local-authority:WOC
community-infrastructure-levy-schedule,900130,900130,local-authority:WOI
community-infrastructure-levy-schedule,900131,900131,local-authority:WOK
community-infrastructure-levy-schedule,900133,900133,local-authority:WOT
community-infrastructure-levy-schedule,900040,900040,local-authority:WSM
community-infrastructure-levy-schedule,900134,900134,local-authority:WYC
