prefix,resource,organisation,reference,entity
employment-allocation,,local-authority-eng:ESK,SCLP12.20,5900000
employment-allocation,,local-authority-eng:ESK,SCLP12.29,5900001
employment-allocation,,local-authority-eng:ESK,SCLP12.7,5900002
employment-allocation,,local-authority-eng:ESK,SCLP12.8,5900003
employment-allocation,,local-authority-eng:ESK,SCLP12.9,5900004
employment-allocation,,local-authority-eng:ESK,SCLP12.10,5900005
employment-allocation,,local-authority-eng:ESK,SCLP12.21,5900006
employment-allocation,,local-authority-eng:ESK,SCLP12.35,5900007
employment-allocation,,local-authority-eng:ESK,SCLP12.36,5900008
employment-allocation,,local-authority-eng:ESK,SCLP12.37,5900009
employment-allocation,,local-authority-eng:ESK,SCLP12.38,5900010
employment-allocation,,local-authority-eng:ESK,SCLP12.39,5900011
employment-allocation,,local-authority-eng:ESK,SCLP12.40,5900012
employment-allocation,,local-authority-eng:ESK,SCLP12.41,5900013
employment-allocation,,local-authority-eng:ESK,WLP2.17,5900014
employment-allocation,,local-authority-eng:ESK,WLP2.18,5900015
employment-allocation,,local-authority-eng:ESK,WLP3.3,5900016
employment-allocation,,local-authority-eng:ESK,WLP4.6,5900017
