prefix,resource,entry-number,organisation,reference,entity,start-date,end-date,entry-date,endpoint
brownfield-site,,,local-authority-eng:CON,BR1,1800000,,,,
brownfield-site,,,local-authority-eng:CON,BR2,1800001,,,,
brownfield-site,,,local-authority-eng:CON,BR4,1800002,,,,
brownfield-site,,,local-authority-eng:CON,BR5,1800003,,,,
brownfield-site,,,local-authority-eng:CON,BR14,1800004,,,,
brownfield-site,,,local-authority-eng:CON,BR16,1800005,,,,
brownfield-site,,,local-authority-eng:CON,BR17,1800006,,,,
brownfield-site,,,local-authority-eng:CON,BR18,1800007,,,,
brownfield-site,,,local-authority-eng:CON,BR20,1800008,,,,
brownfield-site,,,local-authority-eng:CON,BR21,1800009,,,,
brownfield-site,,,local-authority-eng:CON,BR22,1800010,,,,
brownfield-site,,,local-authority-eng:CON,BR24,1800011,,,,
brownfield-site,,,local-authority-eng:CON,BR25,1800012,,,,
brownfield-site,,,local-authority-eng:CON,BR29,1800013,,,,
brownfield-site,,,local-authority-eng:CON,BR33,1800014,,,,
brownfield-site,,,local-authority-eng:CON,BR34,1800015,,,,
brownfield-site,,,local-authority-eng:CON,BR35,1800016,,,,
brownfield-site,,,local-authority-eng:CON,BR36,1800017,,,,
brownfield-site,,,local-authority-eng:CON,BR37,1800018,,,,
brownfield-site,,,local-authority-eng:CON,BR38,1800019,,,,
brownfield-site,,,local-authority-eng:CON,BR39,1800020,,,,
brownfield-site,,,local-authority-eng:CON,BR42,1800021,,,,
brownfield-site,,,local-authority-eng:CON,BR43,1800022,,,,
brownfield-site,,,local-authority-eng:CON,BR44,1800023,,,,
brownfield-site,,,local-authority-eng:CON,BR45,1800024,,,,
brownfield-site,,,local-authority-eng:CON,BR46,1800025,,,,
brownfield-site,,,local-authority-eng:CON,BR50,1800026,,,,
brownfield-site,,,local-authority-eng:CON,BR52,1800027,,,,
brownfield-site,,,local-authority-eng:CON,BR53,1800028,,,,
brownfield-site,,,local-authority-eng:CON,BR57,1800029,,,,
brownfield-site,,,local-authority-eng:CON,BR58,1800030,,,,
brownfield-site,,,local-authority-eng:CON,BR60,1800031,,,,
brownfield-site,,,local-authority-eng:CON,BR61,1800032,,,,
brownfield-site,,,local-authority-eng:CON,BR63,1800033,,,,
brownfield-site,,,local-authority-eng:CON,BR65,1800034,,,,
brownfield-site,,,local-authority-eng:CON,BR67,1800035,,,,
brownfield-site,,,local-authority-eng:CON,BR69,1800036,,,,
brownfield-site,,,local-authority-eng:CON,BR70,1800037,,,,
brownfield-site,,,local-authority-eng:CON,BR80,1800038,,,,
brownfield-site,,,local-authority-eng:CON,BR84,1800039,,,,
brownfield-site,,,local-authority-eng:CON,BR86,1800040,,,,
brownfield-site,,,local-authority-eng:CON,BR87,1800041,,,,
brownfield-site,,,local-authority-eng:CON,BR89,1800042,,,,
brownfield-site,,,local-authority-eng:CON,BR90,1800043,,,,
brownfield-site,,,local-authority-eng:CON,BR97,1800044,,,,
brownfield-site,,,local-authority-eng:CON,BR102,1800045,,,,
brownfield-site,,,local-authority-eng:CON,BR108,1800046,,,,
brownfield-site,,,local-authority-eng:CON,BR109,1800047,,,,
brownfield-site,,,local-authority-eng:CON,BR110,1800048,,,,
brownfield-site,,,local-authority-eng:CON,BR111,1800049,,,,
brownfield-site,,,local-authority-eng:CON,BR112,1800050,,,,
brownfield-site,,,local-authority-eng:CON,BR113,1800051,,,,
brownfield-site,,,local-authority-eng:CON,BR114,1800052,,,,
brownfield-site,,,local-authority-eng:CON,BR115,1800053,,,,
brownfield-site,,,local-authority-eng:CON,BR116,1800054,,,,
brownfield-site,,,local-authority-eng:CON,BR117,1800055,,,,
brownfield-site,,,local-authority-eng:CON,BR118,1800056,,,,
brownfield-site,,,local-authority-eng:CON,BR119,1800057,,,,
brownfield-site,,,local-authority-eng:CON,BR120,1800058,,,,
brownfield-site,,,local-authority-eng:CON,BR121,1800059,,,,
brownfield-site,,,local-authority-eng:CON,BR122,1800060,,,,
brownfield-site,,,local-authority-eng:CON,BR124,1800061,,,,
brownfield-site,,,local-authority-eng:CON,BR125,1800062,,,,
brownfield-site,,,local-authority-eng:CON,BR126,1800063,,,,
brownfield-site,,,local-authority-eng:CON,BR127,1800064,,,,
brownfield-site,,,local-authority-eng:CON,BR128,1800065,,,,
brownfield-site,,,local-authority-eng:CON,BR129,1800066,,,,
brownfield-site,,,local-authority-eng:CON,BR130,1800067,,,,
brownfield-site,,,local-authority-eng:CON,BR131,1800068,,,,
brownfield-site,,,local-authority-eng:CON,BR132,1800069,,,,
brownfield-site,,,local-authority-eng:CON,BR133,1800070,,,,
brownfield-site,,,local-authority-eng:CON,BR134,1800071,,,,
brownfield-site,,,local-authority-eng:CON,BR135,1800072,,,,
brownfield-site,,,local-authority-eng:CON,BR136,1800073,,,,
brownfield-site,,,local-authority-eng:CON,BR137,1800074,,,,
brownfield-site,,,local-authority-eng:CON,BR138,1800075,,,,
brownfield-site,,,local-authority-eng:CON,BR139,1800076,,,,
brownfield-site,,,local-authority-eng:CON,BR140,1800077,,,,
brownfield-site,,,local-authority-eng:CON,BR141,1800078,,,,
brownfield-site,,,local-authority-eng:CON,BR142,1800079,,,,
brownfield-site,,,local-authority-eng:CON,BR143,1800080,,,,
brownfield-site,,,local-authority-eng:CON,BR144,1800081,,,,
brownfield-site,,,local-authority-eng:CON,BR145,1800082,,,,
brownfield-site,,,local-authority-eng:CON,BR146,1800083,,,,
brownfield-site,,,local-authority-eng:CON,BR147,1800084,,,,
brownfield-site,,,local-authority-eng:CON,BR148,1800085,,,,
brownfield-site,,,local-authority-eng:CON,BR149,1800086,,,,
brownfield-site,,,local-authority-eng:CON,BR150,1800087,,,,
brownfield-site,,,local-authority-eng:CON,BR151,1800088,,,,
brownfield-site,,,local-authority-eng:CON,BR152,1800089,,,,
brownfield-site,,,local-authority-eng:CON,BR153,1800090,,,,
brownfield-site,,,local-authority-eng:CON,BR154,1800091,,,,
brownfield-site,,,local-authority-eng:CON,BR155,1800092,,,,
brownfield-site,,,local-authority-eng:CON,BR156,1800093,,,,
brownfield-site,,,local-authority-eng:CON,BR157,1800094,,,,
brownfield-site,,,local-authority-eng:CON,BR158,1800095,,,,
brownfield-site,,,local-authority-eng:CON,BR159,1800096,,,,
brownfield-site,,,local-authority-eng:CON,BR160,1800097,,,,
brownfield-site,,,local-authority-eng:CON,BR161,1800098,,,,
brownfield-site,,,local-authority-eng:CON,BR162,1800099,,,,
brownfield-site,,,local-authority-eng:CON,BR163,1800100,,,,
