column,dataset,end-date,endpoint,entry-date,field,resource,start-date
WKT,brownfield-site,,,,geometry,,
OrganisationURI,brownfield-site,,,,organisation,,
organisati,brownfield-site,,,,organisation,,
SiteReference,brownfield-site,,,,reference,,
siterefere,brownfield-site,,,,reference,,
SiteNameAddress,brownfield-site,,,,name,,
sitenamead,brownfield-site,,,,name,,
FirstAddedDate,brownfield-site,,,,start-date,,
LastUpdatedDate,brownfield-site,,,,entry-date,,
EndDate,brownfield-site,,,,end-date,,
