old-entity,status,entity,notes,end-date,entry-date,start-date
4220533,410,,Retiring fake MHCLG template data for local-authority:SHR-local-plan,,2026-06-10,
4220696,410,,Retiring fake MHCLG template data for local-authority:CBF-local-plan,,2026-05-20,
4220701,410,,Retiring fake MHCLG template data for local-authority:CHE-local-plan,,2026-06-16,
4220702,410,,Retiring fake MHCLG template data for local-authority:CHW-local-plan,,2026-06-16,
4220704,410,,Retiring fake MHCLG template data for local-authority:CHI-local-plan,,2026-06-16,
4220715,410,,Retiring fake MHCLG template data for local-authority:IOS-local-plan,,2026-06-05,
4220729,410,,Retiring fake MHCLG template data for local-authority:DUR-local-plan,,2026-05-20,
4220733,410,,Retiring fake MHCLG template data for local-authority:EHE-local-plan,,2026-06-16,
4220737,410,,Retiring fake MHCLG template data for local-authority:ESK-local-plan,,2026-06-05,
4220739,410,,Retiring fake MHCLG template data for local-authority:EAT-local-plan,,2026-06-23,
4220749,410,,Retiring fake MHCLG template data for local-authority:SHE-local-plan,,2026-06-24,
4220758,410,,Retiring fake MHCLG template data for local-authority:GRT-local-plan,,2026-06-16,
4220762,410,,Retiring fake MHCLG template data for local-authority:HAT-local-plan,,2026-05-20,
4220771,410,,Retiring fake MHCLG template data for local-authority:HOR-local-plan,,2026-06-26,
4220775,410,,Retiring fake MHCLG template data for local-authority:IPS-local-plan,,2026-06-25,
4220780,410,,Retiring fake MHCLG template data for local-authority:LAC-local-plan,,2026-06-05,
4220814,410,,Retiring fake MHCLG template data for local-authority:LUT-local-plan,,2026-06-16,
4220822,410,,Retiring fake MHCLG template data for local-authority:MDE-local-plan,,2026-06-16,
4220860,410,,Retiring fake MHCLG template data for local-authority:PLY-local-plan,,2026-06-26,
4220870,410,,Retiring fake MHCLG template data for local-authority:ROS-local-plan,,2026-05-20,
4220880,410,,Retiring fake MHCLG template data for local-authority:RUH-local-plan,,2026-06-05,
4220884,410,,Retiring fake MHCLG template data for local-authority:SFT-local-plan,,2026-06-25,
4220887,410,,Retiring fake MHCLG template data for local-authority:SHR-local-plan,,2026-06-05,
4220890,410,,Retiring fake MHCLG template data for local-authority:SUA-local-plan,,2026-05-20,
4220899,410,,Retiring fake MHCLG template data for local-authority:SOX-local-plan,,2026-06-23,
4220901,410,,Retiring fake MHCLG template data for local-authority:SST-local-plan,,2026-06-24,
4220907,410,,Retiring fake MHCLG template data for local-authority:SAL-local-plan,,2026-06-25,
4220938,410,,Retiring fake MHCLG template data for local-authority:VAL-local-plan,,2026-06-23,
4220947,410,,Retiring fake MHCLG template data for local-authority:WBK-local-plan,,2026-06-25,
4220959,410,,Retiring fake MHCLG template data for local-authority:WOI-local-plan,,2026-06-23,
4230119,410,,spurious,2024-12-06,2025-03-25,
4230226,410,,spurious,2024-12-06,2025-03-25,
5101725,410,,Local plan event removed from specification,,2026-02-25,
5101726,410,,Local plan event removed from specification,,2026-02-25,
5101750,410,,Local plan event removed from specification,,2026-02-25,
5101751,410,,Local plan event removed from specification,,2026-02-25,
5101775,410,,Local plan event removed from specification,,2026-02-25,
5101776,410,,Local plan event removed from specification,,2026-02-25,
5101777,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101778,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101779,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101780,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101781,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101782,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101783,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101784,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101785,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101786,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101787,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101788,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101789,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101790,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101791,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101792,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101793,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101794,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101795,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101796,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101797,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101798,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101799,410,,Retiring fake MHCLG template data for local-authority:CHI-plan-timetable,,2026-06-16,
5101800,410,,Local plan event removed from specification,,2026-02-25,
5101801,410,,Local plan event removed from specification,,2026-02-25,
5101825,410,,Local plan event removed from specification,,2026-02-25,
5101826,410,,Local plan event removed from specification,,2026-02-25,
5101850,410,,Local plan event removed from specification,,2026-02-25,
5101851,410,,Local plan event removed from specification,,2026-02-25,
5101875,410,,Local plan event removed from specification,,2026-02-25,
5101876,410,,Local plan event removed from specification,,2026-02-25,
5101900,410,,Local plan event removed from specification,,2026-02-25,
5101901,410,,Local plan event removed from specification,,2026-02-25,
5101925,410,,Local plan event removed from specification,,2026-02-25,
5101926,410,,Local plan event removed from specification,,2026-02-25,
5101950,410,,Local plan event removed from specification,,2026-02-25,
5101951,410,,Local plan event removed from specification,,2026-02-25,
5101975,410,,Local plan event removed from specification,,2026-02-25,
5101976,410,,Local plan event removed from specification,,2026-02-25,
5101977,410,,Retiring fake MHCLG template data for local-authority:HOR-plan-timetable,,2026-06-26,
5101978,410,,Retiring fake MHCLG template data for local-authority:HOR-plan-timetable,,2026-06-26,
5101979,410,,Retiring fake MHCLG template data for local-authority:HOR-plan-timetable,,2026-06-26,
