datasets,organisations,operation,parameters,name,description,notes,severity,responsibility,end-date,entry-date,start-date,schedule
development-plan-document,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no development-plan-document entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
development-plan-document-type,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no development-plan-document-type entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
local-plan,,check_fields_required_after_plan_event,"{""fields"":[""period-end-date"",""document-url"",""required-housing""],""plan_timetable_path"":""var/cache/plan-timetable.sqlite3""}",Check stage dependent fields are provided once consultation has started,"A test to check that period-end-date, document-url and required-housing are provided for local-plan records which have passed the proposed-plan-consultation-start event on their plan timetable.",,error,external,,2026-08-11,2026-08-11,
local-plan,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no local-plan entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
local-plan-boundary,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no local-plan-boundary entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
local-plan-housing,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no local-plan-housing entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
minerals-plan,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no minerals-plan entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
minerals-plan-boundary,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no minerals-plan-boundary entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
plan-event,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no plan-event entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
plan-timetable,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no plan-timetable entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
supplementary-plan;minerals-plan;waste-plan,,check_fields_required_after_plan_event,"{""fields"":[""period-end-date"",""document-url""],""plan_timetable_path"":""var/cache/plan-timetable.sqlite3""}",Check stage dependent fields are provided once consultation has started,"A test to check that period-end-date and document-url are provided for supplementary-plan, minerals-plan and waste-plan records which have passed the proposed-plan-consultation-start event on their plan timetable.",,error,external,,2026-08-11,2026-08-11,
waste-plan,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no waste-plan entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
waste-plan-boundary,government-organisation:D1342,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no waste-plan-boundary entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08,
