end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,396,,,,national-park-authority,,,,Q20198711
,,396,,,,wikidata,,,,Q20198711
,,396,,,,billing-authority,,,,E6410
,,396,,,,statistical-geography,,,,E26000010
,,397,,,,national-park-authority,,,,Q27159704
,,397,,,,wikidata,,,,Q27159704
,,397,,,,billing-authority,,,,E6403
,,397,,,,statistical-geography,,,,E26000003
,,398,,,,national-park-authority,,,,Q27178932
,,398,,,,wikidata,,,,Q27178932
,,398,,,,billing-authority,,,,E6407
,,398,,,,statistical-geography,,,,E26000008
,,399,,,,national-park-authority,,,,Q4972284
,,399,,,,wikidata,,,,Q4972284
,,399,,,,billing-authority,,,,E6408
,,399,,,,statistical-geography,,,,E26000007
,,400,,,,national-park-authority,,,,Q5225646
,,400,,,,wikidata,,,,Q5225646
,,400,,,,billing-authority,,,,E6401
,,400,,,,statistical-geography,,,,E26000001
,,401,,,,national-park-authority,,,,Q72617158
,,401,,,,wikidata,,,,Q72617158
,,401,,,,billing-authority,,,,E6409
,,401,,,,statistical-geography,,,,E26000009
,,402,,,,national-park-authority,,,,Q72617669
,,402,,,,wikidata,,,,Q72617669
,,402,,,,billing-authority,,,,E6404
,,402,,,,statistical-geography,,,,E26000005
,,403,,,,national-park-authority,,,,Q72617784
,,403,,,,wikidata,,,,Q72617784
,,403,,,,billing-authority,,,,E6402
,,403,,,,statistical-geography,,,,E26000002
,,404,,,,national-park-authority,,,,Q72617890
,,404,,,,wikidata,,,,Q72617890
,,404,,,,billing-authority,,,,E6405
,,404,,,,statistical-geography,,,,E26000004
,,405,,,,national-park-authority,,,,Q72617988
,,405,,,,wikidata,,,,Q72617988
,,405,,,,billing-authority,,,,E6406
,,405,,,,statistical-geography,,,,E26000006
