old-entity,status,entity,notes,end-date,entry-date,start-date
45000976,410,,entities don't exist in updated endpoint,,,
45000977,410,,entities don't exist in updated endpoint,,,
45000200,410,,entities don't exist in updated endpoint,,,
45000713,410,,entities don't exist in updated endpoint,,,
45000714,410,,entities don't exist in updated endpoint,,,
45000715,410,,entities don't exist in updated endpoint,,,
45000716,410,,entities don't exist in updated endpoint,,,
45000717,410,,entities don't exist in updated endpoint,,,
45000718,410,,entities don't exist in updated endpoint,,,
45000719,410,,entities don't exist in updated endpoint,,,
45000720,410,,entities don't exist in updated endpoint,,,
45000721,410,,entities don't exist in updated endpoint,,,
45000722,410,,entities don't exist in updated endpoint,,,
45000723,410,,entities don't exist in updated endpoint,,,
45000724,410,,entities don't exist in updated endpoint,,,
45000725,410,,entities don't exist in updated endpoint,,,
45000726,410,,entities don't exist in updated endpoint,,,
45000727,410,,entities don't exist in updated endpoint,,,
45000728,410,,entities don't exist in updated endpoint,,,
45000729,410,,entities don't exist in updated endpoint,,,
45000730,410,,entities don't exist in updated endpoint,,,
45000000,301,45001041,reference has changed,,2025-11-18,
45000002,301,45001042,reference has changed,,2025-11-18,
45000003,301,45001043,reference has changed,,2025-11-18,
45000004,301,45001044,reference has changed,,2025-11-18,
45000005,301,45001045,reference has changed,,2025-11-18,
45000010,301,45001046,reference has changed,,2025-11-18,
45000123,301,45001047,reference has changed,,2025-11-18,
45000124,301,45001048,reference has changed,,2025-11-18,
45000126,301,45001049,reference has changed,,2025-11-18,
45000128,301,45001050,reference has changed,,2025-11-18,
45000129,301,45001051,reference has changed,,2025-11-18,
45000130,301,45001052,reference has changed,,2025-11-18,
45000131,301,45001053,reference has changed,,2025-11-18,
45000132,301,45001054,reference has changed,,2025-11-18,
45000134,301,45001055,reference has changed,,2025-11-18,
45000135,301,45001056,reference has changed,,2025-11-18,
45000137,301,45001057,reference has changed,,2025-11-18,
45000141,301,45001058,reference has changed,,2025-11-18,
45000143,301,45001059,reference has changed,,2025-11-18,
45000144,301,45001060,reference has changed,,2025-11-18,
45000145,301,45001061,reference has changed,,2025-11-18,
45000146,301,45001062,reference has changed,,2025-11-18,
45000147,301,45001063,reference has changed,,2025-11-18,
45000148,301,45001064,reference has changed,,2025-11-18,
45000150,301,45001065,reference has changed,,2025-11-18,
45000151,301,45001066,reference has changed,,2025-11-18,
45000153,301,45001067,reference has changed,,2025-11-18,
45000157,301,45001068,reference has changed,,2025-11-18,
45000159,301,45001069,reference has changed,,2025-11-18,
45000171,301,45001070,reference has changed,,2025-11-18,
45000173,301,45001071,reference has changed,,2025-11-18,
45000175,301,45001072,reference has changed,,2025-11-18,
45000176,301,45001073,reference has changed,,2025-11-18,
45000177,301,45001074,reference has changed,,2025-11-18,
45000178,301,45001075,reference has changed,,2025-11-18,
45000179,301,45001076,reference has changed,,2025-11-18,
45000180,301,45001077,reference has changed,,2025-11-18,
45000181,301,45001078,reference has changed,,2025-11-18,
45000182,301,45001079,reference has changed,,2025-11-18,
45000183,301,45001080,reference has changed,,2025-11-18,
45000185,301,45001081,reference has changed,,2025-11-18,
45000187,301,45001082,reference has changed,,2025-11-18,
45000188,301,45001083,reference has changed,,2025-11-18,
45000189,301,45001084,reference has changed,,2025-11-18,
45000190,301,45001085,reference has changed,,2025-11-18,
45000192,301,45001086,reference has changed,,2025-11-18,
45000193,301,45001087,reference has changed,,2025-11-18,
45000194,301,45001088,reference has changed,,2025-11-18,
45000195,301,45001089,reference has changed,,2025-11-18,
45000196,301,45001090,reference has changed,,2025-11-18,
45000197,301,45001091,reference has changed,,2025-11-18,
45000198,301,45001092,reference has changed,,2025-11-18,
45000199,301,45001093,reference has changed,,2025-11-18,
45000201,301,45001094,reference has changed,,2025-11-18,
45000215,301,45001095,reference has changed,,2025-11-18,
45000216,301,45001096,reference has changed,,2025-11-18,
45000218,301,45001097,reference has changed,,2025-11-18,
45000220,301,45001098,reference has changed,,2025-11-18,
45000223,301,45001099,reference has changed,,2025-11-18,
45000224,301,45001100,reference has changed,,2025-11-18,
45000225,301,45001101,reference has changed,,2025-11-18,
45000226,301,45001102,reference has changed,,2025-11-18,
45000228,301,45001103,reference has changed,,2025-11-18,
45000229,301,45001104,reference has changed,,2025-11-18,
45000230,301,45001105,reference has changed,,2025-11-18,
45000231,301,45001106,reference has changed,,2025-11-18,
45000233,301,45001107,reference has changed,,2025-11-18,
45000237,301,45001108,reference has changed,,2025-11-18,
45000238,301,45001109,reference has changed,,2025-11-18,
45000239,301,45001110,reference has changed,,2025-11-18,
45000240,301,45001111,reference has changed,,2025-11-18,
45000241,301,45001112,reference has changed,,2025-11-18,
45000242,301,45001113,reference has changed,,2025-11-18,
45000244,301,45001114,reference has changed,,2025-11-18,
45000245,301,45001115,reference has changed,,2025-11-18,
45000247,301,45001116,reference has changed,,2025-11-18,
45000248,301,45001117,reference has changed,,2025-11-18,
45000249,301,45001118,reference has changed,,2025-11-18,
45000250,301,45001119,reference has changed,,2025-11-18,
45000252,301,45001120,reference has changed,,2025-11-18,
45000253,301,45001121,reference has changed,,2025-11-18,
45000254,301,45001122,reference has changed,,2025-11-18,
45000255,301,45001123,reference has changed,,2025-11-18,
45000258,301,45001124,reference has changed,,2025-11-18,
