end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,11400001,,,,permitted-development-right-part,,,,1
,,11400002,,,,permitted-development-right-part,,,,2
,,11400003,,,,permitted-development-right-part,,,,3
,,11400004,,,,permitted-development-right-part,,,,4
,,11400005,,,,permitted-development-right-part,,,,5
,,11400006,,,,permitted-development-right-part,,,,6
,,11400007,,,,permitted-development-right-part,,,,7
,,11400008,,,,permitted-development-right-part,,,,8
,,11400009,,,,permitted-development-right-part,,,,9
,,11400010,,,,permitted-development-right-part,,,,10
,,11400011,,,,permitted-development-right-part,,,,11
,,11400012,,,,permitted-development-right-part,,,,12
,,11400013,,,,permitted-development-right-part,,,,13
,,11400014,,,,permitted-development-right-part,,,,14
,,11400015,,,,permitted-development-right-part,,,,15
,,11400016,,,,permitted-development-right-part,,,,16
,,11400017,,,,permitted-development-right-part,,,,17
,,11400018,,,,permitted-development-right-part,,,,18
,,11400019,,,,permitted-development-right-part,,,,19
