dataset,endpoint,field,separator,entry-date,start-date,end-date,resource
article-4-direction-area,d779ad1c91c5a46e2d4ace4d5446d7d7f81df1ed058f882121070574697a5412,geometry,,,,,
article-4-direction,fa43f1424a3c39642ff4664068da6432efd8f5ab7c81d702cea8fe95e4532d8c,reference,,,,,
article-4-direction,c93c4cf0ab5f3eb331de01019359e4c6807a670438d24f232d13347836fc5c1b,reference,,,,,
