dataset,resource,field,pattern,value,entry-number,start-date,end-date,entry-date,endpoint
central-activities-zone,,organisation,Westminster,local-authority:WSM,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,lambeth,local-authority:LBH,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,southwark,local-authority:SWK,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,wandsworth,local-authority:WND,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,kensington and chelsea,local-authority:KEC,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,city of london,local-authority:LND,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,tower hamlets,local-authority:TWH,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,islington,local-authority:ISL,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,hackney,local-authority:HCK,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
central-activities-zone,,organisation,camden,local-authority:CMD,,,,,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378
