old-entity,status,entity,notes,end-date,entry-date,start-date
610078,301,610189,redirect ended-org entity to new LPA entity,,2025-10-14,
610079,301,610188,redirect ended-org entity to new LPA entity,,2025-10-14,
610080,301,610189,redirect ended-org entity to new LPA entity,,2025-10-14,
610081,301,610189,redirect ended-org entity to new LPA entity,,2025-10-14,
610082,301,610188,redirect ended-org entity to new LPA entity,,2025-10-14,
610083,301,610189,redirect ended-org entity to new LPA entity,,2025-10-14,
610094,301,610190,redirect ended-org entity to new LPA entity,,2025-10-14,
610191,301,610030,redirect entities to Buckinghamshire new entity,,2026-07-30,
610192,301,610028,redirect Bournemouth entity to BCP,,2026-07-30,
610193,301,610030,redirect entities to Buckinghamshire new entity,,2026-07-30,
610194,301,610028,redirect Christchurch entity to BCP,,2026-07-30,
610195,301,610029,redirect East Dorset entity to Doreset,,2026-07-30,
610196,301,610028,redirect Poole entity to BCP,,2026-07-30,
610197,301,610029,redirect Purbeck entity to Doreset,,2026-07-30,
610198,301,610030,redirect entities to Buckinghamshire new entity,,2026-07-30,
610199,301,610030,redirect entities to Buckinghamshire new entity,,2026-07-30,
