column,dataset,end-date,endpoint,entry-date,field,resource,start-date
WKT,green-belt,,,,geometry,,
lad11cd,green-belt,,,,local-authority-district,,
ons_code,green-belt,,,,local-authority-district,,
la_code,green-belt,,,,local-authority-district,,
lad15cd,green-belt,,,,local-authority-district,,
lad16cd,green-belt,,,,local-authority-district,,
lad17cd,green-belt,,,,local-authority-district,,
lad18cd,green-belt,,,,local-authority-district,,
lad19cd,green-belt,,,,local-authority-district,,
lad20cd,green-belt,,,,local-authority-district,,
la_name,green-belt,,,,name,,
lad11nm,green-belt,,,,name,,
lad15nm,green-belt,,,,name,,
lad16nm,green-belt,,,,name,,
lad17nm,green-belt,,,,name,,
lad18nm,green-belt,,,,name,,
lad19nm,green-belt,,,,name,,
lad20nm,green-belt,,,,name,,
GB_Name,green-belt,,,,green-belt-core,,
