pipeline,dataset,current-entity-minimum,current-entity-maximum,current-organisation,previous-entity-minimum,previous-entity-maximum,previous-organisation
conservation-area,conservation-area,44000001,44000014,local-authority:SAL,44000001,44000053,government-organisation:PB1164
conservation-area,conservation-area,44000071,44000191,government-organisation:PB1164,44000071,44000071,government-organisation:D1342
conservation-area,conservation-area,44000071,44000071,local-authority:BRT,44000071,44000191,government-organisation:PB1164
conservation-area,conservation-area,44000191,44000536,government-organisation:PB1164,44000106,44000191,government-organisation:D1342
conservation-area,conservation-area,44000191,44000191,national-park-authority:Q72617988,44000191,44000536,government-organisation:PB1164
conservation-area,conservation-area,44000193,44000193,local-authority:CON,44000193,44000194,government-organisation:D1342
conservation-area,conservation-area,44000193,44000194,local-authority:CON,44000193,44000193,local-authority:CON
conservation-area,conservation-area,44000194,44000194,local-authority:CON,44000193,44000194,local-authority:CON
conservation-area,conservation-area,44000246,44000247,government-organisation:D1342,44000220,44000246,government-organisation:D1342
conservation-area,conservation-area,44000247,44000248,government-organisation:D1342,44000246,44000247,government-organisation:D1342
conservation-area,conservation-area,44000248,44000249,government-organisation:D1342,44000247,44000248,government-organisation:D1342
conservation-area,conservation-area,44000249,44000250,government-organisation:D1342,44000248,44000249,government-organisation:D1342
conservation-area,conservation-area,44000250,44000251,government-organisation:D1342,44000249,44000250,government-organisation:D1342
conservation-area,conservation-area,44000251,44000251,government-organisation:D1342,44000250,44000251,government-organisation:D1342
conservation-area,conservation-area,44000264,44000265,government-organisation:D1342,44000264,44000264,government-organisation:D1342
conservation-area,conservation-area,44000271,44000271,government-organisation:D1342,44000271,44000271,government-organisation:D1342
conservation-area,conservation-area,44000314,44000314,local-authority:CON,44000303,44000377,government-organisation:D1342
conservation-area,conservation-area,44000314,44000315,local-authority:CON,44000314,44000314,local-authority:CON
conservation-area,conservation-area,44000315,44000316,local-authority:CON,44000314,44000315,local-authority:CON
conservation-area,conservation-area,44000316,44000317,local-authority:CON,44000315,44000316,local-authority:CON
conservation-area,conservation-area,44000317,44000318,local-authority:CON,44000316,44000317,local-authority:CON
conservation-area,conservation-area,44000318,44000318,local-authority:CON,44000317,44000318,local-authority:CON
conservation-area,conservation-area,44000374,44000375,local-authority:CON,44000374,44000374,local-authority:CON
conservation-area,conservation-area,44000375,44000376,local-authority:CON,44000374,44000375,local-authority:CON
conservation-area,conservation-area,44000376,44000377,local-authority:CON,44000375,44000376,local-authority:CON
conservation-area,conservation-area,44000377,44000377,local-authority:CON,44000376,44000377,local-authority:CON
conservation-area,conservation-area,44000380,44000381,local-authority:HAL,44000380,44000381,government-organisation:D1342
conservation-area,conservation-area,44000383,44000387,local-authority:HAL,44000383,44000459,government-organisation:D1342
conservation-area,conservation-area,44000581,44000588,government-organisation:D1342,44000579,44001009,government-organisation:PB1164
conservation-area,conservation-area,44000581,44000581,local-authority:CON,44000581,44000588,government-organisation:D1342
conservation-area,conservation-area,44000581,44000582,local-authority:CON,44000581,44000581,local-authority:CON
conservation-area,conservation-area,44000582,44000583,local-authority:CON,44000581,44000582,local-authority:CON
conservation-area,conservation-area,44000583,44000584,local-authority:CON,44000582,44000583,local-authority:CON
conservation-area,conservation-area,44000584,44000585,local-authority:CON,44000583,44000584,local-authority:CON
conservation-area,conservation-area,44000585,44000586,local-authority:CON,44000584,44000585,local-authority:CON
conservation-area,conservation-area,44000586,44000586,local-authority:CON,44000585,44000586,local-authority:CON
conservation-area,conservation-area,44000591,44000596,local-authority:RDB,44000590,44000624,government-organisation:D1342
conservation-area,conservation-area,44000652,44000652,local-authority:CON,44000649,44000661,government-organisation:D1342
conservation-area,conservation-area,44000652,44000653,local-authority:CON,44000652,44000652,local-authority:CON
