column,dataset,end-date,endpoint,entry-date,field,resource,start-date
WKT,local-authority-district,,,,geometry,,
lad09cd,local-authority-district,,,,reference,,
lad09nm,local-authority-district,,,,name,,
lad11cd,local-authority-district,,,,reference,,
lad11nm,local-authority-district,,,,name,,
lad15cd,local-authority-district,,,,reference,,
lad15nm,local-authority-district,,,,name,,
lad16cd,local-authority-district,,,,reference,,
lad16nm,local-authority-district,,,,name,,
lad17cd,local-authority-district,,,,reference,,
lad17nm,local-authority-district,,,,name,,
lad18cd,local-authority-district,,,,reference,,
lad18nm,local-authority-district,,,,name,,
lad19cd,local-authority-district,,,,reference,,
lad19nm,local-authority-district,,,,name,,
lad20cd,local-authority-district,,,,reference,,
lad20nm,local-authority-district,,,,name,,
lad21cd,local-authority-district,,,,reference,,
lad21nm,local-authority-district,,,,name,,
