source,attribution,collection,documentation-url,endpoint,licence,organisation,pipeline,entry-date,start-date,end-date
676f6b58f707d2c2d745ac4cc5abe1d8,,tree-preservation-order,https://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/tree-protection-order-boundaries-1/explore,504c4c95f0386ed91bb3e2e4bbc801f6cc9a3e5d48ef5942e650de7bc90990e4,ogl3,local-authority-eng:LBH,tree-preservation-zone,2021-12-01,,
fb375ed5db29f44e4cb8b8b4904a6a8a,,tree-preservation-order,,b40560f8bae3605c599de6cdd59271c4b218c305134fd32586e20a681c183f74,ogl3,local-authority-eng:SWK,tree-preservation-zone,2021-12-01,,
ccf524e2bd6df2bf6a712b1e51d2b26b,,tree-preservation-order,,b7c82241d5ad27c0f92cb464dca91aea2461802b345fe3e9df55e844f4dc477e,ogl3,local-authority-eng:SWK,tree-preservation-zone,2021-12-01,,
d501adae0632f09bc2b4d7b2857024af,,tree-preservation-order,,9303b2ab116396afad0e4b9f9c827ae2993fa8cc355398eb164e6b4081cfbc5c,ogl3,local-authority-eng:SWK,tree-preservation-zone,2021-12-01,,
bb04ccd6b1e787c99e48f5d309039707,,tree-preservation-order,,810751d8f4697034343d69ea0b5f365362089c9d2c083a63d6a3815b17b2a44b,ogl3,local-authority-eng:SWK,tree-preservation-zone,2021-12-01,,
082543b7e19b363a064ec0a97b4b5e88,,tree-preservation-order,https://opendata.canterbury.gov.uk/datasets/tree-preservation-orders/explore,41fc6aaaf2059002dfe1401841e88a56278f580c6c425683f5fba935b339bdcd,ogl3,local-authority-eng:CAT,tree-preservation-zone,2021-12-01,,
9d5c1b325e0c10d181d8be76521ff1fb,,tree-preservation-zone,,8bc18771f033d26e6b4c8dd6032cdd576e4b8a8e801a83813626bf9311e7e32a,,local-authority-eng:BUC,tree-preservation-zone,2022-05-04,,
cb7efb88467e24e7c1de5aa8d282ec9a,,tree-preservation-zone,,d372312e02ee78347fac7531b43839c4eb3e3247b0b03461a8803a004002bd59,,local-authority-eng:BUC,tree-preservation-zone,2022-05-04,,
e5eeb1e2d42caf76ac318e20b78d3c69,,tree-preservation-zone,,76a55253fac858f0ed7daf595191cbbc37f7493f35b38e6bd9eef637579be3e1,,local-authority-eng:BUC,tree-preservation-zone,2022-05-04,,
ceabe0236af8e247687c8fc73eb10961,,tree-preservation-order,https://datamillnorth.org/dataset/treepreservationorders,d551675f1579af9e69e105e9fe8f33fc4160dd8004fd6975863480e0d16b6337,,local-authority-eng:NET,tree-preservation-zone,2022-07-01,,
e505d00fdc8c6267abb3f0989fc568fe,,tree-preservation-order,https://data.gov.uk/dataset/b76cd575-a637-448d-8095-fd5a7c8ecf71/env_tree_preservation_orders,3aeef0b2fb0bb0c85a25bd4491b3c56f70924d6a8ae9d9e22764885965a2b4c7,odc-by,local-authority-eng:MDW,tree-preservation-zone,2022-07-01,,
cb120b1ee6b290a214cc22f5e2c632dc,,tree-preservation-order,https://www.doncaster.gov.uk/services/planning/protected-trees-and-woodlands,de1eb90a8b037292ef8ae14bfabd1184847ef99b7c6296bb6e75379e6c1f9572,ogl3,local-authority-eng:DNC,tree-preservation-zone,2022-10-26,2022-10-24,
