column,dataset,end-date,endpoint,entry-date,field,resource,start-date
wkt,tree-preservation-zone,,,,geometry,,
address,tree-preservation-zone,,,,address,06b04d580c663b3be92b052f51c54f773cd1e10907fa34fee26e21f79f5fd146,
objectid_1,tree-preservation-zone,,,,reference,06b04d580c663b3be92b052f51c54f773cd1e10907fa34fee26e21f79f5fd146,
status,tree-preservation-zone,,,,tree-preservation-type,06b04d580c663b3be92b052f51c54f773cd1e10907fa34fee26e21f79f5fd146,
location,tree-preservation-zone,,,,name,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,
tpo,tree-preservation-zone,,,,tree-preservation-order,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,
address,tree-preservation-zone,,,,address,1d5747fd6e5354e3fddece413f9367c1b33548d386dd8b6cec953b9773c54442,
status,tree-preservation-zone,,,,tree-preservation-type,1d5747fd6e5354e3fddece413f9367c1b33548d386dd8b6cec953b9773c54442,
location,tree-preservation-zone,,,,name,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
made_date,tree-preservation-zone,,,,start-date,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
species,tree-preservation-zone,,,,tree-species-list,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
tpo_number,tree-preservation-zone,,,,tree-preservation-order,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
tpo_type,tree-preservation-zone,,,,tree-preservation-type,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
varied_dat,tree-preservation-zone,,,,entry-date,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
location,tree-preservation-zone,,,,name,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
made_date,tree-preservation-zone,,,,start-date,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
species,tree-preservation-zone,,,,tree-species-list,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
tpo_number,tree-preservation-zone,,,,tree-preservation-order,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
tpo_type,tree-preservation-zone,,,,tree-preservation-type,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
varied_dat,tree-preservation-zone,,,,entry-date,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
location,tree-preservation-zone,,,,name,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,
tpo,tree-preservation-zone,,,,tree-preservation-order,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,
KEYVAL,tree-preservation-zone,,,,reference,ae35aa8a7903f92fdb6035cae6183ef5bf7683e876733b5fbcf29f7704976a90,
ORDERREF,tree-preservation-zone,,,,tree-preservation-order,ae35aa8a7903f92fdb6035cae6183ef5bf7683e876733b5fbcf29f7704976a90,
ORDERYEAR,tree-preservation-zone,,,,start-date,ae35aa8a7903f92fdb6035cae6183ef5bf7683e876733b5fbcf29f7704976a90,
TREETYPE,tree-preservation-zone,,,,notes,ae35aa8a7903f92fdb6035cae6183ef5bf7683e876733b5fbcf29f7704976a90,
KEYVAL,tree-preservation-zone,,,,reference,ae35aa8a7903f92fdb6035cae6183ef5bf7683e876733b5fbcf29f7704976a90,
ORDERREF,tree-preservation-zone,,,,tree-preservation-order,ae35aa8a7903f92fdb6035cae6183ef5bf7683e876733b5fbcf29f7704976a90,
