prefix,resource,organisation,reference,entity
development-policy,,local-authority-eng:BUC,avdlp-RA32,5600102
development-policy,,local-authority-eng:BUC,avdlp-RA33,5600103
development-policy,,local-authority-eng:BUC,avdlp-RA34,5600104
development-policy,,local-authority-eng:BUC,avdlp-RA35,5600105
development-policy,,local-authority-eng:BUC,avdlp-RA36,5600106
development-policy,,local-authority-eng:BUC,avdlp-RA37,5600107
development-policy,,local-authority-eng:BUC,valp-S1,5600108
development-policy,,local-authority-eng:BUC,valp-S2,5600109
development-policy,,local-authority-eng:BUC,valp-S3,5600110
development-policy,,local-authority-eng:BUC,valp-S4,5600111
development-policy,,local-authority-eng:BUC,valp-S5,5600112
development-policy,,local-authority-eng:BUC,valp-S6,5600113
development-policy,,local-authority-eng:BUC,valp-S7,5600114
development-policy,,local-authority-eng:BUC,valp-S8,5600115
development-policy,,local-authority-eng:BUC,valp-S9,5600116
development-policy,,local-authority-eng:BUC,valp-D1,5600117
development-policy,,local-authority-eng:BUC,valp-D1-AGT1,5600118
development-policy,,local-authority-eng:BUC,valp-D1-AGT2,5600119
development-policy,,local-authority-eng:BUC,valp-D1-AGT3,5600120
development-policy,,local-authority-eng:BUC,valp-D1-AGT4,5600121
development-policy,,local-authority-eng:BUC,valp-D1-AGT5,5600122
development-policy,,local-authority-eng:BUC,valp-D1-AGT6,5600123
development-policy,,local-authority-eng:BUC,valp-D1-AYL032,5600124
development-policy,,local-authority-eng:BUC,valp-D1-AYL073,5600125
development-policy,,local-authority-eng:BUC,valp-D1-AYL052,5600126
development-policy,,local-authority-eng:BUC,valp-D1-AYL059,5600127
development-policy,,local-authority-eng:BUC,valp-D1-AYL077,5600128
development-policy,,local-authority-eng:BUC,valp-D1-AYL063,5600129
development-policy,,local-authority-eng:BUC,valp-D1-AYL068,5600130
development-policy,,local-authority-eng:BUC,valp-D1-AYL115,5600131
development-policy,,local-authority-eng:BUC,valp-D1-NLV001,5600132
development-policy,,local-authority-eng:BUC,valp-D2,5600133
development-policy,,local-authority-eng:BUC,valp-D-BUC043,5600134
development-policy,,local-authority-eng:BUC,valp-D-BUC051,5600135
development-policy,,local-authority-eng:BUC,valp-D-BUC046,5600136
development-policy,,local-authority-eng:BUC,valp-D-HAD007,5600137
development-policy,,local-authority-eng:BUC,valp-D-HAL003,5600138
development-policy,,local-authority-eng:BUC,valp-D-WIN001,5600139
development-policy,,local-authority-eng:BUC,valp-D-SCD003,5600140
development-policy,,local-authority-eng:BUC,valp-D-SCD008,5600141
development-policy,,local-authority-eng:BUC,valp-D-STO008,5600142
development-policy,,local-authority-eng:BUC,valp-D-WHI009,5600143
development-policy,,local-authority-eng:BUC,valp-D-CDN001,5600144
development-policy,,local-authority-eng:BUC,valp-D-CDN003,5600145
development-policy,,local-authority-eng:BUC,valp-D-ICK004,5600146
development-policy,,local-authority-eng:BUC,valp-D-MMO006,5600147
development-policy,,local-authority-eng:BUC,valp-D-MGB003,5600148
development-policy,,local-authority-eng:BUC,valp-D-NLV005,5600149
development-policy,,local-authority-eng:BUC,valp-D-QUA001,5600150
development-policy,,local-authority-eng:BUC,valp-D-QUA0014-016,5600151
development-policy,,local-authority-eng:BUC,valp-D3,5600152
development-policy,,local-authority-eng:BUC,valp-D4,5600153
development-policy,,local-authority-eng:BUC,valp-D5,5600154
development-policy,,local-authority-eng:BUC,valp-D6,5600155
development-policy,,local-authority-eng:BUC,valp-D7,5600156
development-policy,,local-authority-eng:BUC,valp-D8,5600157
development-policy,,local-authority-eng:BUC,valp-D9,5600158
development-policy,,local-authority-eng:BUC,valp-D10,5600159
development-policy,,local-authority-eng:BUC,valp-H1,5600160
development-policy,,local-authority-eng:BUC,valp-H2,5600161
development-policy,,local-authority-eng:BUC,valp-H3,5600162
development-policy,,local-authority-eng:BUC,valp-H4,5600163
development-policy,,local-authority-eng:BUC,valp-H5,5600164
development-policy,,local-authority-eng:BUC,valp-H6,5600165
development-policy,,local-authority-eng:BUC,valp-H7,5600166
development-policy,,local-authority-eng:BUC,valp-E1,5600167
development-policy,,local-authority-eng:BUC,valp-E2,5600168
development-policy,,local-authority-eng:BUC,valp-E3,5600169
development-policy,,local-authority-eng:BUC,valp-E4,5600170
development-policy,,local-authority-eng:BUC,valp-E5,5600171
development-policy,,local-authority-eng:BUC,valp-E6,5600172
development-policy,,local-authority-eng:BUC,valp-E7,5600173
development-policy,,local-authority-eng:BUC,valp-E8,5600174
development-policy,,local-authority-eng:BUC,valp-E9,5600175
development-policy,,local-authority-eng:BUC,valp-E10,5600176
development-policy,,local-authority-eng:BUC,valp-T1,5600177
development-policy,,local-authority-eng:BUC,valp-T2,5600178
development-policy,,local-authority-eng:BUC,valp-T3,5600179
development-policy,,local-authority-eng:BUC,valp-T4,5600180
development-policy,,local-authority-eng:BUC,valp-T5,5600181
development-policy,,local-authority-eng:BUC,valp-T6,5600182
development-policy,,local-authority-eng:BUC,valp-T7,5600183
development-policy,,local-authority-eng:BUC,valp-BE1,5600184
development-policy,,local-authority-eng:BUC,valp-BE2,5600185
development-policy,,local-authority-eng:BUC,valp-BE3,5600186
development-policy,,local-authority-eng:BUC,valp-BE4,5600187
development-policy,,local-authority-eng:BUC,valp-NE1,5600188
development-policy,,local-authority-eng:BUC,valp-NE2,5600189
development-policy,,local-authority-eng:BUC,valp-NE3,5600190
development-policy,,local-authority-eng:BUC,valp-NE4,5600191
development-policy,,local-authority-eng:BUC,valp-NE5,5600192
development-policy,,local-authority-eng:BUC,valp-NE6,5600193
development-policy,,local-authority-eng:BUC,valp-NE7,5600194
development-policy,,local-authority-eng:BUC,valp-NE8,5600195
development-policy,,local-authority-eng:BUC,valp-NE9,5600196
development-policy,,local-authority-eng:BUC,valp-C1,5600197
development-policy,,local-authority-eng:BUC,valp-C2,5600198
development-policy,,local-authority-eng:BUC,valp-C3,5600199
development-policy,,local-authority-eng:BUC,valp-C4,5600200
development-policy,,local-authority-eng:BUC,valp-I1,5600201
development-policy,,local-authority-eng:BUC,valp-I2,5600202
development-policy,,local-authority-eng:BUC,valp-I3,5600203
development-policy,,local-authority-eng:BUC,valp-I4,5600204
development-policy,,local-authority-eng:BUC,valp-I5,5600205
development-policy,,local-authority-eng:BUC,valp-I6,5600206
development-policy,,local-authority-eng:BUC,clp-GC1,5600207
development-policy,,local-authority-eng:BUC,clp-GC2,5600208
development-policy,,local-authority-eng:BUC,clp-GC3,5600209
development-policy,,local-authority-eng:BUC,clp-GC4,5600210
development-policy,,local-authority-eng:BUC,clp-GC7,5600211
development-policy,,local-authority-eng:BUC,clp-GC8,5600212
development-policy,,local-authority-eng:BUC,clp-GC9,5600213
development-policy,,local-authority-eng:BUC,clp-GC10,5600214
development-policy,,local-authority-eng:BUC,clp-GC11,5600215
development-policy,,local-authority-eng:BUC,clp-GC12,5600216
development-policy,,local-authority-eng:BUC,clp-GC13,5600217
development-policy,,local-authority-eng:BUC,clp-GC14,5600218
development-policy,,local-authority-eng:BUC,clp-GB1,5600219
development-policy,,local-authority-eng:BUC,clp-GB2,5600220
development-policy,,local-authority-eng:BUC,clp-GB4,5600221
development-policy,,local-authority-eng:BUC,clp-GB5,5600222
development-policy,,local-authority-eng:BUC,clp-GB6,5600223
development-policy,,local-authority-eng:BUC,clp-GB7,5600224
development-policy,,local-authority-eng:BUC,clp-GB8,5600225
development-policy,,local-authority-eng:BUC,clp-GB10,5600226
development-policy,,local-authority-eng:BUC,clp-GB11,5600227
development-policy,,local-authority-eng:BUC,clp-GB12,5600228
development-policy,,local-authority-eng:BUC,clp-GB13,5600229
development-policy,,local-authority-eng:BUC,clp-GB15,5600230
development-policy,,local-authority-eng:BUC,clp-GB16,5600231
development-policy,,local-authority-eng:BUC,clp-GB17,5600232
development-policy,,local-authority-eng:BUC,clp-GB20,5600233
development-policy,,local-authority-eng:BUC,clp-GB22A,5600234
development-policy,,local-authority-eng:BUC,clp-GB23,5600235
development-policy,,local-authority-eng:BUC,clp-GB24,5600236
development-policy,,local-authority-eng:BUC,clp-GB27,5600237
development-policy,,local-authority-eng:BUC,clp-GB29,5600238
development-policy,,local-authority-eng:BUC,clp-GB30,5600239
development-policy,,local-authority-eng:BUC,clp-LSQ1,5600240
