dataset,endpoint,resource,column,field,start-date,end-date,entry-date
development-corporation-boundary,43fd6ba2185cf2e00e83e4fb55dc97850b7ec8dc2ccaa8c8f254847b19ced074,,document-url,document,,,
development-corporation-boundary,,,WKT,geometry,,,
