end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,1400000,,,,battlefield,,,,1000000
,,1400001,,,,battlefield,,,,1000001
,,1400002,,,,battlefield,,,,1000002
,,1400003,,,,battlefield,,,,1000003
,,1400004,,,,battlefield,,,,1000004
,,1400005,,,,battlefield,,,,1000005
,,1400006,,,,battlefield,,,,1000006
,,1400007,,,,battlefield,,,,1000007
,,1400008,,,,battlefield,,,,1000008
,,1400009,,,,battlefield,,,,1000009
,,1400010,,,,battlefield,,,,1000010
,,1400011,,,,battlefield,,,,1000011
,,1400012,,,,battlefield,,,,1000012
,,1400013,,,,battlefield,,,,1000013
,,1400014,,,,battlefield,,,,1000014
,,1400015,,,,battlefield,,,,1000015
,,1400016,,,,battlefield,,,,1000016
,,1400017,,,,battlefield,,,,1000017
,,1400018,,,,battlefield,,,,1000018
,,1400019,,,,battlefield,,,,1000019
,,1400020,,,,battlefield,,,,1000020
,,1400021,,,,battlefield,,,,1000021
,,1400022,,,,battlefield,,,,1000022
,,1400023,,,,battlefield,,,,1000023
,,1400024,,,,battlefield,,,,1000024
,,1400025,,,,battlefield,,,,1000025
,,1400026,,,,battlefield,,,,1000026
,,1400027,,,,battlefield,,,,1000027
,,1400028,,,,battlefield,,,,1000028
,,1400029,,,,battlefield,,,,1000029
,,1400030,,,,battlefield,,,,1000030
,,1400031,,,,battlefield,,,,1000031
,,1400032,,,,battlefield,,,,1000032
,,1400033,,,,battlefield,,,,1000033
,,1400034,,,,battlefield,,,,1000034
,,1400035,,,,battlefield,,,,1000035
,,1400036,,,,battlefield,,,,1000036
,,1400037,,,,battlefield,,,,1000037
,,1400038,,,,battlefield,,,,1000038
,,1400039,,,,battlefield,,,,1000039
,,1400040,,,,battlefield,,,,1000040
,,1400041,,,,battlefield,,,,1000041
,,1400042,,,,battlefield,,,,1000042
,,1400043,,,,battlefield,,,,1412878
,,1400044,,,,battlefield,,,,1413619
,,1400045,,,,battlefield,,,,1413762
,,1400046,,,,battlefield,,,,1413782
