end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,8500000,,,,article-4-direction-rule,,,,P1CA
,,8500045,,,,article-4-direction-rule,,,,P1CAI
,,8500046,,,,article-4-direction-rule,,,,P1CAII
,,8500047,,,,article-4-direction-rule,,,,P1CAA
,,8500001,,,,article-4-direction-rule,,,,P1CB
,,8500048,,,,article-4-direction-rule,,,,P1CBI
,,8500049,,,,article-4-direction-rule,,,,P1CBII
,,8500050,,,,article-4-direction-rule,,,,P1CBIII
,,8500002,,,,article-4-direction-rule,,,,P1CC
,,8500051,,,,article-4-direction-rule,,,,P1CCI
,,8500003,,,,article-4-direction-rule,,,,P1CD
,,8500004,,,,article-4-direction-rule,,,,P1CE
,,8500005,,,,article-4-direction-rule,,,,P1CF
,,8500052,,,,article-4-direction-rule,,,,P1CG
,,8500006,,,,article-4-direction-rule,,,,P1CH
,,8500007,,,,article-4-direction-rule,,,,P2CA
,,8500053,,,,article-4-direction-rule,,,,P2CAI
,,8500008,,,,article-4-direction-rule,,,,P2CB
,,8500009,,,,article-4-direction-rule,,,,P2CC
,,8500099,,,,article-4-direction-rule,,,,P2CD
,,8500100,,,,article-4-direction-rule,,,,P2CE
,,8500101,,,,article-4-direction-rule,,,,P2CF
,,8500102,,,,article-4-direction-rule,,,,P2CG
,,8500010,,,,article-4-direction-rule,,,,P3CA
,,8500054,,,,article-4-direction-rule,,,,P3CAA
,,8500011,,,,article-4-direction-rule,,,,P3CB
,,8500012,,,,article-4-direction-rule,,,,P3CC
,,8500013,,,,article-4-direction-rule,,,,P3CD
,,8500014,,,,article-4-direction-rule,,,,P3CE
,,8500015,,,,article-4-direction-rule,,,,P3CF
,,8500016,,,,article-4-direction-rule,,,,P3CG
,,8500017,,,,article-4-direction-rule,,,,P3CH
,,8500018,,,,article-4-direction-rule,,,,P3CI
,,8500055,,,,article-4-direction-rule,,,,P3CJ
,,8500056,,,,article-4-direction-rule,,,,P3CJA
,,8500057,,,,article-4-direction-rule,,,,P3CK
,,8500019,,,,article-4-direction-rule,,,,P3CL
,,8500020,,,,article-4-direction-rule,,,,P3CM
,,8500058,,,,article-4-direction-rule,,,,P3CMA
,,8500021,,,,article-4-direction-rule,,,,P3CN
,,8500022,,,,article-4-direction-rule,,,,P3CO
,,8500023,,,,article-4-direction-rule,,,,P3CP
,,8500024,,,,article-4-direction-rule,,,,P3CPA
,,8500025,,,,article-4-direction-rule,,,,P3CQ
,,8500026,,,,article-4-direction-rule,,,,P3CR
,,8500027,,,,article-4-direction-rule,,,,P3CS
,,8500028,,,,article-4-direction-rule,,,,P3CT
,,8500029,,,,article-4-direction-rule,,,,P3CU
,,8500030,,,,article-4-direction-rule,,,,P3CV
,,8500031,,,,article-4-direction-rule,,,,P4CA
,,8500032,,,,article-4-direction-rule,,,,P4CB
,,8500059,,,,article-4-direction-rule,,,,P4CBA
,,8500060,,,,article-4-direction-rule,,,,P4CBB
,,8500033,,,,article-4-direction-rule,,,,P4CC
,,8500061,,,,article-4-direction-rule,,,,P4CCA
,,8500034,,,,article-4-direction-rule,,,,P4CD
,,8500035,,,,article-4-direction-rule,,,,P4CE
,,8500036,,,,article-4-direction-rule,,,,P5CA
,,8500062,,,,article-4-direction-rule,,,,P5CB
,,8500063,,,,article-4-direction-rule,,,,P5CC
,,8500037,,,,article-4-direction-rule,,,,P6CA
,,8500038,,,,article-4-direction-rule,,,,P6CB
,,8500039,,,,article-4-direction-rule,,,,P6CE
,,8500064,,,,article-4-direction-rule,,,,P7CA
,,8500065,,,,article-4-direction-rule,,,,P7CB
,,8500066,,,,article-4-direction-rule,,,,P7CC
,,8500067,,,,article-4-direction-rule,,,,P7CD
,,8500068,,,,article-4-direction-rule,,,,P7CE
,,8500069,,,,article-4-direction-rule,,,,P7CF
,,8500070,,,,article-4-direction-rule,,,,P7CG
,,8500071,,,,article-4-direction-rule,,,,P7CH
,,8500072,,,,article-4-direction-rule,,,,P7CI
,,8500073,,,,article-4-direction-rule,,,,P7CJ
,,8500074,,,,article-4-direction-rule,,,,P7CK
,,8500075,,,,article-4-direction-rule,,,,P7CL
,,8500076,,,,article-4-direction-rule,,,,P7CM
,,8500077,,,,article-4-direction-rule,,,,P7CN
,,8500040,,,,article-4-direction-rule,,,,P9CE
,,8500041,,,,article-4-direction-rule,,,,P11CA
,,8500042,,,,article-4-direction-rule,,,,P11CB
,,8500043,,,,article-4-direction-rule,,,,P11CC
,,8500078,,,,article-4-direction-rule,,,,P14CA
,,8500079,,,,article-4-direction-rule,,,,P14CB
,,8500080,,,,article-4-direction-rule,,,,P14CC
,,8500081,,,,article-4-direction-rule,,,,P14CD
,,8500082,,,,article-4-direction-rule,,,,P14CE
,,8500083,,,,article-4-direction-rule,,,,P14CF
,,8500084,,,,article-4-direction-rule,,,,P14CG
,,8500085,,,,article-4-direction-rule,,,,P14CH
,,8500086,,,,article-4-direction-rule,,,,P14CI
,,8500087,,,,article-4-direction-rule,,,,P14CJ
,,8500088,,,,article-4-direction-rule,,,,P14CK
,,8500089,,,,article-4-direction-rule,,,,P14CL
,,8500090,,,,article-4-direction-rule,,,,P14CM
,,8500091,,,,article-4-direction-rule,,,,P14CN
,,8500092,,,,article-4-direction-rule,,,,P14CO
,,8500093,,,,article-4-direction-rule,,,,P20CA
,,8500094,,,,article-4-direction-rule,,,,P20CAA
,,8500095,,,,article-4-direction-rule,,,,P20CAB
,,8500096,,,,article-4-direction-rule,,,,P20CAC
,,8500097,,,,article-4-direction-rule,,,,P20CAD
,,8500098,,,,article-4-direction-rule,,,,P20CZA
,,8500044,,,,article-4-direction-rule,,,,P24CA
