end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,520001,,,,statistical-geography,,,,E26000001
,,520002,,,,statistical-geography,,,,E26000002
,,520003,,,,statistical-geography,,,,E26000003
,,520004,,,,statistical-geography,,,,E26000004
,,520005,,,,statistical-geography,,,,E26000005
,,520006,,,,statistical-geography,,,,E26000006
,,520007,,,,statistical-geography,,,,E26000007
,,520008,,,,statistical-geography,,,,E26000008
,,520009,,,,statistical-geography,,,,E26000009
,,520010,,,,statistical-geography,,,,E26000010
,,520011,,,,statistical-geography,,,,E26000011
,,520012,,,,statistical-geography,,,,E26000012
