end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,10,,,,government-organisation,,,,D303
,,10,,,,government-organisation,,,,Q1334971
,,10,,,,wikidata,,,,Q1334971
,,11,,,,government-organisation,,,,D38
,,11,,,,government-organisation,,,,Q548721
,,11,,,,wikidata,,,,Q548721
,,11,,,,addressbase-custodian,,,,7655
,,11,,,,company,,,,09121572
,,12,,,,government-organisation,,,,Q601819
,,12,,,,wikidata,,,,Q601819
,,12,,,,government-organisation,,,,D4
,,13,,,,government-organisation,,,,D69
,,13,,,,government-organisation,,,,Q5635120
,,13,,,,wikidata,,,,Q5635120
,,14,,,,government-organisation,,,,EA39
,,14,,,,government-organisation,,,,Q7201367
,,14,,,,wikidata,,,,Q7201367
,,15,,,,government-organisation,,,,EA87
,,15,,,,government-organisation,,,,Q7912696
,,15,,,,wikidata,,,,Q7912696
,,16,,,,government-organisation,,,,PB1164
,,16,,,,government-organisation,,,,Q19604421
,,16,,,,wikidata,,,,Q19604421
,,17,,,,government-organisation,,,,PB1204
,,17,,,,government-organisation,,,,Q81075624
,,17,,,,wikidata,,,,Q81075624
,,18,,,,government-organisation,,,,PB1218
,,18,,,,government-organisation,,,,Q65071973
,,18,,,,wikidata,,,,Q65071973
,,19,,,,government-organisation,,,,PB1232
,,19,,,,government-organisation,,,,Q5890410
,,19,,,,wikidata,,,,Q5890410
,,20,,,,government-organisation,,,,PB160
,,20,,,,government-organisation,,,,Q39045922
,,20,,,,wikidata,,,,Q39045922
,,21,,,,government-organisation,,,,PB207
,,21,,,,government-organisation,,,,Q1478750
,,21,,,,wikidata,,,,Q1478750
,,22,,,,government-organisation,,,,PB372
,,22,,,,government-organisation,,,,Q39046108
,,22,,,,wikidata,,,,Q39046108
,,23,,,,government-organisation,,,,PB373
,,23,,,,government-organisation,,,,Q81054630
,,23,,,,wikidata,,,,Q81054630
,,23,,,,company,,,,03296985
,,24,,,,government-organisation,,,,PB375
,,24,,,,government-organisation,,,,Q81056025
,,24,,,,wikidata,,,,Q81056025
,,25,,,,government-organisation,,,,PC163
,,25,,,,government-organisation,,,,Q4787008
,,25,,,,wikidata,,,,Q4787008
,,501910,,,,government-organisation,,,,PB202
,,501910,,,,government-organisation,,,,Q1699627
,,501910,,,,wikidata,,,,Q1699627
,,600001,,,,government-organisation,,,,D1342
,,600002,,,,government-organisation,,,,D7
,,600002,,,,government-organisation,,,,Q3044721
,,600002,,,,wikidata,,,,Q3044721
