prefix,resource,organisation,reference,entity
housing-allocation,,local-authority-eng:ESK,SCLP12.68,7900000
housing-allocation,,local-authority-eng:ESK,SCLP12.43,7900001
housing-allocation,,local-authority-eng:ESK,SCLP12.44,7900002
housing-allocation,,local-authority-eng:ESK,SCLP12.45,7900003
housing-allocation,,local-authority-eng:ESK,SCLP12.46,7900004
housing-allocation,,local-authority-eng:ESK,SCLP12.53,7900005
housing-allocation,,local-authority-eng:ESK,SCLP12.66,7900006
housing-allocation,,local-authority-eng:ESK,SCLP12.60,7900007
housing-allocation,,local-authority-eng:ESK,SCLP12.70,7900008
housing-allocation,,local-authority-eng:ESK,SCLP12.56,7900009
housing-allocation,,local-authority-eng:ESK,SCLP12.48,7900010
housing-allocation,,local-authority-eng:ESK,SCLP12.54,7900011
housing-allocation,,local-authority-eng:ESK,SCLP12.30,7900012
housing-allocation,,local-authority-eng:ESK,SCLP12.5,7900013
housing-allocation,,local-authority-eng:ESK,SCLP12.27,7900014
housing-allocation,,local-authority-eng:ESK,SCLP12.42,7900015
housing-allocation,,local-authority-eng:ESK,SCLP12.52,7900016
housing-allocation,,local-authority-eng:ESK,SCLP12.57,7900017
housing-allocation,,local-authority-eng:ESK,SCLP12.61,7900018
housing-allocation,,local-authority-eng:ESK,SCLP12.62,7900019
housing-allocation,,local-authority-eng:ESK,SCLP12.63,7900020
housing-allocation,,local-authority-eng:ESK,SCLP12.67,7900021
housing-allocation,,local-authority-eng:ESK,SCLP12.71,7900022
housing-allocation,,local-authority-eng:ESK,SCLP12.4,7900023
housing-allocation,,local-authority-eng:ESK,SCLP12.6,7900024
housing-allocation,,local-authority-eng:ESK,SCLP12.64,7900025
housing-allocation,,local-authority-eng:ESK,SCLP12.25,7900026
housing-allocation,,local-authority-eng:ESK,SCLP12.59,7900027
housing-allocation,,local-authority-eng:ESK,SCLP12.55,7900028
housing-allocation,,local-authority-eng:ESK,SCLP12.33,7900029
housing-allocation,,local-authority-eng:ESK,SCLP12.24,7900030
housing-allocation,,local-authority-eng:ESK,SCLP12.58,7900031
housing-allocation,,local-authority-eng:ESK,SCLP12.32,7900032
housing-allocation,,local-authority-eng:ESK,SCLP12.51,7900033
housing-allocation,,local-authority-eng:ESK,SCLP12.69,7900034
housing-allocation,,local-authority-eng:ESK,WLP7.4,7900035
housing-allocation,,local-authority-eng:ESK,WLP4.3,7900036
housing-allocation,,local-authority-eng:ESK,WLP7.10,7900037
housing-allocation,,local-authority-eng:ESK,WLP7.2,7900038
housing-allocation,,local-authority-eng:ESK,WLP7.16,7900039
housing-allocation,,local-authority-eng:ESK,WLP7.6,7900040
housing-allocation,,local-authority-eng:ESK,WLP7.5,7900041
housing-allocation,,local-authority-eng:ESK,WLP7.3,7900042
housing-allocation,,local-authority-eng:ESK,WLP7.12,7900043
housing-allocation,,local-authority-eng:ESK,WLP7.14,7900044
housing-allocation,,local-authority-eng:ESK,WLP7.15,7900045
housing-allocation,,local-authority-eng:ESK,WLP4.2,7900046
housing-allocation,,local-authority-eng:ESK,WLP5.2,7900047
housing-allocation,,local-authority-eng:ESK,WLP7.13,7900048
housing-allocation,,local-authority-eng:ESK,WLP7.8,7900049
housing-allocation,,local-authority-eng:ESK,WLP7.7,7900050
housing-allocation,,local-authority-eng:ESK,WLP7.11,7900051
housing-allocation,,local-authority-eng:ESK,WLP7.17,7900052
housing-allocation,,local-authority-eng:ESK,WLP2.14,7900053
housing-allocation,,local-authority-eng:ESK,WLP4.4,7900054
housing-allocation,,local-authority-eng:ESK,WLP2.15,7900055
housing-allocation,,local-authority-eng:ESK,WLP6.1,7900056
housing-allocation,,local-authority-eng:ESK,WLP5.1,7900057
housing-allocation,,local-authority-eng:ESK,WLP3.2,7900058
housing-allocation,,local-authority-eng:ESK,WLP2.8,7900059
housing-allocation,,local-authority-eng:ESK,WLP2.20,7900060
