old-entity,status,entity,notes,end-date,entry-date,start-date
1008293,410,,entities don't exist in latest resource,,,
1008467,410,,entities don't exist in latest resource,,,
1008469,410,,entities don't exist in latest resource,,,
1009124,410,,entities don't exist in latest resource,,,
1009142,410,,entities don't exist in latest resource,,,
1009303,410,,entities don't exist in latest resource,,,
1009315,410,,entities don't exist in latest resource,,,
1009449,410,,entities don't exist in latest resource,,,
1009530,410,,entities don't exist in latest resource,,,
1009531,410,,entities don't exist in latest resource,,,
1009540,410,,entities don't exist in latest resource,,,
1009543,410,,entities don't exist in latest resource,,,
1009592,410,,entities don't exist in latest resource,,,
1009613,410,,entities don't exist in latest resource,,,
1009905,410,,entities don't exist in latest resource,,,
1009906,410,,entities don't exist in latest resource,,,
1009908,410,,entities don't exist in latest resource,,,
1009910,410,,entities don't exist in latest resource,,,
1009916,410,,entities don't exist in latest resource,,,
1009950,410,,entities don't exist in latest resource,,,
1010218,410,,entities don't exist in latest resource,,,
1010248,410,,entities don't exist in latest resource,,,
1010411,410,,entities don't exist in latest resource,,,
1010419,410,,entities don't exist in latest resource,,,
1010457,410,,entities don't exist in latest resource,,,
1010463,410,,entities don't exist in latest resource,,,
1010467,410,,entities don't exist in latest resource,,,
1010631,410,,entities don't exist in latest resource,,,
1010632,410,,entities don't exist in latest resource,,,
1010633,410,,entities don't exist in latest resource,,,
1010638,410,,entities don't exist in latest resource,,,
1010639,410,,entities don't exist in latest resource,,,
1010741,410,,entities don't exist in latest resource,,,
1010797,410,,entities don't exist in latest resource,,,
1010966,410,,entities don't exist in latest resource,,,
1011286,410,,entities don't exist in latest resource,,,
1011747,410,,entities don't exist in latest resource,,,
1011768,410,,entities don't exist in latest resource,,,
1011806,410,,entities don't exist in latest resource,,,
1012035,410,,entities don't exist in latest resource,,,
1012037,410,,entities don't exist in latest resource,,,
1012040,410,,entities don't exist in latest resource,,,
1012128,410,,entities don't exist in latest resource,,,
1012129,410,,entities don't exist in latest resource,,,
1012147,410,,entities don't exist in latest resource,,,
1012190,410,,entities don't exist in latest resource,,,
1012301,410,,entities don't exist in latest resource,,,
1012347,410,,entities don't exist in latest resource,,,
1012375,410,,entities don't exist in latest resource,,,
1012390,410,,entities don't exist in latest resource,,,
1012392,410,,entities don't exist in latest resource,,,
1012510,410,,entities don't exist in latest resource,,,
1012518,410,,entities don't exist in latest resource,,,
1012544,410,,entities don't exist in latest resource,,,
1012715,410,,entities don't exist in latest resource,,,
1012855,410,,entities don't exist in latest resource,,,
1012993,410,,entities don't exist in latest resource,,,
1012998,410,,entities don't exist in latest resource,,,
1013009,410,,entities don't exist in latest resource,,,
1013063,410,,entities don't exist in latest resource,,,
1013249,410,,entities don't exist in latest resource,,,
1013251,410,,entities don't exist in latest resource,,,
1013255,410,,entities don't exist in latest resource,,,
