dataset,entity-minimum,entity-maximum,organisation
battlefield,1400000,1400046,nan
building-preservation-notice,2000000,2000006,nan
building-preservation-notice,2000007,2000013,government-organisation:PB1164
certificate-of-immunity,2300000,2300211,nan
certificate-of-immunity,2300212,2300397,government-organisation:PB1164
heritage-at-risk,7500000,7505022,nan
heritage-at-risk,7505023,7505489,government-organisation:PB1164
park-and-garden,11100000,11101698,nan
park-and-garden,11101699,11101719,government-organisation:PB1164
park-and-garden-grade,11000000,11000002,nan
protected-wreck-site,12800000,12800053,nan
protected-wreck-site,12800054,12800056,government-organisation:PB1164
scheduled-monument,13900000,13919934,nan
scheduled-monument,13919935,13920019,government-organisation:PB1164
world-heritage-site,16100000,16100019,nan
world-heritage-site-buffer-zone,16110001,16110008,nan
world-heritage-site-buffer-zone,16110009,16110009,government-organisation:PB1164
