datasets,organisations,operation,parameters,name,description,notes,severity,responsibility,end-date,entry-date,start-date
park-and-garden,government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no park-and-garden entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-01,2026-04-01
park-and-garden,,duplicate_geometry_check,"{""spatial_field"":""geometry""}",Check no entities have duplicate geometries,A test to check there are no park-and-garden entities with duplicate geometries.,,notice,internal,,2026-04-01,2026-04-01
scheduled-monument,government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no scheduled-monument entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
heritage-at-risk,government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no heritage-at-risk entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
battlefield,government-organisation:D1342;government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no battlefield entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
world-heritage-site,government-organisation:D1342;government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no world-heritage-site entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
world-heritage-site-buffer-zone,government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no world-heritage-site-buffer-zone entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
protected-wreck-site,government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no protected-wreck-site entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
building-preservation-notice,government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no building-preservation-notice entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
certificate-of-immunity,government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no certificate-of-immunity entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
park-and-garden-grade,government-organisation:PB1164,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no park-and-garden-grade entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-08,2026-04-08
