old-resource,status,resource,notes
223b31dab8f2af16bd637db4be4e17239a7405a5f585200610c05cd64440c988,410,,Handmade data for the local plans pathfinder project
a54c9011cab0df132ca796a66c55e05d1f59357e69aef6ac88034f6aa2a69c85,410,,Southwark layers combined manually
18202c0b321a31029358d3fe65d17fd00bdd1e07b2bbfe20c612247639346f9b,410,,Buckinghamshire test endpoint
2665060da294b88ddd2201c639788f8ea1246eae9d0731516ea49715fdee97dd,410,,Buckinghamshire test endpoint
8f2881cdac66924a68b11d2a66009a955c3d616473af2261828f0cb49274172a,410,,Buckinghamshire test endpoint
7c50704ce81bc026acf227134e2483f32b3142372fa3e423835f5897c3d0cf66,410,,Dover old resource
83984124f1346554c4f805f337c1bdee789c375651058eac7ba0a33f83b35167,410,,Incorrect data
3c260999e00be5fc2617ed1aae7c8d4584ff76a6ab67baa8e0fc9e0272070056,410,,Old Southwark data
5158d13bfc6f0723b1fb07c975701a906e83a1ead4aee598ee34e241c79a5f3d,410,,Old Southwark data
92c2680ad1a88950d0b03744affb36307cac5d0a5c3dba7224b0eb1e1ad28083,410,,Old Southwark data
9510b41e61d9af455792dc1b4eb80d7600671804b9e8788de32c61b1ce2435d1,410,,Old Southwark data
c70e657dab5368c1ba6514000182e571c46de6f483f14e38a272b636901c250d,410,,Old Southwark data
d24b30e21b985a96716574cd47f5c39a859d6cb9916ad5244ca793f88b14ec3b,410,,Old Southwark data
e6d6d0a60345c50b0f40292b9ed6fcbd567fc36816fc3ae7883af2a6a7dd875d,410,,Old Southwark data
e8791be20829a2aa6cca0ba62250b6b43eadaec78ac7727271197931fb5f0a9d,410,,Old Southwark data
ef883258feab307b5730dc62cb4144172effdbd1ba02c0d68a4804aa397696d2,410,,Old Southwark data
68d835acf03eef420f167d46ee969de29a4f5e6e43684967d6466f645b196252,410,,Southwark retire old resources
ae6956d3030f06355fb06cf3d7bc9868597aa1d37cb506512da4de5726ecf6df,410,,Doncaster data with incorrect reference field
935250cd0383a7834e5117e244d66f93f60829e687555f45563e0755b97da89b,410,,Doncaster data with incorrect reference field
b22278c7cefd73543ba8a9d36e8013dc88a817f350291a52617710698235b1ca,410,,Doncaster data with incorrect reference field
37255e81127fd28249ad7ff0446d9684dbb035ddd5ab684d6bab87d1a10c11c8,410,,Doncaster data with incorrect reference field
4d976c50983d17369c732a954135a98defcec1572e78e75b8c54fe48b65593eb,410,,Medway incorrect mapping
149d743ace03ad8b325e2389f49b274f4e3fa4c0fa0b19ad9846e78f9dff6c6d,410,,Medway incorrect mapping
eefe36c7967496766989bdfc5355748bf9209d1ce6afd80094a15bf7bd55661c,410,,Gloucester superseded by newer endpoint
af2a450fa22f45e4232354eef5efa9134e72093b2495ae2f448929f01621ec30,410,,Gloucester superseded by newer endpoint
7db0d171f59c905e3bb5fb1896d4bfe0315c7932487e59bf3c3b768cfd0a7df8,410,,Gloucester superseded by newer endpoint
2b544d4d84578f6e104ce8802d12c1f85549ff5215826422b2a88bdbc5f7c7c0,410,,Gloucester superseded by newer endpoint
e46379f1d673fa4bc30a70792aeae14405aeb4f5c7f066dd338fa274330d7e6d,410,,Gloucester superseded by newer endpoint
7fb3fd9a1f73608c71659df88e4c26f64e5ce883e5e1456b88dd14194cd1d677,410,,Lambeth retire old resource
30b024e6de917b57b271ad61a4e40859a437f556221eb486d7e38ac343699304,410,,wrongly published A4 NBL data
9b4072b80b3256767890e1779b40d0f812d54c9f77ed9927ca5f07ea9c8ffbfd,410,,faulty resource
