end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,42101143,,,,listed-building-outline,,,,144
,,42101144,,,,listed-building-outline,,,,145
,,42101145,,,,listed-building-outline,,,,146
,,42101146,,,,listed-building-outline,,,,147
,,42101147,,,,listed-building-outline,,,,148
,,42101148,,,,listed-building-outline,,,,149
,,42101149,,,,listed-building-outline,,,,150
,,42101150,,,,listed-building-outline,,,,151
,,42101151,,,,listed-building-outline,,,,152
,,42101152,,,,listed-building-outline,,,,153
,,42101153,,,,listed-building-outline,,,,154
,,42101154,,,,listed-building-outline,,,,155
,,42101155,,,,listed-building-outline,,,,156
,,42101156,,,,listed-building-outline,,,,157
,,42101157,,,,listed-building-outline,,,,158
,,42101158,,,,listed-building-outline,,,,159
,,42101159,,,,listed-building-outline,,,,160
,,42101160,,,,listed-building-outline,,,,161
,,42101161,,,,listed-building-outline,,,,162
,,42101162,,,,listed-building-outline,,,,163
,,42101163,,,,listed-building-outline,,,,164
,,42101164,,,,listed-building-outline,,,,165
,,42101165,,,,listed-building-outline,,,,166
,,42101166,,,,listed-building-outline,,,,167
,,42101167,,,,listed-building-outline,,,,168
,,42101168,,,,listed-building-outline,,,,169
,,42101169,,,,listed-building-outline,,,,170
,,42101170,,,,listed-building-outline,,,,171
,,42101171,,,,listed-building-outline,,,,172
,,42101172,,,,listed-building-outline,,,,173
,,42101173,,,,listed-building-outline,,,,174
,,42101174,,,,listed-building-outline,,,,175
,,42101175,,,,listed-building-outline,,,,176
,,42101176,,,,listed-building-outline,,,,177
,,42101177,,,,listed-building-outline,,,,178
,,42101178,,,,listed-building-outline,,,,179
,,42101179,,,,listed-building-outline,,,,180
,,42101180,,,,listed-building-outline,,,,181
,,42101181,,,,listed-building-outline,,,,182
,,42101182,,,,listed-building-outline,,,,183
,,42101183,,,,listed-building-outline,,,,184
,,42101184,,,,listed-building-outline,,,,185
,,42101185,,,,listed-building-outline,,,,186
,,42101186,,,,listed-building-outline,,,,187
,,42101187,,,,listed-building-outline,,,,188
,,42101188,,,,listed-building-outline,,,,189
,,42101189,,,,listed-building-outline,,,,190
,,42101190,,,,listed-building-outline,,,,191
,,42101191,,,,listed-building-outline,,,,192
,,42101192,,,,listed-building-outline,,,,193
,,42101193,,,,listed-building-outline,,,,194
,,42101194,,,,listed-building-outline,,,,195
,,42101195,,,,listed-building-outline,,,,196
,,42101196,,,,listed-building-outline,,,,197
,,42101197,,,,listed-building-outline,,,,198
,,42101198,,,,listed-building-outline,,,,199
,,42101199,,,,listed-building-outline,,,,200
,,42101200,,,,listed-building-outline,,,,201
,,42101201,,,,listed-building-outline,,,,202
,,42101202,,,,listed-building-outline,,,,203
,,42101203,,,,listed-building-outline,,,,204
,,42101204,,,,listed-building-outline,,,,205
,,42101205,,,,listed-building-outline,,,,206
,,42101206,,,,listed-building-outline,,,,207
,,42101207,,,,listed-building-outline,,,,208
,,42101208,,,,listed-building-outline,,,,209
,,42101209,,,,listed-building-outline,,,,210
,,42101210,,,,listed-building-outline,,,,211
,,42101211,,,,listed-building-outline,,,,212
,,42101212,,,,listed-building-outline,,,,213
,,42101213,,,,listed-building-outline,,,,214
,,42101214,,,,listed-building-outline,,,,215
,,42101215,,,,listed-building-outline,,,,216
,,42101216,,,,listed-building-outline,,,,217
,,42101217,,,,listed-building-outline,,,,218
,,42101218,,,,listed-building-outline,,,,219
,,42101219,,,,listed-building-outline,,,,220
,,42101220,,,,listed-building-outline,,,,221
,,42101221,,,,listed-building-outline,,,,222
,,42101222,,,,listed-building-outline,,,,223
,,42101223,,,,listed-building-outline,,,,224
,,42101224,,,,listed-building-outline,,,,225
,,42101225,,,,listed-building-outline,,,,226
,,42101226,,,,listed-building-outline,,,,227
,,42101227,,,,listed-building-outline,,,,228
,,42101228,,,,listed-building-outline,,,,229
,,42101229,,,,listed-building-outline,,,,230
,,42101230,,,,listed-building-outline,,,,231
,,42101231,,,,listed-building-outline,,,,232
,,42101232,,,,listed-building-outline,,,,233
,,42101233,,,,listed-building-outline,,,,234
,,42101234,,,,listed-building-outline,,,,235
,,42101235,,,,listed-building-outline,,,,236
,,42101236,,,,listed-building-outline,,,,237
,,42101237,,,,listed-building-outline,,,,238
,,42101238,,,,listed-building-outline,,,,239
,,42101239,,,,listed-building-outline,,,,240
,,42101240,,,,listed-building-outline,,,,241
,,42101241,,,,listed-building-outline,,,,242
,,42101242,,,,listed-building-outline,,,,243
,,42101243,,,,listed-building-outline,,,,244
,,42101244,,,,listed-building-outline,,,,245
,,42101245,,,,listed-building-outline,,,,246
