prefix,resource,organisation,reference,entity
development-policy-area,,local-authority-eng:BUC,LPLMCP,5300000
development-policy-area,,local-authority-eng:BUC,LPHH,5300001
development-policy-area,,local-authority-eng:BUC,LPWSX,5300002
development-policy-area,,local-authority-eng:BUC,LPHL,5300003
development-policy-area,,local-authority-eng:BUC,LPDPR,5300004
development-policy-area,,local-authority-eng:BUC,LPVBC,5300005
development-policy-area,,local-authority-eng:BUC,LPLON,5300006
development-policy-area,,local-authority-eng:BUC,LPSTA,5300007
development-policy-area,,local-authority-eng:BUC,LPGOM,5300008
development-policy-area,,local-authority-eng:BUC,LPMARL,5300009
development-policy-area,,local-authority-eng:BUC,LPWYE,5300010
development-policy-area,,local-authority-eng:BUC,LPBAK,5300011
development-policy-area,,local-authority-eng:BUC,LPKCH,5300012
development-policy-area,,local-authority-eng:BUC,LPMILL,5300013
development-policy-area,,local-authority-eng:BUC,LPKNV,5300014
development-policy-area,,local-authority-eng:BUC,LPGFT,5300015
development-policy-area,,local-authority-eng:BUC,LPBEL,5300016
development-policy-area,,local-authority-eng:BUC,LPHUG,5300017
development-policy-area,,local-authority-eng:BUC,LPLE,5300018
development-policy-area,,local-authority-eng:BUC,LPHW,5300019
development-policy-area,,local-authority-eng:BUC,LPLGH,5300020
development-policy-area,,local-authority-eng:BUC,LPDAW,5300021
development-policy-area,,local-authority-eng:BUC,LPMB,5300022
development-policy-area,,local-authority-eng:BUC,LPLIW,5300023
development-policy-area,,local-authority-eng:BUC,LPHS2,5300024
development-policy-area,,local-authority-eng:BUC,LPPRA,5300025
development-policy-area,,local-authority-eng:BUC,LPMOL,5300026
development-policy-area,,local-authority-eng:BUC,LPHW4,5300027
development-policy-area,,local-authority-eng:BUC,LPHW5,5300028
development-policy-area,,local-authority-eng:BUC,LPHW6,5300029
development-policy-area,,local-authority-eng:BUC,LPHW7,5300030
development-policy-area,,local-authority-eng:BUC,LPHW9,5300031
development-policy-area,,local-authority-eng:BUC,LPHW10,5300032
development-policy-area,,local-authority-eng:BUC,LPHW11,5300033
development-policy-area,,local-authority-eng:BUC,LPHW12,5300034
development-policy-area,,local-authority-eng:BUC,LPHW13,5300035
development-policy-area,,local-authority-eng:BUC,LPHW14,5300036
development-policy-area,,local-authority-eng:BUC,LPMR6,5300037
development-policy-area,,local-authority-eng:BUC,LPPR11,5300038
development-policy-area,,local-authority-eng:BUC,LPPR16,5300039
development-policy-area,,local-authority-eng:BUC,LPBE1,5300040
development-policy-area,,local-authority-eng:BUC,LPBE2,5300041
development-policy-area,,local-authority-eng:BUC,LPRUR1,5300042
development-policy-area,,local-authority-eng:BUC,LPRUR2,5300043
development-policy-area,,local-authority-eng:BUC,LPRUR3,5300044
development-policy-area,,local-authority-eng:BUC,LPRUR7,5300045
development-policy-area,,local-authority-eng:BUC,LPRUR8,5300046
development-policy-area,,local-authority-eng:BUC,LPRUR9,5300047
development-policy-area,,local-authority-eng:BUC,LPRUR11,5300048
development-policy-area,,local-authority-eng:BUC,LPRUR12,5300049
development-policy-area,,local-authority-eng:BUC,LPD21A,5300050
development-policy-area,,local-authority-eng:BUC,LPD21B,5300051
development-policy-area,,local-authority-eng:BUC,LPD21C,5300052
development-policy-area,,local-authority-eng:BUC,LPD21D,5300053
development-policy-area,,local-authority-eng:BUC,LPD21E,5300054
development-policy-area,,local-authority-eng:BUC,LPD21F,5300055
development-policy-area,,local-authority-eng:BUC,LPD21G,5300056
development-policy-area,,local-authority-eng:BUC,LPD21H,5300057
development-policy-area,,local-authority-eng:BUC,LPD21I,5300058
