prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-plan-timetable,,,,government-organisation:D1342,camden-local-plan-2026-timetable-0-timetable-published-0,4230000,,,
local-plan-timetable,,,,government-organisation:D1342,camden-local-plan-2026-timetable-1-estimated-reg-19-public-consultation-start-1,4230001,,,
local-plan-timetable,,,,government-organisation:D1342,camden-local-plan-2026-timetable-2-estimated-submit-plan-for-examination-1,4230002,,,
local-plan-timetable,,,,government-organisation:D1342,camden-local-plan-2026-timetable-3-reg-18-public-consultation-start-1,4230003,,,
local-plan-timetable,,,,government-organisation:D1342,camden-local-plan-2026-timetable-4-reg-18-public-consultation-start-1,4230004,,,
local-plan-timetable,,,,government-organisation:D1342,camden-local-plan-2026-timetable-5-reg-18-public-consultation-start-1,4230005,,,
local-plan-timetable,,,,government-organisation:D1342,east-lindsey-district-council-local-plan-2018-timetable-0-submit-plan-for-examination-2,4230006,,,
local-plan-timetable,,,,government-organisation:D1342,thurrock-local-plan-2040-timetable-0-timetable-published-0,4230007,,,
local-plan-timetable,,,,government-organisation:D1342,thurrock-local-plan-2040-timetable-1-estimated-reg-18-draft-local-plan-published-2,4230008,,,
local-plan-timetable,,,,government-organisation:D1342,thurrock-local-plan-2040-timetable-2-estimated-reg-19-publication-local-plan-published-2,4230009,,,
local-plan-timetable,,,,government-organisation:D1342,thurrock-local-plan-2040-timetable-3-estimated-submit-plan-for-examination-1,4230010,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-timetable-0-reg-18-public-consultation-start-1,4230011,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-timetable-1-reg-19-public-consultation-start-1,4230012,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-timetable-2-planning-inspectorate-examination-start-2,4230013,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-timetable-3-plan-adopted-0,4230014,,,
local-plan-timetable,,,,government-organisation:D1342,new-ashford-local-plan-to-2042-timetable-0-estimated-reg-18-draft-local-plan-published-2,4230015,,,
local-plan-timetable,,,,government-organisation:D1342,new-ashford-local-plan-to-2042-timetable-1-estimated-reg-19-publication-local-plan-published-2,4230016,,,
local-plan-timetable,,,,government-organisation:D1342,new-ashford-local-plan-to-2042-timetable-2-estimated-submit-plan-for-examination-1,4230017,,,
local-plan-timetable,,,,government-organisation:D1342,new-local-plan-0-0-timetable-0-estimated-reg-18-draft-local-plan-published-2,4230018,,,
local-plan-timetable,,,,government-organisation:D1342,new-local-plan-0-0-timetable-1-estimated-reg-19-publication-local-plan-published-2,4230019,,,
local-plan-timetable,,,,government-organisation:D1342,new-local-plan-0-0-timetable-2-estimated-submit-plan-for-examination-1,4230020,,,
local-plan-timetable,,,,government-organisation:D1342,arun-district-council-local-plan-2011-timetable-0-planning-inspectorate-examination-start-2,4230021,,,
local-plan-timetable,,,,government-organisation:D1342,arun-district-council-local-plan-2011-timetable-1-inspector-report-published-1,4230022,,,
local-plan-timetable,,,,government-organisation:D1342,ashford-borough-council-local-plan-2019-timetable-0-planning-inspectorate-examination-start-2,4230023,,,
local-plan-timetable,,,,government-organisation:D1342,ashford-borough-council-local-plan-2019-timetable-1-inspector-report-published-1,4230024,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-camden-local-plan-2017-timetable-0-planning-inspectorate-examination-start-2,4230025,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-camden-local-plan-2017-timetable-1-planning-inspectorate-found-sound-2,4230026,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-ealing-local-plan-2011-timetable-0-estimated-submit-plan-for-examination-1,4230027,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-ealing-local-plan-2011-timetable-1-reg-18-draft-local-plan-published-2,4230028,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-ealing-local-plan-2011-timetable-2-reg-19-publication-local-plan-published-2,4230029,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-lewisham-local-plan-2020-timetable-0-reg-18-draft-local-plan-published-2,4230030,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-lewisham-local-plan-2020-timetable-1-reg-18-public-consultation-start-1,4230031,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-lewisham-local-plan-2020-timetable-2-reg-19-public-consultation-start-1,4230032,,,
local-plan-timetable,,,,government-organisation:D1342,london-borough-of-lewisham-local-plan-2020-timetable-3-submit-plan-for-examination-0,4230033,,,
