source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
3c6d10e0f7d9308c4b39f57b794c6abc,,brownfield-site,,,,local-authority-eng:BRA,brownfield-site,2021-08-31T12:37:21Z,,
ef723206cd8692a8238ffdbceb79492a,,brownfield-site,,,,local-authority-eng:BRC,brownfield-site,2021-08-31T12:37:21Z,,
21a48662d84ce6ed3143aa4f1b024b86,,brownfield-site,,,,local-authority-eng:BRD,brownfield-site,2021-08-31T12:37:21Z,,
329727be7d07087d30b486858be96662,,brownfield-site,,,,local-authority-eng:BRE,brownfield-site,2021-08-31T12:37:21Z,,
7e3eb431c1e95d8f873e9fdf9b800a5e,,brownfield-site,,,,local-authority-eng:BRM,brownfield-site,2021-08-31T12:37:21Z,,
08f46cc3acd05d4734301b4b9b2d45da,,brownfield-site,,,,local-authority-eng:BRO,brownfield-site,2021-08-31T12:37:21Z,,
dd20431fd85a25ffdc9a699de1108aa9,,brownfield-site,,,,local-authority-eng:BRT,brownfield-site,2021-08-31T12:37:21Z,,
4ae4370e51cb74e6bf23df7aa9a0f8a0,,brownfield-site,,,,local-authority-eng:BRW,brownfield-site,2021-08-31T12:37:21Z,,
0f6f9c479ad56cdfa9cbdd636612db40,,brownfield-site,,,,local-authority-eng:BRX,brownfield-site,2021-08-31T12:37:21Z,,
91b08a2f6af43022d2eb29eb99c8549f,,brownfield-site,,,,local-authority-eng:BRY,brownfield-site,2021-08-31T12:37:21Z,,
027f05ea8ea2669073e8befb7ce2f8b8,,brownfield-site,,,,local-authority-eng:BST,brownfield-site,2021-08-31T12:37:21Z,,
01b2ec41b82d0a09e919ea0ed4b349c3,,brownfield-site,,,,local-authority-eng:BUC,brownfield-site,2021-08-31T12:37:21Z,,
ed64a65ea7fb5b3358b67297c6e54b95,,brownfield-site,,,,local-authority-eng:BUN,brownfield-site,2021-08-31T12:37:21Z,,
5737bdb4e03d0dfaf7fd1e5882345485,,brownfield-site,,,,local-authority-eng:BUR,brownfield-site,2021-08-31T12:37:21Z,,
