end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,2300000,,,,certificate-of-immunity,,,,1420581
,,2300001,,,,certificate-of-immunity,,,,1436836
,,2300002,,,,certificate-of-immunity,,,,1437110
,,2300003,,,,certificate-of-immunity,,,,1437275
,,2300004,,,,certificate-of-immunity,,,,1437831
,,2300005,,,,certificate-of-immunity,,,,1438793
,,2300006,,,,certificate-of-immunity,,,,1439057
,,2300007,,,,certificate-of-immunity,,,,1439062
,,2300008,,,,certificate-of-immunity,,,,1439371
,,2300009,,,,certificate-of-immunity,,,,1439550
,,2300010,,,,certificate-of-immunity,,,,1439962
,,2300011,,,,certificate-of-immunity,,,,1439963
,,2300012,,,,certificate-of-immunity,,,,1439964
,,2300013,,,,certificate-of-immunity,,,,1439965
,,2300014,,,,certificate-of-immunity,,,,1439966
,,2300015,,,,certificate-of-immunity,,,,1440069
,,2300016,,,,certificate-of-immunity,,,,1440070
,,2300017,,,,certificate-of-immunity,,,,1440073
,,2300018,,,,certificate-of-immunity,,,,1440075
,,2300019,,,,certificate-of-immunity,,,,1440077
,,2300020,,,,certificate-of-immunity,,,,1441294
,,2300021,,,,certificate-of-immunity,,,,1441859
,,2300022,,,,certificate-of-immunity,,,,1441905
,,2300023,,,,certificate-of-immunity,,,,1442356
,,2300024,,,,certificate-of-immunity,,,,1444842
,,2300025,,,,certificate-of-immunity,,,,1444929
,,2300026,,,,certificate-of-immunity,,,,1445146
,,2300027,,,,certificate-of-immunity,,,,1445241
,,2300028,,,,certificate-of-immunity,,,,1445939
,,2300029,,,,certificate-of-immunity,,,,1445940
,,2300030,,,,certificate-of-immunity,,,,1445943
,,2300031,,,,certificate-of-immunity,,,,1445944
,,2300032,,,,certificate-of-immunity,,,,1445947
,,2300033,,,,certificate-of-immunity,,,,1445950
,,2300034,,,,certificate-of-immunity,,,,1445998
,,2300035,,,,certificate-of-immunity,,,,1446346
,,2300036,,,,certificate-of-immunity,,,,1446842
,,2300037,,,,certificate-of-immunity,,,,1447920
,,2300038,,,,certificate-of-immunity,,,,1447978
