endpoint,endpoint-url,parameters,plugin,entry-date,start-date,end-date
c0a155928b1cfe19029e0255ab61fa4224eb093d96dcbe8a2334f334c33a9598,https://query.wikidata.org/sparql#sparql/wikidata/local-authority.rq,,sparql,2022-05-30,,2022-09-16
4175a82201581cd7701d336b95ddf3a69457a1985944d1fb19c778731b18eb12,https://raw.githubusercontent.com/digital-land/organisation-collection/main/data/local-authority.csv,,,2022-05-30,,
9d88e786be4678cd08af282ea63c39ac9280d1e11438d38c17fb8fec47f6bef3,https://opendatacommunities.org/sparql#sparql/opendatacommunities/local-authority.rq,,sparql,2022-06-07,,2022-09-16
