old-entity,status,entity,notes,end-date,entry-date,start-date
42100288,410,,,,,
42100289,410,,,,,
42100290,410,,,,,
42100291,410,,,,,
42100292,410,,,,,
42100293,410,,,,,
42100294,410,,,,,
42100295,410,,,,,
42100296,410,,,,,
42100297,410,,,,,
42100298,410,,,,,
42100299,410,,,,,
42100300,410,,,,,
42100301,410,,,,,
42100302,410,,,,,
42100303,410,,,,,
42100304,410,,,,,
42100305,410,,,,,
42100306,410,,,,,
42100307,410,,,,,
42100308,410,,,,,
42100309,410,,,,,
42100310,410,,,,,
42100311,410,,,,,
42100312,410,,,,,
42100313,410,,,,,
42100314,410,,,,,
42100315,410,,,,,
42100316,410,,,,,
42100317,410,,,,,
42100318,410,,,,,
42100319,410,,,,,
42100320,410,,,,,
42100321,410,,,,,
42100322,410,,,,,
42100323,410,,,,,
42100324,410,,,,,
42100325,410,,,,,
42100326,410,,,,,
42100327,410,,,,,
42100328,410,,,,,
42100329,410,,,,,
42100330,410,,,,,
42100331,410,,,,,
42100332,410,,,,,
42100333,410,,,,,
42100334,410,,,,,
42100335,410,,,,,
42100336,410,,,,,
42100337,410,,,,,
42100338,410,,,,,
42100339,410,,,,,
42100340,410,,,,,
42100341,410,,,,,
42100342,410,,,,,
42100343,410,,,,,
42100344,410,,,,,
42100345,410,,,,,
42100346,410,,,,,
42100347,410,,,,,
42100348,410,,,,,
42100349,410,,,,,
42100350,410,,,,,
42100351,410,,,,,
42100352,410,,,,,
42100353,410,,,,,
42100354,410,,,,,
42100355,410,,,,,
42100356,410,,,,,
42100357,410,,,,,
42100358,410,,,,,
42100359,410,,,,,
42100360,410,,,,,
42100361,410,,,,,
42100362,410,,,,,
42100363,410,,,,,
42100364,410,,,,,
42100365,410,,,,,
42100366,410,,,,,
42100367,410,,,,,
42100368,410,,,,,
42100369,410,,,,,
42100370,410,,,,,
42100371,410,,,,,
42100372,410,,,,,
42100373,410,,,,,
42100374,410,,,,,
42100375,410,,,,,
42100376,410,,,,,
42100377,410,,,,,
42100378,410,,,,,
42100379,410,,,,,
42100380,410,,,,,
42100381,410,,,,,
42100382,410,,,,,
42100383,410,,,,,
42100384,410,,,,,
42100385,410,,,,,
42100386,410,,,,,
42100387,410,,,,,
42100388,410,,,,,
42100389,410,,,,,
42100390,410,,,,,
42100391,410,,,,,
42100392,410,,,,,
42100393,410,,,,,
42100394,410,,,,,
42100395,410,,,,,
42100396,410,,,,,
42100397,410,,,,,
42100398,410,,,,,
42100399,410,,,,,
42100400,410,,,,,
42100401,410,,,,,
42100402,410,,,,,
42100403,410,,,,,
42100404,410,,,,,
42100405,410,,,,,
42100406,410,,,,,
42100407,410,,,,,
42100408,410,,,,,
42100409,410,,,,,
42100410,410,,,,,
42100411,410,,,,,
42100412,410,,,,,
42100413,410,,,,,
42100414,410,,,,,
42100415,410,,,,,
42100416,410,,,,,
42100417,410,,,,,
42100418,410,,,,,
42100419,410,,,,,
42100420,410,,,,,
42100421,410,,,,,
42100422,410,,,,,
42100423,410,,,,,
42100424,410,,,,,
42100425,410,,,,,
42100426,410,,,,,
42100427,410,,,,,
42100428,410,,,,,
42100429,410,,,,,
42100430,410,,,,,
42100431,410,,,,,
42100432,410,,,,,
42100433,410,,,,,
42100434,410,,,,,
42100435,410,,,,,
42100436,410,,,,,
42100437,410,,,,,
42100438,410,,,,,
42100439,410,,,,,
42100440,410,,,,,
42100441,410,,,,,
42100442,410,,,,,
42100443,410,,,,,
42100444,410,,,,,
42100445,410,,,,,
42100446,410,,,,,
42100447,410,,,,,
42100448,410,,,,,
42100449,410,,,,,
42100450,410,,,,,
42100451,410,,,,,
42100452,410,,,,,
42100453,410,,,,,
42100454,410,,,,,
42100455,410,,,,,
42100456,410,,,,,
42100457,410,,,,,
42100458,410,,,,,
42100459,410,,,,,
42100460,410,,,,,
42100461,410,,,,,
42100462,410,,,,,
42100463,410,,,,,
42100464,410,,,,,
42100465,410,,,,,
42100466,410,,,,,
42100467,410,,,,,
42100468,410,,,,,
42100469,410,,,,,
42100470,410,,,,,
42100471,410,,,,,
42100472,410,,,,,
42100473,410,,,,,
42100474,410,,,,,
42100475,410,,,,,
42100476,410,,,,,
42100477,410,,,,,
42100478,410,,,,,
42100479,410,,,,,
42100480,410,,,,,
42100481,410,,,,,
42100482,410,,,,,
42100483,410,,,,,
42100484,410,,,,,
42100485,410,,,,,
42100486,410,,,,,
42100487,410,,,,,
42100488,410,,,,,
42100489,410,,,,,
42100490,410,,,,,
42100491,410,,,,,
42100492,410,,,,,
42100493,410,,,,,
42100494,410,,,,,
42100495,410,,,,,
42100496,410,,,,,
42100497,410,,,,,
42100498,410,,,,,
42100499,410,,,,,
42100500,410,,,,,
42100501,410,,,,,
42100502,410,,,,,
42100503,410,,,,,
42100504,410,,,,,
42100505,410,,,,,
42100506,410,,,,,
42100507,410,,,,,
42100508,410,,,,,
42100509,410,,,,,
42100510,410,,,,,
42100511,410,,,,,
42100512,410,,,,,
42100513,410,,,,,
42100514,410,,,,,
42100515,410,,,,,
42100516,410,,,,,
42100517,410,,,,,
42100518,410,,,,,
42100519,410,,,,,
42100520,410,,,,,
42100521,410,,,,,
42100522,410,,,,,
42100523,410,,,,,
42100524,410,,,,,
42100525,410,,,,,
42100526,410,,,,,
42100527,410,,,,,
42100528,410,,,,,
42100529,410,,,,,
42100530,410,,,,,
42100531,410,,,,,
42100532,410,,,,,
42100533,410,,,,,
42100534,410,,,,,
42100535,410,,,,,
42100536,410,,,,,
42100537,410,,,,,
42100538,410,,,,,
42100539,410,,,,,
42100540,410,,,,,
42100541,410,,,,,
42100542,410,,,,,
42100543,410,,,,,
42100544,410,,,,,
42100545,410,,,,,
42100546,410,,,,,
42100547,410,,,,,
42100548,410,,,,,
42100549,410,,,,,
42100550,410,,,,,
42100551,410,,,,,
42100552,410,,,,,
42100553,410,,,,,
42100554,410,,,,,
42100555,410,,,,,
42100556,410,,,,,
42100557,410,,,,,
42100558,410,,,,,
42100559,410,,,,,
42100560,410,,,,,
42100561,410,,,,,
42100562,410,,,,,
42100563,410,,,,,
42100564,410,,,,,
42100565,410,,,,,
42100566,410,,,,,
42100567,410,,,,,
42100568,410,,,,,
42100569,410,,,,,
42100570,410,,,,,
42100571,410,,,,,
42100572,410,,,,,
42100573,410,,,,,
42100574,410,,,,,
42100575,410,,,,,
42100576,410,,,,,
42100577,410,,,,,
42100578,410,,,,,
42100579,410,,,,,
42100580,410,,,,,
42100581,410,,,,,
42100582,410,,,,,
42100583,410,,,,,
42100584,410,,,,,
42100585,410,,,,,
42100586,410,,,,,
42100587,410,,,,,
42100588,410,,,,,
42100589,410,,,,,
42100590,410,,,,,
42100591,410,,,,,
42100592,410,,,,,
42100593,410,,,,,
42100594,410,,,,,
42100595,410,,,,,
42100596,410,,,,,
42100597,410,,,,,
42100598,410,,,,,
42100599,410,,,,,
42100600,410,,,,,
42100601,410,,,,,
42100602,410,,,,,
42100603,410,,,,,
42100604,410,,,,,
42100605,410,,,,,
42100606,410,,,,,
42100607,410,,,,,
42100608,410,,,,,
42100609,410,,,,,
42100610,410,,,,,
42100611,410,,,,,
42100612,410,,,,,
42100613,410,,,,,
42100614,410,,,,,
42100615,410,,,,,
42100616,410,,,,,
42100617,410,,,,,
42100618,410,,,,,
42100619,410,,,,,
42100620,410,,,,,
42100621,410,,,,,
42100622,410,,,,,
42100623,410,,,,,
42100624,410,,,,,
42100625,410,,,,,
42100626,410,,,,,
42100627,410,,,,,
42100628,410,,,,,
42100629,410,,,,,
42100630,410,,,,,
42100631,410,,,,,
42100632,410,,,,,
42100633,410,,,,,
42100634,410,,,,,
42100635,410,,,,,
42100636,410,,,,,
42100637,410,,,,,
42100638,410,,,,,
42100639,410,,,,,
42100640,410,,,,,
42100641,410,,,,,
42100642,410,,,,,
42100643,410,,,,,
42100644,410,,,,,
42100645,410,,,,,
42100646,410,,,,,
42100647,410,,,,,
42100648,410,,,,,
42100649,410,,,,,
42100650,410,,,,,
42100651,410,,,,,
42100652,410,,,,,
42100653,410,,,,,
42100654,410,,,,,
42100655,410,,,,,
42100656,410,,,,,
42100657,410,,,,,
42100658,410,,,,,
42100659,410,,,,,
42100660,410,,,,,
42100661,410,,,,,
42100662,410,,,,,
42100663,410,,,,,
42100664,410,,,,,
42100665,410,,,,,
42100666,410,,,,,
42100667,410,,,,,
42100668,410,,,,,
42100669,410,,,,,
42100670,410,,,,,
42100671,410,,,,,
42100672,410,,,,,
42100673,410,,,,,
42100674,410,,,,,
42100675,410,,,,,
42100676,410,,,,,
42100677,410,,,,,
42100678,410,,,,,
42100679,410,,,,,
42100680,410,,,,,
42100681,410,,,,,
42100682,410,,,,,
42100683,410,,,,,
42100684,410,,,,,
42100685,410,,,,,
42100686,410,,,,,
42100687,410,,,,,
42100688,410,,,,,
42100689,410,,,,,
42100690,410,,,,,
