dataset,endpoint,field,separator,entry-date,start-date,end-date,resource
listed-building-outline,2b0ef9c4c1482e0f32139e231a146d52a3cde2e4148db87c13c0b414d981c32a,geometry,,,,,
listed-building-outline,59b599fec6f412c75dbbd47321b2b3ed0a502885d98c25db876f475f7522d780,geometry,,,,,
