dataset,entity-minimum,entity-maximum,organisation
brownfield-land,1717268,1717308,development-corporation:Q20648596
brownfield-land,1727382,1727419,development-corporation:Q20648596
brownfield-land,1712722,1712724,development-corporation:Q6670544
brownfield-land,1701644,1701659,local-authority:ADU
brownfield-land,1716637,1716645,local-authority:ADU
brownfield-land,1726071,1726074,local-authority:ADU
brownfield-land,1734663,1734663,local-authority:ADU
brownfield-land,1735534,1735545,local-authority:ADU
brownfield-land,1740874,1740878,local-authority:ADU
brownfield-land,1706814,1706835,local-authority:AMB
brownfield-land,1723302,1723322,local-authority:AMB
brownfield-land,1724785,1724789,local-authority:AMB
brownfield-land,1729637,1729655,local-authority:AMB
brownfield-land,1708076,1708101,local-authority:ARU
brownfield-land,1716585,1716594,local-authority:ARU
brownfield-land,1725024,1725027,local-authority:ARU
brownfield-land,1729631,1729636,local-authority:ARU
brownfield-land,1704687,1704712,local-authority:ASF
brownfield-land,1710789,1710789,local-authority:ASF
brownfield-land,1740740,1740740,local-authority:ASF
brownfield-land,1710828,1710846,local-authority:ASH
brownfield-land,1728677,1728681,local-authority:ASH
brownfield-land,1729205,1729214,local-authority:ASH
brownfield-land,1729620,1729624,local-authority:ASH
brownfield-land,1721588,1721606,local-authority:AYL
brownfield-land,1727377,1727381,local-authority:AYL
brownfield-land,1713906,1713909,local-authority:BAB
brownfield-land,1739237,1739237,local-authority:BAB
brownfield-land,1739239,1739240,local-authority:BAB
brownfield-land,1739247,1739258,local-authority:BAB
brownfield-land,1739269,1739269,local-authority:BAB
brownfield-land,1708656,1708677,local-authority:BAE
brownfield-land,1718604,1718626,local-authority:BAE
brownfield-land,1729656,1729672,local-authority:BAE
brownfield-land,1704726,1704799,local-authority:BAI
brownfield-land,1719689,1719700,local-authority:BAI
brownfield-land,1722241,1722247,local-authority:BAI
brownfield-land,1727148,1727149,local-authority:BAI
brownfield-land,1737064,1737113,local-authority:BAI
brownfield-land,1700675,1700722,local-authority:BAN
brownfield-land,1700849,1700884,local-authority:BAN
brownfield-land,1707803,1707806,local-authority:BAN
brownfield-land,1721884,1721889,local-authority:BAN
brownfield-land,1729345,1729366,local-authority:BAN
brownfield-land,1715835,1715867,local-authority:BAS
brownfield-land,1729215,1729258,local-authority:BAS
brownfield-land,1733782,1733818,local-authority:BAS
brownfield-land,1700347,1700362,local-authority:BBD
brownfield-land,1700658,1700674,local-authority:BBD
brownfield-land,1702298,1702356,local-authority:BDF
brownfield-land,1703748,1703764,local-authority:BDF
brownfield-land,1706094,1706094,local-authority:BDF
brownfield-land,1708608,1708655,local-authority:BDF
brownfield-land,1717908,1717912,local-authority:BDF
brownfield-land,1734583,1734583,local-authority:BDF
brownfield-land,1734634,1734635,local-authority:BDF
brownfield-land,1734975,1735013,local-authority:BDF
brownfield-land,1735559,1735559,local-authority:BDF
brownfield-land,1716758,1716758,local-authority:BDG
