old-entity,status,entity,notes,end-date,entry-date,start-date
1715154,410,,not a brownfield land (single dwelling house on site),,,
1715111,410,,entities removed in new data,,,
1715112,410,,entities removed in new data,,,
1715113,410,,entities removed in new data,,,
1715115,410,,entities removed in new data,,,
1715116,410,,entities removed in new data,,,
1715117,410,,entities removed in new data,,,
1715118,410,,entities removed in new data,,,
1715119,410,,entities removed in new data,,,
1715120,410,,entities removed in new data,,,
1715121,410,,entities removed in new data,,,
1715122,410,,entities removed in new data,,,
1715123,410,,entities removed in new data,,,
1715124,410,,entities removed in new data,,,
1715125,410,,entities removed in new data,,,
1715126,410,,entities removed in new data,,,
1715127,410,,entities removed in new data,,,
1715128,410,,entities removed in new data,,,
1715129,410,,entities removed in new data,,,
1715130,410,,entities removed in new data,,,
1715131,410,,entities removed in new data,,,
1715132,410,,entities removed in new data,,,
1715133,410,,entities removed in new data,,,
1715134,410,,entities removed in new data,,,
1715135,410,,entities removed in new data,,,
1715136,410,,entities removed in new data,,,
1715137,410,,entities removed in new data,,,
1715138,410,,entities removed in new data,,,
1715139,410,,entities removed in new data,,,
1715140,410,,entities removed in new data,,,
1715141,410,,entities removed in new data,,,
1715142,410,,entities removed in new data,,,
1715143,410,,entities removed in new data,,,
1715144,410,,entities removed in new data,,,
1715145,410,,entities removed in new data,,,
1715146,410,,entities removed in new data,,,
1715147,410,,entities removed in new data,,,
1715148,410,,entities removed in new data,,,
1715149,410,,entities removed in new data,,,
1715150,410,,entities removed in new data,,,
1715151,410,,entities removed in new data,,,
1715152,410,,entities removed in new data,,,
1715153,410,,entities removed in new data,,,
1715154,410,,entities removed in new data,,,
1715155,410,,entities removed in new data,,,
1715156,410,,entities removed in new data,,,
1715157,410,,entities removed in new data,,,
1715158,410,,entities removed in new data,,,
1715159,410,,entities removed in new data,,,
1715160,410,,entities removed in new data,,,
1715161,410,,entities removed in new data,,,
1715162,410,,entities removed in new data,,,
1715163,410,,entities removed in new data,,,
1715164,410,,entities removed in new data,,,
1715165,410,,entities removed in new data,,,
1715166,410,,entities removed in new data,,,
1715167,410,,entities removed in new data,,,
1715168,410,,entities removed in new data,,,
1715169,410,,entities removed in new data,,,
1715170,410,,entities removed in new data,,,
1715171,410,,entities removed in new data,,,
1715172,410,,entities removed in new data,,,
1715173,410,,entities removed in new data,,,
1715174,410,,entities removed in new data,,,
1715175,410,,entities removed in new data,,,
1715176,410,,entities removed in new data,,,
1715177,410,,entities removed in new data,,,
1715178,410,,entities removed in new data,,,
1715179,410,,entities removed in new data,,,
1715180,410,,entities removed in new data,,,
1715181,410,,entities removed in new data,,,
1715182,410,,entities removed in new data,,,
1715183,410,,entities removed in new data,,,
1715184,410,,entities removed in new data,,,
1715185,410,,entities removed in new data,,,
1715186,410,,entities removed in new data,,,
1715187,410,,entities removed in new data,,,
1715188,410,,entities removed in new data,,,
1715189,410,,entities removed in new data,,,
1704358,301,1736852,new refernce numbers and column given,,,
1704384,301,1736853,new refernce numbers and column given,,,
1704335,301,1736854,new refernce numbers and column given,,,
1704336,301,1736855,new refernce numbers and column given,,,
1704337,301,1736856,new refernce numbers and column given,,,
1704389,301,1736857,new refernce numbers and column given,,,
1704338,301,1736858,new refernce numbers and column given,,,
1704359,301,1736859,new refernce numbers and column given,,,
1704393,301,1736860,new refernce numbers and column given,,,
1704394,301,1736861,new refernce numbers and column given,,,
1726844,301,1736862,new refernce numbers and column given,,,
1704339,301,1736863,new refernce numbers and column given,,,
1726842,301,1736864,new refernce numbers and column given,,,
1704340,301,1736865,new refernce numbers and column given,,,
1726843,301,1736866,new refernce numbers and column given,,,
1704372,301,1736867,new refernce numbers and column given,,,
1704361,301,1736868,new refernce numbers and column given,,,
1726850,301,1736869,new refernce numbers and column given,,,
1704341,301,1736870,new refernce numbers and column given,,,
1726847,301,1736871,new refernce numbers and column given,,,
1726846,301,1736872,new refernce numbers and column given,,,
1733715,301,1736873,new refernce numbers and column given,,,
