dataset,field,replacement-field,entry-number,resource,start-date,end-date,entry-date,endpoint
brownfield-land,Deliverable,deliverable,,,,,,
brownfield-land,EndDate,end-date,,,,,,
brownfield-land,LastUpdatedDate,entry-date,,,,,,
brownfield-land,HazardousSubstances,hazardous-substances,,,,,,
brownfield-land,Hectares,hectares,,,,,,
brownfield-land,GeoY,latitude,,,,,,
brownfield-land,GeoX,longitude,,,,,,
brownfield-land,NetDwellingsRangeTo,maximum-net-dwellings,,,,,,
brownfield-land,NetDwellingsRangeFrom,minimum-net-dwellings,,,,,,
brownfield-land,SiteReference,name,,,,,,
brownfield-land,Notes,notes,,,,,,
brownfield-land,OrganisationURI,organisation,,,,,,
brownfield-land,OwnershipStatus,ownership-status,,,,,,
brownfield-land,PermissionDate,planning-permission-date,,,,,,
brownfield-land,PlanningHistory,planning-permission-history,,,,,,
brownfield-land,PlanningStatus,planning-permission-status,,,,,,
brownfield-land,PermissionType,planning-permission-type,,,,,,
brownfield-land,SiteReference,reference,,,,,,
brownfield-land,SiteNameAddress,site-address,,,,,,
brownfield-land,SiteplanURL,site-plan-url,,,,,,
brownfield-land,FirstAddedDate,start-date,,,,,,
brownfield-land,DevelopmentDescription,,,,,,,
brownfield-land,SiteInformation,,,,,,,
