prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
ownership-status,,,,,owned by a public authority,10900000,,,
ownership-status,,,,,not owned by a public authority,10900001,,,
ownership-status,,,,,mixed ownership,10900002,,,
planning-permission-type,,,,,full planning permission,11900000,,,
planning-permission-type,,,,,outline planning permission,11900001,,,
planning-permission-type,,,,,outline planning permission,11900001,,,
brownfield-land,,,,local-authority:TEI,BFR001,1700000,,,
brownfield-land,,,,local-authority:TEI,BFR002,1700001,,,
brownfield-land,,,,local-authority:TEI,BFR003,1700002,,,
brownfield-land,,,,local-authority:TEI,BFR004,1700003,,,
brownfield-land,,,,local-authority:TEI,BFR005,1700004,,,
brownfield-land,,,,local-authority:TEI,BFR006,1700005,,,
brownfield-land,,,,local-authority:TEI,BFR007,1700006,,,
brownfield-land,,,,local-authority:TEI,BFR008,1700007,,,
brownfield-land,,,,local-authority:TEI,BFR009,1700008,,,
brownfield-land,,,,local-authority:TEI,BFR010,1700009,,,
brownfield-land,,,,local-authority:TEI,BFR011,1700010,,,
brownfield-land,,,,local-authority:TEI,BFR012,1700011,,,
brownfield-land,,,,local-authority:TEI,BFR013,1700012,,,
brownfield-land,,,,local-authority:TEI,BFR014,1700013,,,
brownfield-land,,,,local-authority:TEI,BFR015,1700014,,,
brownfield-land,,,,local-authority:TEI,BFR016,1700015,,,
brownfield-land,,,,local-authority:TEI,BFR017,1700016,,,
brownfield-land,,,,local-authority:TEI,BFR018,1700017,,,
brownfield-land,,,,local-authority:TEI,BFR019,1700018,,,
brownfield-land,,,,local-authority:TEI,BFR020,1700019,,,
brownfield-land,,,,local-authority:TEI,BFR021,1700020,,,
brownfield-land,,,,local-authority:TEI,BFR022,1700021,,,
brownfield-land,,,,local-authority:TEI,BFR023,1700022,,,
brownfield-land,,,,local-authority:TEI,BFR024,1700023,,,
brownfield-land,,,,local-authority:TEI,BFR025,1700024,,,
brownfield-land,,,,local-authority:TEI,BFR026,1700025,,,
brownfield-land,,,,local-authority:TEI,BFR027,1700026,,,
brownfield-land,,,,local-authority:TEI,BFR028,1700027,,,
brownfield-land,,,,local-authority:TEI,BFR029,1700028,,,
brownfield-land,,,,local-authority:TEI,BFR030,1700029,,,
brownfield-land,,,,local-authority:TEI,BFR031,1700030,,,
brownfield-land,,,,local-authority:TEI,BFR032,1700031,,,
brownfield-land,,,,local-authority:TEI,BFR033,1700032,,,
brownfield-land,,,,local-authority:TEI,BFR034,1700033,,,
brownfield-land,,,,local-authority:TEI,BFR035,1700034,,,
brownfield-land,,,,local-authority:TEI,BFR036,1700035,,,
brownfield-land,,,,local-authority:TEI,BFR037,1700036,,,
brownfield-land,,,,local-authority:TEI,BFR038,1700037,,,
brownfield-land,,,,local-authority:PUR,BR/03/001,1700038,,,
brownfield-land,,,,local-authority:PUR,BR/11/002,1700039,,,
brownfield-land,,,,local-authority:PUR,BR/11/003,1700040,,,
brownfield-land,,,,local-authority:PUR,BR/15/004,1700041,,,
brownfield-land,,,,local-authority:PUR,BR/15/005,1700042,,,
brownfield-land,,,,local-authority:PUR,BR/20/006,1700043,,,
brownfield-land,,,,local-authority:PUR,BR/20/007,1700044,,,
brownfield-land,,,,local-authority:PUR,BR/20/008,1700045,,,
brownfield-land,,,,local-authority:PUR,BR/20/009,1700046,,,
brownfield-land,,,,local-authority:PUR,BR/23/010,1700047,,,
brownfield-land,,,,local-authority:SBU,SB0005,1700048,,,
brownfield-land,,,,local-authority:SBU,SB0032,1700049,,,
brownfield-land,,,,local-authority:SBU,SB0034,1700050,,,
brownfield-land,,,,local-authority:SBU,SB0043,1700051,,,
brownfield-land,,,,local-authority:SBU,SB0055,1700052,,,
brownfield-land,,,,local-authority:SBU,SB0285,1700053,,,
brownfield-land,,,,local-authority:SBU,SB0320,1700054,,,
brownfield-land,,,,local-authority:SBU,SB0339,1700055,,,
brownfield-land,,,,local-authority:SBU,SB0387,1700056,,,
brownfield-land,,,,local-authority:SBU,SB0391,1700057,,,
brownfield-land,,,,local-authority:SBU,SB0418,1700058,,,
brownfield-land,,,,local-authority:SBU,SB0419,1700059,,,
brownfield-land,,,,local-authority:SBU,SB0421,1700060,,,
brownfield-land,,,,local-authority:SBU,SB0428,1700061,,,
brownfield-land,,,,local-authority:SBU,SB0443,1700062,,,
brownfield-land,,,,local-authority:SBU,SB0444,1700063,,,
brownfield-land,,,,local-authority:SBU,SB0446,1700064,,,
brownfield-land,,,,local-authority:SBU,SB0451,1700065,,,
brownfield-land,,,,local-authority:SBU,SB0452,1700066,,,
brownfield-land,,,,local-authority:SBU,SB0453,1700067,,,
brownfield-land,,,,local-authority:SBU,SB0454,1700068,,,
brownfield-land,,,,local-authority:SBU,SB0455,1700069,,,
brownfield-land,,,,local-authority:GOS,BR2,1700070,,,
brownfield-land,,,,local-authority:GOS,BR3,1700071,,,
brownfield-land,,,,local-authority:GOS,BR8,1700072,,,
brownfield-land,,,,local-authority:GOS,BR9,1700073,,,
brownfield-land,,,,local-authority:GOS,BR11,1700074,,,
brownfield-land,,,,local-authority:GOS,BR14,1700075,,,
brownfield-land,,,,local-authority:GOS,BR16,1700076,,,
brownfield-land,,,,local-authority:GOS,BR17,1700077,,,
brownfield-land,,,,local-authority:GOS,BR18,1700078,,,
brownfield-land,,,,local-authority:GOS,BR21,1700079,,,
brownfield-land,,,,local-authority:GOS,BR22,1700080,,,
brownfield-land,,,,local-authority:GOS,BR23,1700081,,,
brownfield-land,,,,local-authority:GOS,BR24,1700082,,,
brownfield-land,,,,local-authority:GOS,BR25,1700083,,,
brownfield-land,,,,local-authority:GOS,BR26,1700084,,,
brownfield-land,,,,local-authority:GOS,BR27,1700085,,,
brownfield-land,,,,local-authority:GOS,BR28,1700086,,,
