end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,12800000,,,,protected-wreck-site,,,,1000043
,,12800001,,,,protected-wreck-site,,,,1000044
,,12800002,,,,protected-wreck-site,,,,1000045
,,12800003,,,,protected-wreck-site,,,,1000046
,,12800004,,,,protected-wreck-site,,,,1000048
,,12800005,,,,protected-wreck-site,,,,1000049
,,12800006,,,,protected-wreck-site,,,,1000050
,,12800007,,,,protected-wreck-site,,,,1000051
,,12800008,,,,protected-wreck-site,,,,1000052
,,12800009,,,,protected-wreck-site,,,,1000053
,,12800010,,,,protected-wreck-site,,,,1000054
,,12800011,,,,protected-wreck-site,,,,1000055
,,12800012,,,,protected-wreck-site,,,,1000056
,,12800013,,,,protected-wreck-site,,,,1000057
,,12800014,,,,protected-wreck-site,,,,1000058
,,12800015,,,,protected-wreck-site,,,,1000059
,,12800016,,,,protected-wreck-site,,,,1000060
,,12800017,,,,protected-wreck-site,,,,1000061
,,12800018,,,,protected-wreck-site,,,,1000062
,,12800019,,,,protected-wreck-site,,,,1000063
,,12800020,,,,protected-wreck-site,,,,1000064
,,12800021,,,,protected-wreck-site,,,,1000065
,,12800022,,,,protected-wreck-site,,,,1000066
,,12800023,,,,protected-wreck-site,,,,1000067
,,12800024,,,,protected-wreck-site,,,,1000068
,,12800025,,,,protected-wreck-site,,,,1000069
,,12800026,,,,protected-wreck-site,,,,1000070
,,12800027,,,,protected-wreck-site,,,,1000071
,,12800028,,,,protected-wreck-site,,,,1000072
,,12800029,,,,protected-wreck-site,,,,1000073
,,12800030,,,,protected-wreck-site,,,,1000074
,,12800031,,,,protected-wreck-site,,,,1000075
,,12800032,,,,protected-wreck-site,,,,1000076
,,12800033,,,,protected-wreck-site,,,,1000077
,,12800034,,,,protected-wreck-site,,,,1000078
,,12800035,,,,protected-wreck-site,,,,1000079
,,12800036,,,,protected-wreck-site,,,,1000080
,,12800037,,,,protected-wreck-site,,,,1000081
,,12800038,,,,protected-wreck-site,,,,1000082
,,12800039,,,,protected-wreck-site,,,,1000083
,,12800040,,,,protected-wreck-site,,,,1000084
,,12800041,,,,protected-wreck-site,,,,1000085
,,12800042,,,,protected-wreck-site,,,,1000086
,,12800043,,,,protected-wreck-site,,,,1000087
,,12800044,,,,protected-wreck-site,,,,1000088
,,12800045,,,,protected-wreck-site,,,,1401982
,,12800046,,,,protected-wreck-site,,,,1402103
,,12800047,,,,protected-wreck-site,,,,1419276
,,12800048,,,,protected-wreck-site,,,,1422537
,,12800049,,,,protected-wreck-site,,,,1430265
,,12800050,,,,protected-wreck-site,,,,1432595
,,12800051,,,,protected-wreck-site,,,,1433972
,,12800052,,,,protected-wreck-site,,,,1446103
,,12800053,,,,protected-wreck-site,,,,1464317
