prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
ancient-woodland,,,,,1482758,110000137,,,
ancient-woodland,,,,,1481320,110000138,,,
ancient-woodland,,,,,1497811,110000139,,,
ancient-woodland,,,,,1481834,110000140,,,
ancient-woodland,,,,,1481157,110000141,,,
ancient-woodland,,,,,1481972,110000142,,,
ancient-woodland,,,,,1481973,110000143,,,
ancient-woodland,,,,,1481975,110000144,,,
ancient-woodland,,,,,1481976,110000145,,,
ancient-woodland,,,,,1481979,110000146,,,
ancient-woodland,,,,,1481229,110000147,,,
ancient-woodland,,,,,1481230,110000148,,,
ancient-woodland,,,,,1482659,110000149,,,
ancient-woodland,,,,,1481569,110000150,,,
ancient-woodland,,,,,1481571,110000151,,,
ancient-woodland,,,,,1481572,110000152,,,
ancient-woodland,,,,,1481921,110000153,,,
ancient-woodland,,,,,1481718,110000154,,,
ancient-woodland,,,,,1481719,110000155,,,
ancient-woodland,,,,,1481722,110000156,,,
ancient-woodland,,,,,1482207,110000157,,,
ancient-woodland,,,,,1481321,110000158,,,
ancient-woodland,,,,,1481322,110000159,,,
ancient-woodland,,,,,1482008,110000160,,,
ancient-woodland,,,,,1481855,110000161,,,
ancient-woodland,,,,,1482188,110000162,,,
ancient-woodland,,,,,1481676,110000163,,,
ancient-woodland,,,,,1480783,110000164,,,
ancient-woodland,,,,,1480784,110000165,,,
ancient-woodland,,,,,1480785,110000166,,,
ancient-woodland,,,,,1481547,110000167,,,
ancient-woodland,,,,,1481081,110000168,,,
ancient-woodland,,,,,1481210,110000169,,,
ancient-woodland,,,,,1481544,110000170,,,
ancient-woodland,,,,,1481589,110000171,,,
ancient-woodland,,,,,1482511,110000172,,,
ancient-woodland,,,,,1482386,110000173,,,
ancient-woodland,,,,,1481581,110000174,,,
ancient-woodland,,,,,1481584,110000175,,,
ancient-woodland,,,,,1482638,110000176,,,
ancient-woodland,,,,,1482268,110000177,,,
ancient-woodland,,,,,1481073,110000178,,,
ancient-woodland,,,,,1481074,110000179,,,
ancient-woodland,,,,,1482267,110000180,,,
ancient-woodland,,,,,1481077,110000181,,,
ancient-woodland,,,,,1481078,110000182,,,
ancient-woodland,,,,,1481869,110000183,,,
ancient-woodland,,,,,1480835,110000184,,,
ancient-woodland,,,,,1481903,110000185,,,
ancient-woodland,,,,,1482397,110000186,,,
ancient-woodland,,,,,1481916,110000187,,,
ancient-woodland,,,,,1482698,110000188,,,
ancient-woodland,,,,,1482313,110000189,,,
ancient-woodland,,,,,1482228,110000190,,,
ancient-woodland,,,,,1482411,110000191,,,
ancient-woodland,,,,,1481700,110000192,,,
ancient-woodland,,,,,1480678,110000193,,,
ancient-woodland,,,,,1482432,110000194,,,
ancient-woodland,,,,,1480821,110000195,,,
ancient-woodland,,,,,1480822,110000196,,,
ancient-woodland,,,,,1482660,110000197,,,
ancient-woodland,,,,,1483047,110000198,,,
ancient-woodland,,,,,1482832,110000199,,,
ancient-woodland,,,,,1481201,110000200,,,
ancient-woodland,,,,,1481198,110000201,,,
ancient-woodland,,,,,1481906,110000202,,,
ancient-woodland,,,,,1481753,110000203,,,
ancient-woodland,,,,,1481944,110000204,,,
ancient-woodland,,,,,1481943,110000205,,,
ancient-woodland,,,,,1481010,110000206,,,
ancient-woodland,,,,,1481011,110000207,,,
ancient-woodland,,,,,1481013,110000208,,,
ancient-woodland,,,,,1481984,110000209,,,
ancient-woodland,,,,,1481977,110000210,,,
ancient-woodland,,,,,1482724,110000211,,,
ancient-woodland,,,,,1481643,110000212,,,
ancient-woodland,,,,,1481646,110000213,,,
ancient-woodland,,,,,1481634,110000214,,,
ancient-woodland,,,,,1481629,110000215,,,
ancient-woodland,,,,,1481630,110000216,,,
ancient-woodland,,,,,1481631,110000217,,,
ancient-woodland,,,,,1481632,110000218,,,
ancient-woodland,,,,,1481645,110000219,,,
ancient-woodland,,,,,1482499,110000220,,,
ancient-woodland,,,,,1481018,110000221,,,
ancient-woodland,,,,,1481015,110000222,,,
ancient-woodland,,,,,1481016,110000223,,,
ancient-woodland,,,,,1482423,110000224,,,
ancient-woodland,,,,,1480802,110000225,,,
ancient-woodland,,,,,1481096,110000226,,,
ancient-woodland,,,,,1482078,110000227,,,
ancient-woodland,,,,,1482083,110000228,,,
ancient-woodland,,,,,1482076,110000229,,,
ancient-woodland,,,,,1482409,110000230,,,
ancient-woodland,,,,,1481696,110000231,,,
ancient-woodland,,,,,1482045,110000232,,,
ancient-woodland,,,,,1482672,110000233,,,
ancient-woodland,,,,,1482080,110000234,,,
ancient-woodland,,,,,1481995,110000235,,,
ancient-woodland,,,,,1481431,110000236,,,
ancient-woodland,,,,,1481919,110000237,,,
ancient-woodland,,,,,1481925,110000238,,,
ancient-woodland,,,,,1481670,110000239,,,
ancient-woodland,,,,,1481444,110000240,,,
ancient-woodland,,,,,1481190,110000241,,,
ancient-woodland,,,,,1481189,110000242,,,
ancient-woodland,,,,,1481194,110000243,,,
ancient-woodland,,,,,1482221,110000244,,,
ancient-woodland,,,,,1482209,110000245,,,
ancient-woodland,,,,,1481046,110000246,,,
ancient-woodland,,,,,1481047,110000247,,,
ancient-woodland,,,,,1481048,110000248,,,
ancient-woodland,,,,,1481894,110000249,,,
ancient-woodland,,,,,1481935,110000250,,,
ancient-woodland,,,,,1482455,110000251,,,
ancient-woodland,,,,,1482091,110000252,,,
ancient-woodland,,,,,1481316,110000253,,,
ancient-woodland,,,,,1482098,110000254,,,
ancient-woodland,,,,,1481319,110000255,,,
ancient-woodland,,,,,1481771,110000256,,,
ancient-woodland,,,,,1481460,110000257,,,
ancient-woodland,,,,,1482202,110000258,,,
ancient-woodland,,,,,1481596,110000259,,,
ancient-woodland,,,,,1497867,110000260,,,
ancient-woodland,,,,,1497807,110000261,,,
ancient-woodland,,,,,1482498,110000262,,,
ancient-woodland,,,,,1481760,110000263,,,
ancient-woodland,,,,,1482089,110000264,,,
ancient-woodland,,,,,1482075,110000265,,,
ancient-woodland,,,,,1480877,110000266,,,
ancient-woodland,,,,,1481765,110000267,,,
ancient-woodland,,,,,1482708,110000268,,,
ancient-woodland,,,,,1481660,110000269,,,
ancient-woodland,,,,,1482379,110000270,,,
ancient-woodland,,,,,1482011,110000271,,,
ancient-woodland,,,,,1482131,110000272,,,
ancient-woodland,,,,,1482149,110000273,,,
ancient-woodland,,,,,1480943,110000274,,,
ancient-woodland,,,,,1482117,110000275,,,
ancient-woodland,,,,,1482112,110000276,,,
ancient-woodland,,,,,1482377,110000277,,,
ancient-woodland,,,,,1482375,110000278,,,
ancient-woodland,,,,,1482002,110000279,,,
ancient-woodland,,,,,1481287,110000280,,,
ancient-woodland,,,,,1482103,110000281,,,
ancient-woodland,,,,,1482105,110000282,,,
ancient-woodland,,,,,1482106,110000283,,,
ancient-woodland,,,,,1482604,110000284,,,
ancient-woodland,,,,,1482275,110000285,,,
ancient-woodland,,,,,1481040,110000286,,,
ancient-woodland,,,,,1482009,110000287,,,
ancient-woodland,,,,,1482010,110000288,,,
ancient-woodland,,,,,1482279,110000289,,,
ancient-woodland,,,,,1482278,110000290,,,
ancient-woodland,,,,,1482559,110000291,,,
ancient-woodland,,,,,1481129,110000292,,,
ancient-woodland,,,,,1481130,110000293,,,
ancient-woodland,,,,,1482028,110000294,,,
ancient-woodland,,,,,1482622,110000295,,,
ancient-woodland,,,,,1481242,110000296,,,
ancient-woodland,,,,,1481234,110000297,,,
ancient-woodland,,,,,1481608,110000298,,,
ancient-woodland,,,,,1482310,110000299,,,
ancient-woodland,,,,,1481639,110000300,,,
ancient-woodland,,,,,1481638,110000301,,,
ancient-woodland,,,,,1481636,110000302,,,
ancient-woodland,,,,,1480809,110000303,,,
ancient-woodland,,,,,1480805,110000304,,,
ancient-woodland,,,,,1481500,110000305,,,
ancient-woodland,,,,,1482249,110000306,,,
ancient-woodland,,,,,1480883,110000307,,,
ancient-woodland,,,,,1482407,110000308,,,
ancient-woodland,,,,,1482753,110000309,,,
ancient-woodland,,,,,1482580,110000310,,,
ancient-woodland,,,,,1481253,110000311,,,
ancient-woodland,,,,,1481656,110000312,,,
ancient-woodland,,,,,1481227,110000313,,,
ancient-woodland,,,,,1481335,110000314,,,
ancient-woodland,,,,,1482425,110000315,,,
ancient-woodland,,,,,1482079,110000316,,,
ancient-woodland,,,,,1482365,110000317,,,
ancient-woodland,,,,,1482097,110000318,,,
ancient-woodland,,,,,1482555,110000319,,,
ancient-woodland,,,,,1481432,110000320,,,
ancient-woodland,,,,,1480743,110000321,,,
ancient-woodland,,,,,1482485,110000322,,,
ancient-woodland,,,,,1481245,110000323,,,
ancient-woodland,,,,,1481905,110000324,,,
ancient-woodland,,,,,1481350,110000325,,,
ancient-woodland,,,,,1481685,110000326,,,
ancient-woodland,,,,,1481300,110000327,,,
ancient-woodland,,,,,1482558,110000328,,,
ancient-woodland,,,,,1481404,110000329,,,
ancient-woodland,,,,,1481466,110000330,,,
ancient-woodland,,,,,1480993,110000331,,,
ancient-woodland,,,,,1482038,110000332,,,
ancient-woodland,,,,,1481856,110000333,,,
ancient-woodland,,,,,1481857,110000334,,,
ancient-woodland,,,,,1481383,110000335,,,
ancient-woodland,,,,,1482022,110000336,,,
ancient-woodland,,,,,1497800,110000337,,,
ancient-woodland,,,,,1481062,110000338,,,
ancient-woodland,,,,,1482304,110000339,,,
ancient-woodland,,,,,1497881,110000340,,,
ancient-woodland,,,,,1497882,110000341,,,
ancient-woodland,,,,,1482674,110000342,,,
ancient-woodland,,,,,1480792,110000343,,,
ancient-woodland,,,,,1480740,110000344,,,
ancient-woodland,,,,,1481635,110000345,,,
ancient-woodland,,,,,1481649,110000346,,,
ancient-woodland,,,,,1481255,110000347,,,
ancient-woodland,,,,,1481886,110000348,,,
ancient-woodland,,,,,1481887,110000349,,,
ancient-woodland,,,,,1481892,110000350,,,
ancient-woodland,,,,,1481384,110000351,,,
ancient-woodland,,,,,1481385,110000352,,,
ancient-woodland,,,,,1481386,110000353,,,
ancient-woodland,,,,,1480923,110000354,,,
ancient-woodland,,,,,1480926,110000355,,,
ancient-woodland,,,,,1482541,110000356,,,
ancient-woodland,,,,,1482169,110000357,,,
ancient-woodland,,,,,1482170,110000358,,,
ancient-woodland,,,,,1481283,110000359,,,
ancient-woodland,,,,,1481284,110000360,,,
ancient-woodland,,,,,1482489,110000361,,,
ancient-woodland,,,,,1481604,110000362,,,
ancient-woodland,,,,,1480865,110000363,,,
ancient-woodland,,,,,1482066,110000364,,,
ancient-woodland,,,,,1482232,110000365,,,
ancient-woodland,,,,,1481748,110000366,,,
ancient-woodland,,,,,1481063,110000367,,,
ancient-woodland,,,,,1482302,110000368,,,
ancient-woodland,,,,,1482301,110000369,,,
ancient-woodland,,,,,1481064,110000370,,,
ancient-woodland,,,,,1482668,110000371,,,
ancient-woodland,,,,,1482652,110000372,,,
ancient-woodland,,,,,1482135,110000373,,,
ancient-woodland,,,,,1481802,110000374,,,
ancient-woodland,,,,,1481803,110000375,,,
ancient-woodland,,,,,1481801,110000376,,,
ancient-woodland,,,,,1481804,110000377,,,
ancient-woodland,,,,,1481798,110000378,,,
ancient-woodland,,,,,1481924,110000379,,,
ancient-woodland,,,,,1482246,110000380,,,
ancient-woodland,,,,,1481348,110000381,,,
ancient-woodland,,,,,1481336,110000382,,,
ancient-woodland,,,,,1480813,110000383,,,
ancient-woodland,,,,,1480815,110000384,,,
ancient-woodland,,,,,1480890,110000385,,,
ancient-woodland,,,,,1481037,110000386,,,
ancient-woodland,,,,,1481038,110000387,,,
ancient-woodland,,,,,1481553,110000388,,,
ancient-woodland,,,,,1481554,110000389,,,
ancient-woodland,,,,,1481555,110000390,,,
ancient-woodland,,,,,1481556,110000391,,,
ancient-woodland,,,,,1481470,110000392,,,
ancient-woodland,,,,,1481464,110000393,,,
ancient-woodland,,,,,1480782,110000394,,,
ancient-woodland,,,,,1481426,110000395,,,
ancient-woodland,,,,,1482452,110000396,,,
ancient-woodland,,,,,1481425,110000397,,,
ancient-woodland,,,,,1482321,110000398,,,
ancient-woodland,,,,,1482523,110000399,,,
ancient-woodland,,,,,1482085,110000400,,,
ancient-woodland,,,,,1481610,110000401,,,
ancient-woodland,,,,,1481859,110000402,,,
ancient-woodland,,,,,1482334,110000403,,,
ancient-woodland,,,,,1482680,110000404,,,
ancient-woodland,,,,,1482623,110000405,,,
ancient-woodland,,,,,1481712,110000406,,,
ancient-woodland,,,,,1481717,110000407,,,
ancient-woodland,,,,,1482395,110000408,,,
ancient-woodland,,,,,1480933,110000409,,,
ancient-woodland,,,,,1482290,110000410,,,
