dataset,entity-minimum,entity-maximum,organisation
design-code,641000,641000,local-authority:NUN
design-code,641001,641001,local-authority:BUC
design-code,641002,641002,local-authority:GRT
design-code,641003,641003,local-authority:HYN
design-code,641004,641005,local-authority:POR
design-code,641006,641006,local-authority:DAC
design-code,641007,641007,local-authority:HEF
design-code,641008,641008,local-authority:NWL
design-code,641009,641009,local-authority:SWK
design-code,641010,641010,local-authority:SRY
design-code,641011,641011,local-authority:TRF
design-code,641012,641012,local-authority:ESS
design-code,641013,641013,local-authority:DUD
design-code,641014,641014,local-authority:MAS
design-code,641015,641015,local-authority:BEN
design-code,641016,641016,local-authority:MDW
design-code,641017,641017,local-authority:ERY
design-code,641018,641018,local-authority:LAN
design-code,641019,641019,local-authority:DAC
design-code,641020,641020,local-authority:REI
design-code-area,627000,627001,local-authority:NUN
design-code-area,627002,627002,local-authority:BUC
design-code-area,627003,627003,local-authority:GRT
design-code-area,627004,627004,local-authority:HYN
design-code-area,627005,627009,local-authority:POR
design-code-area,627010,627010,local-authority:NWL
design-code-area,627011,627011,local-authority:POR
design-code-area-type,622500,622509,government-organisation:D1342
design-code-characteristic,640000,640010,government-organisation:D1342
design-code-rule,8700000,8700085,local-authority:SRY
design-code-rule,8700086,8700225,local-authority:DUD
design-code-rule,8700226,8700404,local-authority:TRF
design-code-rule,8700405,8700998,local-authority:ESS
