end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,16100000,,,,world-heritage-site,,,,1000089
,,16100001,,,,world-heritage-site,,,,1000090
,,16100002,,,,world-heritage-site,,,,1000091
,,16100003,,,,world-heritage-site,,,,1000092
,,16100004,,,,world-heritage-site,,,,1000093
,,16100005,,,,world-heritage-site,,,,1000094
,,16100006,,,,world-heritage-site,,,,1000095
,,16100007,,,,world-heritage-site,,,,1000096
,,16100008,,,,world-heritage-site,,,,1000097
,,16100009,,,,world-heritage-site,,,,1000098
,,16100010,,,,world-heritage-site,,,,1000099
,,16100011,,,,world-heritage-site,,,,1000100
,,16100012,,,,world-heritage-site,,,,1000101
,,16100013,,,,world-heritage-site,,,,1000102
,,16100014,,,,world-heritage-site,,,,1000103
,,16100015,,,,world-heritage-site,,,,1000104
,,16100016,,,,world-heritage-site,,,,1000105
,,16100017,,,,world-heritage-site,,,,1000106
,,16100018,,,,world-heritage-site,,,,1452615
,,16100019,,,,world-heritage-site,,,,1466112
