dataset,end-date,endpoint,entry-date,entry-number,field,pattern,resource,start-date
tree,,0c83c1c9572e704f3d51c4a5dd5f950c5aa0e9ecf7353a009b03575beecf5a47,,,tree-preservation-order-tree,Individual,,
tree,,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,,,tree-preservation-order-tree,Tree,,
tree,,422e2a9f2fb1d809d8849e05556aa7c232060673c1cc51d84bcf9bb586d5de52,,,tree-preservation-order-tree,Individual,,
tree,,8aa207a3d81a8fb327763abd85ca810e6cd5e32f6745037f0d07cb29cf0f6a31,,,tree-preservation-order-tree,^(?!T),,
tree,,d56085492d6911fb4904ad3e9cb5ca61a61a9027d39c63c0e6cb4051ec76d855,,,tree-preservation-order-tree,Individual,,
tree,,d6abdbc3123bc4b60ee9d34ab1ec52dda34d67e6260802df6a944a5f7d09352b,,,tree-preservation-order-tree,Individual,,
tree,,,,,tree-preservation-order-tree,Individual,f25eb2e306129adc04c1866541d64f32c7fd9e53311c6b1b33098936f26cf9dd,
tree,,,,,tree-preservation-zone-type,Individual,28cff16a15892b5d99e0fbdb99921bf1cfce6ac4a72017c54c012c4c07378169,
tree-preservation-zone,,0c83c1c9572e704f3d51c4a5dd5f950c5aa0e9ecf7353a009b03575beecf5a47,,,tree-preservation-zone-type,Area,,
tree-preservation-zone,,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,,,tree-preservation-zone-type,(?!Tree),,
tree-preservation-zone,,422e2a9f2fb1d809d8849e05556aa7c232060673c1cc51d84bcf9bb586d5de52,,,tree-preservation-zone-type,(?!Individual),,
tree-preservation-zone,,8aa207a3d81a8fb327763abd85ca810e6cd5e32f6745037f0d07cb29cf0f6a31,,,tree-preservation-zone-type,^T,,
tree-preservation-zone,,d56085492d6911fb4904ad3e9cb5ca61a61a9027d39c63c0e6cb4051ec76d855,,,tree-preservation-zone-type,(?!Individual),,
tree-preservation-zone,,d6abdbc3123bc4b60ee9d34ab1ec52dda34d67e6260802df6a944a5f7d09352b,,,tree-preservation-zone-type,(?!Individual),,
tree-preservation-zone,,,,,tree-preservation-zone-type,(?!Individual),f25eb2e306129adc04c1866541d64f32c7fd9e53311c6b1b33098936f26cf9dd,
tree-preservation-zone,,,,,tree-preservation-zone-type,Area,28cff16a15892b5d99e0fbdb99921bf1cfce6ac4a72017c54c012c4c07378169,
