end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,7001000000,,,local-authority-eng:LBH,tree-preservation-order,,,,1
,,7001000001,,,local-authority-eng:LBH,tree-preservation-order,,,,2
,,7001000002,,,local-authority-eng:LBH,tree-preservation-order,,,,3
,,7001000003,,,local-authority-eng:LBH,tree-preservation-order,,,,4
,,7001000004,,,local-authority-eng:LBH,tree-preservation-order,,,,5
,,7001000005,,,local-authority-eng:LBH,tree-preservation-order,,,,6
,,7001000006,,,local-authority-eng:LBH,tree-preservation-order,,,,7
,,7001000007,,,local-authority-eng:LBH,tree-preservation-order,,,,8
,,7001000008,,,local-authority-eng:LBH,tree-preservation-order,,,,9
,,7001000009,,,local-authority-eng:LBH,tree-preservation-order,,,,10
,,7001000010,,,local-authority-eng:LBH,tree-preservation-order,,,,11
,,7001000011,,,local-authority-eng:LBH,tree-preservation-order,,,,12
,,7001000012,,,local-authority-eng:LBH,tree-preservation-order,,,,13
,,7001000013,,,local-authority-eng:LBH,tree-preservation-order,,,,14
,,7001000014,,,local-authority-eng:LBH,tree-preservation-order,,,,15
,,7001000015,,,local-authority-eng:LBH,tree-preservation-order,,,,16
,,7001000016,,,local-authority-eng:LBH,tree-preservation-order,,,,17
,,7001000017,,,local-authority-eng:LBH,tree-preservation-order,,,,18
,,7001000018,,,local-authority-eng:LBH,tree-preservation-order,,,,19
,,7001000019,,,local-authority-eng:LBH,tree-preservation-order,,,,20
,,7001000020,,,local-authority-eng:LBH,tree-preservation-order,,,,21
,,7001000021,,,local-authority-eng:LBH,tree-preservation-order,,,,22
,,7001000022,,,local-authority-eng:LBH,tree-preservation-order,,,,23
,,7001000023,,,local-authority-eng:LBH,tree-preservation-order,,,,24
,,7001000024,,,local-authority-eng:LBH,tree-preservation-order,,,,26
,,7001000025,,,local-authority-eng:LBH,tree-preservation-order,,,,27
,,7001000026,,,local-authority-eng:LBH,tree-preservation-order,,,,28
,,7001000027,,,local-authority-eng:LBH,tree-preservation-order,,,,29
,,7001000028,,,local-authority-eng:LBH,tree-preservation-order,,,,30
,,7001000029,,,local-authority-eng:LBH,tree-preservation-order,,,,31
,,7001000030,,,local-authority-eng:LBH,tree-preservation-order,,,,32
,,7001000031,,,local-authority-eng:LBH,tree-preservation-order,,,,33
,,7001000032,,,local-authority-eng:LBH,tree-preservation-order,,,,34
,,7001000033,,,local-authority-eng:LBH,tree-preservation-order,,,,35
,,7001000034,,,local-authority-eng:LBH,tree-preservation-order,,,,36
,,7001000035,,,local-authority-eng:LBH,tree-preservation-order,,,,37
,,7001000036,,,local-authority-eng:LBH,tree-preservation-order,,,,38
,,7001000037,,,local-authority-eng:LBH,tree-preservation-order,,,,40
,,7001000038,,,local-authority-eng:LBH,tree-preservation-order,,,,41
,,7001000039,,,local-authority-eng:LBH,tree-preservation-order,,,,42
,,7001000040,,,local-authority-eng:LBH,tree-preservation-order,,,,43
,,7001000041,,,local-authority-eng:LBH,tree-preservation-order,,,,44
,,7001000042,,,local-authority-eng:LBH,tree-preservation-order,,,,47
,,7001000043,,,local-authority-eng:LBH,tree-preservation-order,,,,48
,,7001000044,,,local-authority-eng:LBH,tree-preservation-order,,,,49
,,7001000045,,,local-authority-eng:LBH,tree-preservation-order,,,,51
,,7001000046,,,local-authority-eng:LBH,tree-preservation-order,,,,52
,,7001000047,,,local-authority-eng:LBH,tree-preservation-order,,,,53
,,7001000048,,,local-authority-eng:LBH,tree-preservation-order,,,,54
,,7001000049,,,local-authority-eng:LBH,tree-preservation-order,,,,55
,,7001000050,,,local-authority-eng:LBH,tree-preservation-order,,,,56
,,7001000051,,,local-authority-eng:LBH,tree-preservation-order,,,,57
,,7001000052,,,local-authority-eng:LBH,tree-preservation-order,,,,58
,,7001000053,,,local-authority-eng:LBH,tree-preservation-order,,,,59
,,7001000054,,,local-authority-eng:LBH,tree-preservation-order,,,,60
,,7001000055,,,local-authority-eng:LBH,tree-preservation-order,,,,61
,,7001000056,,,local-authority-eng:LBH,tree-preservation-order,,,,62
,,7001000057,,,local-authority-eng:LBH,tree-preservation-order,,,,63
,,7001000058,,,local-authority-eng:LBH,tree-preservation-order,,,,64
,,7001000059,,,local-authority-eng:LBH,tree-preservation-order,,,,65
,,7001000060,,,local-authority-eng:LBH,tree-preservation-order,,,,66
,,7001000061,,,local-authority-eng:LBH,tree-preservation-order,,,,67
,,7001000062,,,local-authority-eng:LBH,tree-preservation-order,,,,68
,,7001000063,,,local-authority-eng:LBH,tree-preservation-order,,,,69
,,7001000064,,,local-authority-eng:LBH,tree-preservation-order,,,,70
,,7001000065,,,local-authority-eng:LBH,tree-preservation-order,,,,72
,,7001000066,,,local-authority-eng:LBH,tree-preservation-order,,,,73
,,7001000067,,,local-authority-eng:LBH,tree-preservation-order,,,,74
,,7001000068,,,local-authority-eng:LBH,tree-preservation-order,,,,75
,,7001000069,,,local-authority-eng:LBH,tree-preservation-order,,,,76
,,7001000070,,,local-authority-eng:LBH,tree-preservation-order,,,,77
,,7001000071,,,local-authority-eng:LBH,tree-preservation-order,,,,78
,,7001000072,,,local-authority-eng:LBH,tree-preservation-order,,,,79
,,7001000073,,,local-authority-eng:LBH,tree-preservation-order,,,,81
,,7001000074,,,local-authority-eng:LBH,tree-preservation-order,,,,82
