datasets,organisations,operation,parameters,name,description,notes,severity,responsibility,end-date,entry-date,start-date
tree,local-authority:ASF;local-authority:BAI;local-authority:BDG;local-authority:BIR;local-authority:BNE;local-authority:BOL;local-authority:BRO;local-authority:BST;local-authority:BUC;local-authority:CAS;local-authority:CAT;local-authority:CBF;local-authority:CMD;local-authority:CRY;local-authority:DAC;local-authority:DNC;local-authority:DOV;local-authority:DST;local-authority:ECA;local-authority:EHA;local-authority:EHE;local-authority:ENF;local-authority:EPS;local-authority:GAT;local-authority:GLO;local-authority:GRY;local-authority:HNS;local-authority:HOR;local-authority:HRY;local-authority:KEC;local-authority:KTT;local-authority:LBH;local-authority:LCE;local-authority:LIV;local-authority:LND;local-authority:MDW;local-authority:MIK;local-authority:NBL;local-authority:NED;local-authority:NET;local-authority:NEW;local-authority:NLN;local-authority:NSM;local-authority:NYUA;local-authority:PLY;local-authority:PTE;local-authority:RCH;local-authority:RDB;local-authority:ROH;local-authority:ROS;local-authority:SAL;local-authority:SAW;local-authority:SCA;local-authority:SGC;local-authority:SLF;local-authority:SNO;local-authority:SPE;local-authority:SST;local-authority:SUR;local-authority:SWK;local-authority:TAN;local-authority:TEN;local-authority:TEW;local-authority:TOB;local-authority:TRF;local-authority:TWH;local-authority:WAE;local-authority:WBK;local-authority:WFT;local-authority:WRL;local-authority:WSM;local-authority:YOR;national-park-authority:Q72617158,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":{{ organisation.entity }},""expected"":0,""geometric_relation"":""not_intersects""}",Check no tree entities are outside of the local planning authority boundary,A test to check there are no tree entities outside of the boundary for {{ organisation.name }}. It uses the local planning authority dataset.,,notice,external,,06/12/2024,06/12/2024
tree-preservation-zone,local-authority:ASF;local-authority:BAI;local-authority:BDG;local-authority:BIR;local-authority:BNE;local-authority:BOL;local-authority:BRO;local-authority:BST;local-authority:BUC;local-authority:CAS;local-authority:CAT;local-authority:CBF;local-authority:CMD;local-authority:CRY;local-authority:DAC;local-authority:DNC;local-authority:DOV;local-authority:DST;local-authority:ECA;local-authority:EHA;local-authority:EHE;local-authority:ENF;local-authority:EPS;local-authority:GAT;local-authority:GLO;local-authority:GRY;local-authority:HNS;local-authority:HOR;local-authority:HRY;local-authority:KEC;local-authority:KTT;local-authority:LBH;local-authority:LCE;local-authority:LIV;local-authority:LND;local-authority:MDW;local-authority:MIK;local-authority:NBL;local-authority:NED;local-authority:NET;local-authority:NEW;local-authority:NLN;local-authority:NSM;local-authority:NYUA;local-authority:PLY;local-authority:PTE;local-authority:RCH;local-authority:RDB;local-authority:ROH;local-authority:ROS;local-authority:SAL;local-authority:SAW;local-authority:SCA;local-authority:SGC;local-authority:SLF;local-authority:SNO;local-authority:SPE;local-authority:SST;local-authority:SUR;local-authority:SWK;local-authority:TAN;local-authority:TEN;local-authority:TEW;local-authority:TOB;local-authority:TRF;local-authority:TWH;local-authority:WAE;local-authority:WBK;local-authority:WFT;local-authority:WRL;local-authority:WSM;local-authority:YOR;national-park-authority:Q72617158,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":{{ organisation.entity }},""expected"":0,""geometric_relation"":""not_intersects""}",Check no tree-preservation-zone entities are outside of the local planning authority boundary,A test to check there are no tree-preservation-zone entities outside of the boundary for {{ organisation.name }}. It uses the local planning authority dataset.,,notice,external,,06/12/2024,06/12/2024
tree,local-authority:ASF;local-authority:BAI;local-authority:BDG;local-authority:BIR;local-authority:BNE;local-authority:BOL;local-authority:BRO;local-authority:BST;local-authority:BUC;local-authority:CAS;local-authority:CAT;local-authority:CBF;local-authority:CMD;local-authority:CRY;local-authority:DAC;local-authority:DNC;local-authority:DOV;local-authority:DST;local-authority:ECA;local-authority:EHA;local-authority:EHE;local-authority:ENF;local-authority:EPS;local-authority:GAT;local-authority:GLO;local-authority:GRY;local-authority:HNS;local-authority:HOR;local-authority:HRY;local-authority:KEC;local-authority:KTT;local-authority:LBH;local-authority:LCE;local-authority:LIV;local-authority:LND;local-authority:MDW;local-authority:MIK;local-authority:NBL;local-authority:NED;local-authority:NET;local-authority:NEW;local-authority:NLN;local-authority:NSM;local-authority:NYUA;local-authority:PLY;local-authority:PTE;local-authority:RCH;local-authority:RDB;local-authority:ROH;local-authority:ROS;local-authority:SAL;local-authority:SAW;local-authority:SCA;local-authority:SGC;local-authority:SLF;local-authority:SNO;local-authority:SPE;local-authority:SST;local-authority:SUR;local-authority:SWK;local-authority:TAN;local-authority:TEN;local-authority:TEW;local-authority:TOB;local-authority:TRF;local-authority:TWH;local-authority:WAE;local-authority:WBK;local-authority:WFT;local-authority:WRL;local-authority:WSM;local-authority:YOR;national-park-authority:Q72617158,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no tree entities are missing from the entities on the active resource,A test to check there are no tree entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,external,,27/01/2025,27/01/2025
tree-preservation-order,local-authority:ASF;local-authority:BAI;local-authority:BDG;local-authority:BIR;local-authority:BNE;local-authority:BOL;local-authority:BRO;local-authority:BST;local-authority:BUC;local-authority:CAS;local-authority:CAT;local-authority:CBF;local-authority:CMD;local-authority:CRY;local-authority:DAC;local-authority:DNC;local-authority:DOV;local-authority:DST;local-authority:ECA;local-authority:EHA;local-authority:EHE;local-authority:ENF;local-authority:EPS;local-authority:GAT;local-authority:GLO;local-authority:GRY;local-authority:HNS;local-authority:HOR;local-authority:HRY;local-authority:KEC;local-authority:KTT;local-authority:LBH;local-authority:LCE;local-authority:LIV;local-authority:LND;local-authority:MDW;local-authority:MIK;local-authority:NBL;local-authority:NED;local-authority:NET;local-authority:NEW;local-authority:NLN;local-authority:NSM;local-authority:NYUA;local-authority:PLY;local-authority:PTE;local-authority:RCH;local-authority:RDB;local-authority:ROH;local-authority:ROS;local-authority:SAL;local-authority:SAW;local-authority:SCA;local-authority:SGC;local-authority:SLF;local-authority:SNO;local-authority:SPE;local-authority:SST;local-authority:SUR;local-authority:SWK;local-authority:TAN;local-authority:TEN;local-authority:TEW;local-authority:TOB;local-authority:TRF;local-authority:TWH;local-authority:WAE;local-authority:WBK;local-authority:WFT;local-authority:WRL;local-authority:WSM;local-authority:YOR;national-park-authority:Q72617158,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no tree-preservation-order entities are missing from the entities on the active resource,A test to check there are no tree-preservation-order entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,external,,27/01/2025,27/01/2025
tree-preservation-zone,local-authority:ASF;local-authority:BAI;local-authority:BDG;local-authority:BIR;local-authority:BNE;local-authority:BOL;local-authority:BRO;local-authority:BST;local-authority:BUC;local-authority:CAS;local-authority:CAT;local-authority:CBF;local-authority:CMD;local-authority:CRY;local-authority:DAC;local-authority:DNC;local-authority:DOV;local-authority:DST;local-authority:ECA;local-authority:EHA;local-authority:EHE;local-authority:ENF;local-authority:EPS;local-authority:GAT;local-authority:GLO;local-authority:GRY;local-authority:HNS;local-authority:HOR;local-authority:HRY;local-authority:KEC;local-authority:KTT;local-authority:LBH;local-authority:LCE;local-authority:LIV;local-authority:LND;local-authority:MDW;local-authority:MIK;local-authority:NBL;local-authority:NED;local-authority:NET;local-authority:NEW;local-authority:NLN;local-authority:NSM;local-authority:NYUA;local-authority:PLY;local-authority:PTE;local-authority:RCH;local-authority:RDB;local-authority:ROH;local-authority:ROS;local-authority:SAL;local-authority:SAW;local-authority:SCA;local-authority:SGC;local-authority:SLF;local-authority:SNO;local-authority:SPE;local-authority:SST;local-authority:SUR;local-authority:SWK;local-authority:TAN;local-authority:TEN;local-authority:TEW;local-authority:TOB;local-authority:TRF;local-authority:TWH;local-authority:WAE;local-authority:WBK;local-authority:WFT;local-authority:WRL;local-authority:WSM;local-authority:YOR;national-park-authority:Q72617158,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no tree-preservation-zone entities are missing from the entities on the active resource,A test to check there are no tree-preservation-zone entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,external,,27/01/2025,27/01/2025
