dataset,entity-minimum,entity-maximum,organisation
addressbase-custodian,11,11,nan
addressbase-custodian,26,44,nan
addressbase-custodian,46,53,nan
addressbase-custodian,55,66,nan
addressbase-custodian,68,70,nan
addressbase-custodian,72,88,nan
addressbase-custodian,90,96,nan
addressbase-custodian,98,104,nan
addressbase-custodian,106,107,nan
addressbase-custodian,109,109,nan
addressbase-custodian,111,111,nan
addressbase-custodian,113,131,nan
addressbase-custodian,134,134,nan
addressbase-custodian,136,143,nan
addressbase-custodian,145,145,nan
addressbase-custodian,148,156,nan
addressbase-custodian,158,172,nan
addressbase-custodian,174,182,nan
addressbase-custodian,184,190,nan
addressbase-custodian,192,193,nan
addressbase-custodian,195,195,nan
addressbase-custodian,197,200,nan
addressbase-custodian,202,224,nan
addressbase-custodian,226,229,nan
addressbase-custodian,231,238,nan
addressbase-custodian,242,246,nan
addressbase-custodian,248,249,nan
addressbase-custodian,251,282,nan
addressbase-custodian,284,288,nan
addressbase-custodian,290,306,nan
addressbase-custodian,308,311,nan
addressbase-custodian,313,321,nan
addressbase-custodian,323,330,nan
addressbase-custodian,332,348,nan
addressbase-custodian,350,353,nan
addressbase-custodian,355,361,nan
addressbase-custodian,363,374,nan
addressbase-custodian,376,380,nan
addressbase-custodian,382,385,nan
addressbase-custodian,387,388,nan
addressbase-custodian,390,390,nan
addressbase-custodian,392,395,nan
billing-authority,26,53,nan
billing-authority,55,66,nan
billing-authority,68,96,nan
billing-authority,98,111,nan
billing-authority,113,131,nan
billing-authority,133,193,nan
billing-authority,195,224,nan
billing-authority,226,238,nan
billing-authority,240,282,nan
billing-authority,284,330,nan
billing-authority,332,348,nan
billing-authority,350,361,nan
billing-authority,363,374,nan
billing-authority,376,385,nan
billing-authority,387,390,nan
billing-authority,392,405,nan
billing-authority,407,407,nan
billing-authority,409,409,nan
billing-authority,411,411,nan
billing-authority,413,420,nan
company,11,11,nan
company,23,23,nan
company,406,406,nan
development-corporation,1,9,nan
development-corporation,600003,600007,nan
development-corporation,4700000,4700011,nan
esd-inventories,37,37,nan
esd-inventories,57,57,nan
esd-inventories,63,63,nan
esd-inventories,91,91,nan
