prefix,resource,entry-number,organisation,reference,entity
statistical-geography,,,,E63007092,2500000
statistical-geography,,,,E63007093,2500001
statistical-geography,,,,E63007094,2500002
statistical-geography,,,,E63007095,2500003
statistical-geography,,,,E63007096,2500004
statistical-geography,,,,E63007097,2500005
statistical-geography,,,,E63007098,2500006
statistical-geography,,,,E63007099,2500007
statistical-geography,,,,E63007100,2500008
statistical-geography,,,,E63007101,2500009
statistical-geography,,,,E63007102,2500010
statistical-geography,,,,E63007103,2500011
statistical-geography,,,,E63007104,2500012
statistical-geography,,,,E63007105,2500013
statistical-geography,,,,E63007106,2500014
statistical-geography,,,,E63007107,2500015
statistical-geography,,,,E63007108,2500016
statistical-geography,,,,E63007109,2500017
statistical-geography,,,,E63007110,2500018
statistical-geography,,,,E63007111,2500019
statistical-geography,,,,E63007112,2500020
statistical-geography,,,,E63007113,2500021
statistical-geography,,,,E63007114,2500022
statistical-geography,,,,E63007115,2500023
statistical-geography,,,,E63007116,2500024
statistical-geography,,,,E63007117,2500025
statistical-geography,,,,E63007118,2500026
statistical-geography,,,,E63007119,2500027
statistical-geography,,,,E63007120,2500028
statistical-geography,,,,E63007121,2500029
statistical-geography,,,,E63007122,2500030
statistical-geography,,,,E63007123,2500031
statistical-geography,,,,E63007124,2500032
statistical-geography,,,,E63007125,2500033
statistical-geography,,,,E63007126,2500034
statistical-geography,,,,E63007127,2500035
statistical-geography,,,,E63007128,2500036
statistical-geography,,,,E63007129,2500037
statistical-geography,,,,E63007130,2500038
statistical-geography,,,,E63007131,2500039
statistical-geography,,,,E63007132,2500040
statistical-geography,,,,E63007133,2500041
statistical-geography,,,,E63007134,2500042
statistical-geography,,,,E63007135,2500043
statistical-geography,,,,E63007136,2500044
statistical-geography,,,,E63007137,2500045
statistical-geography,,,,E63007138,2500046
statistical-geography,,,,E63007139,2500047
statistical-geography,,,,E63007140,2500048
statistical-geography,,,,E63007141,2500049
statistical-geography,,,,E63007142,2500050
statistical-geography,,,,E63007143,2500051
statistical-geography,,,,E63007144,2500052
statistical-geography,,,,E63007145,2500053
statistical-geography,,,,E63007146,2500054
statistical-geography,,,,E63007147,2500055
statistical-geography,,,,E63007148,2500056
statistical-geography,,,,E63007149,2500057
statistical-geography,,,,E63007150,2500058
statistical-geography,,,,E63007151,2500059
statistical-geography,,,,E63007152,2500060
statistical-geography,,,,E63007153,2500061
statistical-geography,,,,E63007154,2500062
statistical-geography,,,,E63007155,2500063
statistical-geography,,,,E63007156,2500064
statistical-geography,,,,E63007157,2500065
statistical-geography,,,,E63007158,2500066
statistical-geography,,,,E63007159,2500067
statistical-geography,,,,E63007160,2500068
statistical-geography,,,,E63007161,2500069
statistical-geography,,,,E63007162,2500070
statistical-geography,,,,E63007163,2500071
statistical-geography,,,,E63007164,2500072
statistical-geography,,,,E63007165,2500073
statistical-geography,,,,E63007166,2500074
statistical-geography,,,,E63007167,2500075
statistical-geography,,,,E63007168,2500076
statistical-geography,,,,E63007169,2500077
statistical-geography,,,,E63007170,2500078
statistical-geography,,,,E63007171,2500079
statistical-geography,,,,E63007172,2500080
statistical-geography,,,,E63007173,2500081
statistical-geography,,,,E63007174,2500082
statistical-geography,,,,E63007175,2500083
statistical-geography,,,,E63007176,2500084
statistical-geography,,,,E63007177,2500085
statistical-geography,,,,E63007178,2500086
statistical-geography,,,,E63007179,2500087
statistical-geography,,,,E63007180,2500088
statistical-geography,,,,E63007181,2500089
statistical-geography,,,,E63007182,2500090
statistical-geography,,,,E63007183,2500091
statistical-geography,,,,E63007184,2500092
statistical-geography,,,,E63007185,2500093
statistical-geography,,,,E63007186,2500094
statistical-geography,,,,E63007187,2500095
statistical-geography,,,,E63007188,2500096
statistical-geography,,,,E63007189,2500097
statistical-geography,,,,E63007190,2500098
statistical-geography,,,,E63007191,2500099
statistical-geography,,,,E63007192,2500100
statistical-geography,,,,E63007193,2500101
statistical-geography,,,,E63007194,2500102
statistical-geography,,,,E63007195,2500103
statistical-geography,,,,E63007196,2500104
statistical-geography,,,,E63007197,2500105
statistical-geography,,,,E63007198,2500106
statistical-geography,,,,E63007199,2500107
statistical-geography,,,,E63007200,2500108
statistical-geography,,,,E63007201,2500109
statistical-geography,,,,E63007202,2500110
statistical-geography,,,,E63007203,2500111
statistical-geography,,,,E63007204,2500112
statistical-geography,,,,E63007205,2500113
statistical-geography,,,,E63007206,2500114
statistical-geography,,,,E63007207,2500115
statistical-geography,,,,E63007208,2500116
statistical-geography,,,,E63007209,2500117
statistical-geography,,,,E63007210,2500118
statistical-geography,,,,E63007211,2500119
statistical-geography,,,,E63007212,2500120
statistical-geography,,,,E63007213,2500121
statistical-geography,,,,E63007214,2500122
statistical-geography,,,,E63007215,2500123
statistical-geography,,,,E63007216,2500124
statistical-geography,,,,E63007217,2500125
statistical-geography,,,,E63007218,2500126
statistical-geography,,,,E63007219,2500127
statistical-geography,,,,E63007220,2500128
statistical-geography,,,,E63007221,2500129
statistical-geography,,,,E63007222,2500130
statistical-geography,,,,E63007223,2500131
statistical-geography,,,,E63007224,2500132
statistical-geography,,,,E63007225,2500133
statistical-geography,,,,E63007226,2500134
statistical-geography,,,,E63007227,2500135
statistical-geography,,,,E63007228,2500136
statistical-geography,,,,E63007229,2500137
statistical-geography,,,,E63007230,2500138
statistical-geography,,,,E63007231,2500139
statistical-geography,,,,E63007232,2500140
statistical-geography,,,,E63007233,2500141
statistical-geography,,,,E63007234,2500142
statistical-geography,,,,E63007235,2500143
statistical-geography,,,,E63007236,2500144
statistical-geography,,,,E63007237,2500145
statistical-geography,,,,E63007238,2500146
statistical-geography,,,,E63007239,2500147
statistical-geography,,,,E63007240,2500148
statistical-geography,,,,E63007241,2500149
statistical-geography,,,,E63007242,2500150
statistical-geography,,,,E63007243,2500151
statistical-geography,,,,E63007244,2500152
statistical-geography,,,,E63007245,2500153
statistical-geography,,,,E63007246,2500154
statistical-geography,,,,E63007247,2500155
statistical-geography,,,,E63007248,2500156
statistical-geography,,,,E63007249,2500157
statistical-geography,,,,E63007250,2500158
statistical-geography,,,,E63007251,2500159
statistical-geography,,,,E63007252,2500160
statistical-geography,,,,E63007253,2500161
statistical-geography,,,,E63007254,2500162
statistical-geography,,,,E63007255,2500163
statistical-geography,,,,E63007256,2500164
statistical-geography,,,,E63007257,2500165
statistical-geography,,,,E63007258,2500166
statistical-geography,,,,E63007259,2500167
statistical-geography,,,,E63007260,2500168
statistical-geography,,,,E63007261,2500169
statistical-geography,,,,E63007262,2500170
statistical-geography,,,,E63007263,2500171
statistical-geography,,,,E63007264,2500172
statistical-geography,,,,E63007265,2500173
statistical-geography,,,,E63007266,2500174
statistical-geography,,,,E63007267,2500175
statistical-geography,,,,E63007268,2500176
statistical-geography,,,,E63007269,2500177
statistical-geography,,,,E63007270,2500178
statistical-geography,,,,E63007271,2500179
statistical-geography,,,,E63007272,2500180
statistical-geography,,,,E63007273,2500181
statistical-geography,,,,E63007274,2500182
statistical-geography,,,,E63007275,2500183
statistical-geography,,,,E63007276,2500184
statistical-geography,,,,E63007277,2500185
statistical-geography,,,,E63007278,2500186
statistical-geography,,,,E63007279,2500187
statistical-geography,,,,E63007280,2500188
statistical-geography,,,,E63007281,2500189
statistical-geography,,,,E63007282,2500190
statistical-geography,,,,E63007283,2500191
statistical-geography,,,,E63007284,2500192
statistical-geography,,,,E63007285,2500193
statistical-geography,,,,E63007286,2500194
statistical-geography,,,,E63007287,2500195
statistical-geography,,,,E63007288,2500196
statistical-geography,,,,E63007289,2500197
statistical-geography,,,,E63007290,2500198
statistical-geography,,,,E63007291,2500199
statistical-geography,,,,E63007292,2500200
statistical-geography,,,,E63007293,2500201
statistical-geography,,,,E63007294,2500202
statistical-geography,,,,E63007295,2500203
statistical-geography,,,,E63007296,2500204
statistical-geography,,,,E63007297,2500205
statistical-geography,,,,E63007298,2500206
statistical-geography,,,,E63007299,2500207
statistical-geography,,,,E63007300,2500208
statistical-geography,,,,E63007301,2500209
statistical-geography,,,,E63007302,2500210
statistical-geography,,,,E63007303,2500211
statistical-geography,,,,E63007304,2500212
statistical-geography,,,,E63007305,2500213
statistical-geography,,,,E63007306,2500214
statistical-geography,,,,E63007307,2500215
statistical-geography,,,,E63007308,2500216
statistical-geography,,,,E63007309,2500217
statistical-geography,,,,E63007310,2500218
statistical-geography,,,,E63007311,2500219
statistical-geography,,,,E63007312,2500220
statistical-geography,,,,E63007313,2500221
statistical-geography,,,,E63007314,2500222
statistical-geography,,,,E63007315,2500223
statistical-geography,,,,E63007316,2500224
statistical-geography,,,,E63007317,2500225
statistical-geography,,,,E63007318,2500226
statistical-geography,,,,E63007319,2500227
statistical-geography,,,,E63007320,2500228
statistical-geography,,,,E63007321,2500229
statistical-geography,,,,E63007322,2500230
statistical-geography,,,,E63007323,2500231
statistical-geography,,,,E63007324,2500232
statistical-geography,,,,E63007325,2500233
statistical-geography,,,,E63007326,2500234
statistical-geography,,,,E63007327,2500235
statistical-geography,,,,E63007328,2500236
statistical-geography,,,,E63007329,2500237
statistical-geography,,,,E63007330,2500238
statistical-geography,,,,E63007331,2500239
statistical-geography,,,,E63007332,2500240
statistical-geography,,,,E63007333,2500241
statistical-geography,,,,E63007334,2500242
statistical-geography,,,,E63007335,2500243
statistical-geography,,,,E63007336,2500244
statistical-geography,,,,E63007337,2500245
statistical-geography,,,,E63007338,2500246
statistical-geography,,,,E63007339,2500247
statistical-geography,,,,E63007340,2500248
statistical-geography,,,,E63007341,2500249
statistical-geography,,,,E63007342,2500250
statistical-geography,,,,E63007343,2500251
statistical-geography,,,,E63007344,2500252
statistical-geography,,,,E63007345,2500253
statistical-geography,,,,E63007346,2500254
statistical-geography,,,,E63007347,2500255
statistical-geography,,,,E63007348,2500256
statistical-geography,,,,E63007349,2500257
statistical-geography,,,,E63007350,2500258
statistical-geography,,,,E63007351,2500259
statistical-geography,,,,E63007352,2500260
statistical-geography,,,,E63007353,2500261
statistical-geography,,,,E63007354,2500262
statistical-geography,,,,E63007355,2500263
statistical-geography,,,,E63007356,2500264
statistical-geography,,,,E63007357,2500265
statistical-geography,,,,E63007358,2500266
statistical-geography,,,,E63007359,2500267
statistical-geography,,,,E63007360,2500268
statistical-geography,,,,E63007361,2500269
statistical-geography,,,,E63007362,2500270
statistical-geography,,,,E63007363,2500271
statistical-geography,,,,E63007364,2500272
statistical-geography,,,,E63007365,2500273
statistical-geography,,,,E63007366,2500274
statistical-geography,,,,E63007367,2500275
statistical-geography,,,,E63007368,2500276
statistical-geography,,,,E63007369,2500277
statistical-geography,,,,E63007370,2500278
statistical-geography,,,,E63007371,2500279
statistical-geography,,,,E63007372,2500280
statistical-geography,,,,E63007373,2500281
statistical-geography,,,,E63007374,2500282
statistical-geography,,,,E63007375,2500283
statistical-geography,,,,E63007376,2500284
statistical-geography,,,,E63007377,2500285
statistical-geography,,,,E63007378,2500286
statistical-geography,,,,E63007379,2500287
statistical-geography,,,,E63007380,2500288
statistical-geography,,,,E63007381,2500289
statistical-geography,,,,E63007382,2500290
statistical-geography,,,,E63007383,2500291
statistical-geography,,,,E63007384,2500292
statistical-geography,,,,E63007385,2500293
statistical-geography,,,,E63007386,2500294
statistical-geography,,,,E63007387,2500295
statistical-geography,,,,E63007388,2500296
statistical-geography,,,,E63007389,2500297
statistical-geography,,,,E63007390,2500298
statistical-geography,,,,E63007391,2500299
statistical-geography,,,,E63007392,2500300
statistical-geography,,,,E63007393,2500301
statistical-geography,,,,E63007394,2500302
statistical-geography,,,,E63007395,2500303
statistical-geography,,,,E63007396,2500304
statistical-geography,,,,E63007397,2500305
statistical-geography,,,,E63007398,2500306
statistical-geography,,,,E63007399,2500307
statistical-geography,,,,E63007400,2500308
statistical-geography,,,,E63007401,2500309
statistical-geography,,,,E63007402,2500310
statistical-geography,,,,E63007403,2500311
statistical-geography,,,,E63007404,2500312
statistical-geography,,,,E63007405,2500313
statistical-geography,,,,E63007406,2500314
statistical-geography,,,,E63007407,2500315
statistical-geography,,,,E63007408,2500316
statistical-geography,,,,E63007409,2500317
statistical-geography,,,,E63007410,2500318
statistical-geography,,,,E63007411,2500319
statistical-geography,,,,E63007412,2500320
statistical-geography,,,,E63007413,2500321
statistical-geography,,,,E63007414,2500322
statistical-geography,,,,E63007415,2500323
statistical-geography,,,,E63007416,2500324
statistical-geography,,,,E63007417,2500325
statistical-geography,,,,E63007418,2500326
statistical-geography,,,,E63007419,2500327
statistical-geography,,,,E63007420,2500328
statistical-geography,,,,E63007421,2500329
statistical-geography,,,,E63007422,2500330
statistical-geography,,,,E63007423,2500331
statistical-geography,,,,E63007424,2500332
statistical-geography,,,,E63007425,2500333
statistical-geography,,,,E63007426,2500334
statistical-geography,,,,E63007427,2500335
statistical-geography,,,,E63007428,2500336
statistical-geography,,,,E63007429,2500337
statistical-geography,,,,E63007430,2500338
statistical-geography,,,,E63007431,2500339
statistical-geography,,,,E63007432,2500340
statistical-geography,,,,E63007433,2500341
statistical-geography,,,,E63007434,2500342
statistical-geography,,,,E63007435,2500343
statistical-geography,,,,E63007436,2500344
statistical-geography,,,,E63007437,2500345
statistical-geography,,,,E63007438,2500346
statistical-geography,,,,E63007439,2500347
statistical-geography,,,,E63007440,2500348
statistical-geography,,,,E63007441,2500349
statistical-geography,,,,E63007442,2500350
statistical-geography,,,,E63007443,2500351
statistical-geography,,,,E63007444,2500352
statistical-geography,,,,E63007445,2500353
statistical-geography,,,,E63007446,2500354
statistical-geography,,,,E63007447,2500355
statistical-geography,,,,E63007448,2500356
statistical-geography,,,,E63007449,2500357
statistical-geography,,,,E63007450,2500358
statistical-geography,,,,E63007451,2500359
statistical-geography,,,,E63007452,2500360
statistical-geography,,,,E63007453,2500361
statistical-geography,,,,E63007454,2500362
statistical-geography,,,,E63007455,2500363
statistical-geography,,,,E63007456,2500364
statistical-geography,,,,E63007457,2500365
