end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,612001,,,,wikidata,,,,Q4663930
,,612002,,,,wikidata,,,,Q1786232
,,612003,,,,wikidata,,,,Q261603
,,612004,,,,wikidata,,,,Q19710
,,612005,,,,wikidata,,,,Q22004776
,,612006,,,,wikidata,,,,Q4923541
,,612007,,,,wikidata,,,,Q4962793
,,612008,,,,wikidata,,,,Q1999046
,,612009,,,,wikidata,,,,Q1070604
,,612010,,,,wikidata,,,,Q5096001
,,612011,,,,wikidata,,,,Q27990714
,,612012,,,,wikidata,,,,Q22004786
,,612013,,,,wikidata,,,,Q22004788
,,612014,,,,wikidata,,,,Q30587695
,,612015,,,,wikidata,,,,Q5256950
,,612016,,,,wikidata,,,,Q5263268
,,612018,,,,wikidata,,,,Q5311678
,,612020,,,,wikidata,,,,Q821474
,,612021,,,,wikidata,,,,Q5419753
,,612022,,,,wikidata,,,,Q5474214
,,612023,,,,wikidata,,,,Q5559190
,,612024,,,,wikidata,,,,Q24641396
,,612025,,,,wikidata,,,,Q5878816
,,612026,,,,wikidata,,,,Q550995
,,612028,,,,wikidata,,,,Q180209
,,612029,,,,wikidata,,,,Q6508236
,,612030,,,,wikidata,,,,Q6519775
,,612031,,,,wikidata,,,,Q213804
,,612032,,,,wikidata,,,,Q546983
,,612033,,,,wikidata,,,,Q1225708
,,612034,,,,wikidata,,,,Q6776181
,,612035,,,,wikidata,,,,Q1434222
,,612036,,,,wikidata,,,,Q19724
,,612040,,,,wikidata,,,,Q16247516
,,612041,,,,wikidata,,,,Q1866414
,,612043,,,,wikidata,,,,Q6991602
,,612044,,,,wikidata,,,,Q277755
,,612045,,,,wikidata,,,,Q7051002
,,612047,,,,wikidata,,,,Q3358495
,,612048,,,,wikidata,,,,Q7124346
,,612049,,,,wikidata,,,,Q7179522
,,612050,,,,wikidata,,,,Q1645369
,,612051,,,,wikidata,,,,Q7232468
,,612052,,,,wikidata,,,,Q7305880
,,612053,,,,wikidata,,,,Q7322249
,,612054,,,,wikidata,,,,Q7370007
,,612055,,,,wikidata,,,,Q7375211
,,612056,,,,wikidata,,,,Q822190
,,612057,,,,wikidata,,,,Q12068771
,,612058,,,,wikidata,,,,Q502233
,,612059,,,,wikidata,,,,Q6376320
,,612062,,,,wikidata,,,,Q27990758
,,612064,,,,wikidata,,,,Q3059075
,,612065,,,,wikidata,,,,Q55099023
,,612066,,,,wikidata,,,,Q5249904
,,612067,,,,wikidata,,,,Q3506402
,,612068,,,,wikidata,,,,Q1463998
,,612070,,,,wikidata,,,,Q28407031
,,612072,,,,wikidata,,,,Q7963543
,,612073,,,,wikidata,,,,Q7998320
,,612074,,,,wikidata,,,,Q23103563
,,612075,,,,wikidata,,,,Q16974091
