end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,11000000,,,,park-and-garden-grade,,,,I
,,11000001,,,,park-and-garden-grade,,,,II
,,11000002,,,,park-and-garden-grade,,,,II*
