dataset,resource,field,pattern,value,entry-number,start-date,end-date,entry-date,endpoint
developer-agreement-contribution,,contribution-purpose,other-police,other,,,,,afd5f4176bb544595dc93a119751dedb714cdc8ca9888515710ef6cc5f2d4a8f
developer-agreement-contribution,,contribution-purpose,Parking spaces contribution,transport,,,,,e08f600e90eb62a72fe50b79d49681b2d64a966df97fc77dc6c20a8a8a09f43e
developer-agreement-contribution,,contribution-purpose,Public Open Space,open-space,,,,,616902e1261ef646b23e8b4dd8e82bbc853489c90e575a9a096161c2d163a2dc
developer-agreement-contribution,,contribution-purpose,To provide £50 of free travel to one user of each dwelling using the car club,transport,,,,,e08f600e90eb62a72fe50b79d49681b2d64a966df97fc77dc6c20a8a8a09f43e
developer-agreement-contribution,,contribution-purpose,Traffic signal contribution,transport,,,,,e08f600e90eb62a72fe50b79d49681b2d64a966df97fc77dc6c20a8a8a09f43e
developer-agreement-contribution,,contribution-purpose,Transport and Travel,transport,,,,,a54f2b079838979c3fc00056be124dfa0a34fb3ac6a0e213bb24965996b03a27
developer-agreement-contribution,,contribution-purpose,Transport and travel,transport,,,,,e80e128827994e3997e8bffb1550b1cbeefac08f7e598ffc082d7ab86527948d
developer-agreement-contribution,,contribution-purpose,Travel plan auditing contribution,transport,,,,,e08f600e90eb62a72fe50b79d49681b2d64a966df97fc77dc6c20a8a8a09f43e
developer-agreement-transaction,,contribution-funding-status,receieved,received,,,,,c404f16827cf6292298c70779fd3601066c2aa1850f3109ac647a129a126051c
developer-agreement-transaction,,contribution-funding-status,recieved,received,,,,,c404f16827cf6292298c70779fd3601066c2aa1850f3109ac647a129a126051c
developer-agreement,,developer-agreement-type,.*106$,section-106,,,,,
developer-agreement,,developer-agreement-type,.*278$,section-278,,,,,
developer-agreement-contribution,,contribution-purpose,(?i)green.*infrastructure|infrastructure.*green,green-infrastructure,,,,,
developer-agreement-contribution,,contribution-purpose,(?i)digital.*infrastructure|infrastructure.*digital,digital-infrastructure,,,,,
developer-agreement-contribution,,contribution-purpose,(?i)economic.*develop|develop.*economic,economic-development,,,,,
developer-agreement-contribution,,contribution-purpose,(?i)transport.*travel|travel.*transport,transport-and-travel,,,,,
developer-agreement-contribution,,contribution-purpose,(?i)health,health,,,,,
developer-agreement-contribution,,contribution-purpose,(?i)education,education,,,,,
developer-agreement-transaction,,contribution-funding-status,(?i)recevied,received,,,,,
developer-agreement-transaction,,contribution-funding-status,(?i)recieved,received,,,,,
developer-agreement-transaction,,contribution-funding-status,(?i)transferred,transferred,,,,,
developer-agreement,,organisation,CDC,http://opendatacommunities.org/id/district-council/cherwell,,,,,2c2b48e6720e529fec1895a0e308db7d95f7c152a65d85dfafb8efa08ec6ecb4
developer-agreement,,organisation,HAO,http://opendatacommunities.org/id/district-council/harborough,,,,,2e4c62e01f5ac1903659f0837b9950c0e13c5a50f0a1a43f2cd9687ea9b7cb36
