dataset,entity-minimum,entity-maximum,organisation
developer-agreement,4600475,4600482,local-authority:ADU
developer-agreement,4602118,4602131,local-authority:AMB
developer-agreement,4600909,4601017,local-authority:ARU
developer-agreement,4605753,4607202,local-authority:ARU
developer-agreement,4601635,4601647,local-authority:ASF
developer-agreement,4604873,4604881,local-authority:ASF
developer-agreement,4609772,4609776,local-authority:ASF
developer-agreement,4601745,4601804,local-authority:ASH
developer-agreement,4604938,4605559,local-authority:BAE
developer-agreement,4602132,4602142,local-authority:BLA
developer-agreement,4607203,4607209,local-authority:BLA
developer-agreement,4601134,4601219,local-authority:BNH
developer-agreement,4602164,4602274,local-authority:BOL
developer-agreement,4605592,4605616,local-authority:BOL
developer-agreement,4607210,4607212,local-authority:BOL
developer-agreement,4603085,4603095,local-authority:BOT
developer-agreement,4601805,4601822,local-authority:BRA
developer-agreement,4607213,4607241,local-authority:BRA
developer-agreement,4601649,4601740,local-authority:BRE
developer-agreement,4607242,4607326,local-authority:BRE
developer-agreement,4609778,4609967,local-authority:BRE
developer-agreement,4604760,4604761,local-authority:BRM
developer-agreement,4604763,4604763,local-authority:BRM
developer-agreement,4603007,4603056,local-authority:BRX
developer-agreement,4607327,4607566,local-authority:BRX
developer-agreement,4602143,4602163,local-authority:CHA
developer-agreement,4605560,4605577,local-authority:CHA
developer-agreement,4608716,4608744,local-authority:CHA
developer-agreement,4608645,4608656,local-authority:CHR
developer-agreement,4602987,4603006,local-authority:CHT
developer-agreement,4607567,4607609,local-authority:CHT
developer-agreement,4608877,4609096,local-authority:CHT
developer-agreement,4601119,4601133,local-authority:CMA
developer-agreement,4601082,4601105,local-authority:COL
developer-agreement,4600110,4600312,local-authority:COV
developer-agreement,4600630,4600687,local-authority:CUA
developer-agreement,4602649,4602659,local-authority:CUA
developer-agreement,4600609,4600629,local-authority:DOV
developer-agreement,4604772,4604791,local-authority:DOV
developer-agreement,4608687,4608715,local-authority:DOV
developer-agreement,4609998,4610026,local-authority:DOV
developer-agreement,4600711,4600908,local-authority:ECA
developer-agreement,4603162,4604758,local-authority:EHA
developer-agreement,4609097,4609171,local-authority:EHA
developer-agreement,4611621,4611704,local-authority:EHA
developer-agreement,4603070,4603084,local-authority:EHE
developer-agreement,4601053,4601081,local-authority:EPS
developer-agreement,4601621,4601634,local-authority:ERE
developer-agreement,4604868,4604872,local-authority:ERE
developer-agreement,4608852,4608853,local-authority:ERE
developer-agreement,4602861,4602906,local-authority:ERY
developer-agreement,4607610,4607745,local-authority:ERY
developer-agreement,4603096,4603102,local-authority:EST
developer-agreement,4608657,4608686,local-authority:EXE
developer-agreement,4609968,4609997,local-authority:EXE
developer-agreement,4611492,4611521,local-authority:EXE
developer-agreement,4601741,4601744,local-authority:GAT
developer-agreement,4607746,4607756,local-authority:GAT
developer-agreement,4602713,4602719,local-authority:GLO
developer-agreement,4604847,4604867,local-authority:GLO
developer-agreement,4605617,4605622,local-authority:GLO
developer-agreement,4609172,4609276,local-authority:GLO
developer-agreement,4601106,4601118,local-authority:GOS
developer-agreement,4601823,4601830,local-authority:GOS
developer-agreement,4607757,4607773,local-authority:GOS
developer-agreement,4602279,4602648,local-authority:GRE
developer-agreement,4607774,4608374,local-authority:HAA
developer-agreement,4602660,4602712,local-authority:HAL
developer-agreement,4600688,4600710,local-authority:HAO
developer-agreement,4608632,4608644,local-authority:HAO
developer-agreement,4601018,4601023,local-authority:HAT
developer-agreement,4603103,4603144,local-authority:HRT
developer-agreement,4600313,4600474,local-authority:IOW
developer-agreement,4600486,4600508,local-authority:IOW
developer-agreement,4600522,4600588,local-authority:IOW
developer-agreement,4602031,4602117,local-authority:ISL
developer-agreement,4604759,4604759,local-authority:MAV
developer-agreement,4604765,4604765,local-authority:MAV
developer-agreement,4604769,4604769,local-authority:MAV
developer-agreement,4600483,4600485,local-authority:NEA
developer-agreement,4600589,4600608,local-authority:NEA
developer-agreement,4608375,4608409,local-authority:NEA
developer-agreement,4600000,4600016,local-authority:NFK
developer-agreement,4600037,4600109,local-authority:NFK
developer-agreement,4611484,4611491,local-authority:NHE
developer-agreement,4601220,4601314,local-authority:NLN
developer-agreement,4604792,4604846,local-authority:NLN
developer-agreement,4608854,4608859,local-authority:NLN
developer-agreement,4611553,4611570,local-authority:NLN
developer-agreement,4601831,4601953,local-authority:NTY
developer-agreement,4609277,4609765,local-authority:SGC
developer-agreement,4603057,4603069,local-authority:SHA
developer-agreement,4608410,4608434,local-authority:SHA
developer-agreement,4608745,4608767,local-authority:SHA
developer-agreement,4601031,4601052,local-authority:SLF
developer-agreement,4605623,4605675,local-authority:SLF
developer-agreement,4602764,4602860,local-authority:SND
developer-agreement,4608471,4608576,local-authority:SND
developer-agreement,4611522,4611552,local-authority:SND
developer-agreement,4608780,4608851,local-authority:STO
developer-agreement,4610118,4611468,local-authority:STO
developer-agreement,4605676,4605752,local-authority:TEW
developer-agreement,4600017,4600036,local-authority:TON
developer-agreement,4605578,4605591,local-authority:TON
developer-agreement,4608577,4608590,local-authority:TON
developer-agreement,4608860,4608876,local-authority:TON
developer-agreement,4610027,4610117,local-authority:TON
developer-agreement,4611604,4611620,local-authority:TON
developer-agreement,4603145,4603161,local-authority:TUN
developer-agreement,4608591,4608610,local-authority:TUN
developer-agreement,4601024,4601030,local-authority:WDE
developer-agreement,4608611,4608623,local-authority:WDE
developer-agreement,4608768,4608779,local-authority:WDE
developer-agreement,4600509,4600521,local-authority:WFUA
developer-agreement,4602720,4602763,local-authority:WFUA
developer-agreement,4608435,4608470,local-authority:WFUA
developer-agreement,4601315,4601568,local-authority:WIL
developer-agreement,4602275,4602278,local-authority:WNUA
developer-agreement,4611571,4611603,local-authority:WOC
developer-agreement,4601569,4601620,local-authority:WOT
developer-agreement,4604762,4604762,local-authority:WYC
developer-agreement,4604766,4604767,local-authority:WYC
developer-agreement,4604770,4604771,local-authority:WYC
developer-agreement,4604764,4604764,local-authority:WYE
developer-agreement,4604768,4604768,local-authority:WYE
developer-agreement,4602907,4602986,national-park-authority:Q20198711
developer-agreement,4601648,4601648,national-park-authority:Q4972284
developer-agreement,4601954,4602030,national-park-authority:Q72617158
developer-agreement,4604882,4604937,national-park-authority:Q72617158
developer-agreement,4608624,4608631,national-park-authority:Q72617669
developer-agreement,4609766,4609771,national-park-authority:Q72617669
developer-agreement,4611469,4611483,national-park-authority:Q27178932
developer-agreement-contribution,4306989,4307010,local-authority:ADU
developer-agreement-contribution,4304333,4304395,local-authority:AMB
developer-agreement-contribution,4302610,4303041,local-authority:ARU
developer-agreement-contribution,4316063,4318121,local-authority:ARU
developer-agreement-contribution,4304470,4304506,local-authority:ASF
developer-agreement-contribution,4315407,4315494,local-authority:ASF
developer-agreement-contribution,4323612,4323710,local-authority:ASF
developer-agreement-contribution,4303290,4303587,local-authority:ASH
developer-agreement-contribution,4314787,4315406,local-authority:BAE
developer-agreement-contribution,4305285,4305439,local-authority:BLA
developer-agreement-contribution,4318122,4318129,local-authority:BLA
developer-agreement-contribution,4300073,4300211,local-authority:BNH
developer-agreement-contribution,4304220,4304328,local-authority:BOL
developer-agreement-contribution,4315636,4315688,local-authority:BOL
developer-agreement-contribution,4305971,4305980,local-authority:BOT
developer-agreement-contribution,4306983,4306988,local-authority:BRA
developer-agreement-contribution,4318130,4318192,local-authority:BRA
developer-agreement-contribution,4303082,4303272,local-authority:BRE
developer-agreement-contribution,4318193,4318365,local-authority:BRE
developer-agreement-contribution,4326577,4326974,local-authority:BRE
developer-agreement-contribution,4304407,4304464,local-authority:BRX
developer-agreement-contribution,4305069,4305082,local-authority:CHA
developer-agreement-contribution,4315714,4315814,local-authority:CHA
developer-agreement-contribution,4322587,4322615,local-authority:CHA
developer-agreement-contribution,4318366,4318483,local-authority:CHR
developer-agreement-contribution,4302516,4302567,local-authority:CHT
developer-agreement-contribution,4318484,4318567,local-authority:CHT
developer-agreement-contribution,4322923,4323611,local-authority:CHT
developer-agreement-contribution,4303647,4303678,local-authority:CMA
developer-agreement-contribution,4303273,4303289,local-authority:COL
developer-agreement-contribution,4307259,4307319,local-authority:COV
developer-agreement-contribution,4304206,4304219,local-authority:CUA
developer-agreement-contribution,4305230,4305284,local-authority:CUA
developer-agreement-contribution,4300000,4300072,local-authority:DOV
developer-agreement-contribution,4314254,4314527,local-authority:DOV
developer-agreement-contribution,4322460,4322586,local-authority:DOV
developer-agreement-contribution,4327094,4327216,local-authority:DOV
developer-agreement-contribution,4306418,4306982,local-authority:ECA
developer-agreement-contribution,4307320,4314006,local-authority:EHA
developer-agreement-contribution,4323711,4324226,local-authority:EHA
developer-agreement-contribution,4331589,4332051,local-authority:EHA
developer-agreement-contribution,4303945,4304001,local-authority:EHE
developer-agreement-contribution,4300633,4300763,local-authority:EPS
developer-agreement-contribution,4305905,4305970,local-authority:ERE
developer-agreement-contribution,4315689,4315713,local-authority:ERE
developer-agreement-contribution,4322787,4322797,local-authority:ERE
developer-agreement-contribution,4305083,4305229,local-authority:ERY
developer-agreement-contribution,4318568,4318939,local-authority:ERY
developer-agreement-contribution,4303939,4303944,local-authority:EST
developer-agreement-contribution,4318940,4319057,local-authority:EXE
developer-agreement-contribution,4326975,4327092,local-authority:EXE
developer-agreement-contribution,4331350,4331467,local-authority:EXE
developer-agreement-contribution,4304465,4304469,local-authority:GAT
developer-agreement-contribution,4327217,4327251,local-authority:GAT
developer-agreement-contribution,4304396,4304406,local-authority:GLO
developer-agreement-contribution,4314528,4314542,local-authority:GLO
developer-agreement-contribution,4314777,4314786,local-authority:GLO
developer-agreement-contribution,4324227,4324452,local-authority:GLO
developer-agreement-contribution,4303588,4303646,local-authority:GOS
developer-agreement-contribution,4327252,4327295,local-authority:GOS
developer-agreement-contribution,4300764,4302161,local-authority:GRE
developer-agreement-contribution,4319058,4321377,local-authority:HAA
developer-agreement-contribution,4327296,4327334,local-authority:HAA
developer-agreement-contribution,4304138,4304205,local-authority:HAL
