datasets,organisations,operation,parameters,name,description,notes,severity,responsibility,end-date,entry-date,start-date
agricultural-land-classification,government-organisation:PB202,count_deleted_entities,"{""organisation_entity"":{{ organisation.entity }},""expected"":0}",Check no entities are missing from the entities on the active resource,A test to check there are no agricultural-land-classification entities missing from the entities on the active resource. It uses all active resource(s) from {{ organisation.name }}.,,notice,internal,,2026-04-01,2026-04-01
agricultural-land-classification,,duplicate_geometry_check,"{""spatial_field"":""geometry""}",Check no entities have duplicate geometries,A test to check there are no agricultural-land-classification entities with duplicate geometries.,,notice,internal,,2026-04-01,2026-04-01
