end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,4600000,,,local-authority-eng:NFK,developer-agreement,,,,06/15/0441/O-6.46
,,4600001,,,local-authority-eng:NFK,developer-agreement,,,,06/18/0149/O-6.96a
,,4600002,,,local-authority-eng:NFK,developer-agreement,,,,16/02231/OM-2.199
,,4600003,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2015/0917/O3.147
,,4600004,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2017/0996/O-3.76
,,4600005,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2017/1354/F-3.186
,,4600006,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2017/1487/O-3.199
,,4600007,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2017/1574/O-3.204
,,4600008,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2018/0852/F-3.211
,,4600009,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2018/0952/O-3.143
,,4600010,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2018/1102/O-3.220
,,4600011,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2019/1056/O-231
,,4600012,,,local-authority-eng:NFK,developer-agreement,,,,9/2/17/1106
,,4600013,,,local-authority-eng:NFK,developer-agreement,,,,9/2/17/1151
,,4600014,,,local-authority-eng:NFK,developer-agreement,,,,9/3/18/1021
,,4600015,,,local-authority-eng:NFK,developer-agreement,,,,9/5/16/1066
,,4600016,,,local-authority-eng:NFK,developer-agreement,,,,9/6/18/0173
,,4600017,,,local-authority-eng:TON,developer-agreement,,,,17/01595/OAEA_2
,,4600018,,,local-authority-eng:TON,developer-agreement,,,,17/03350/FL_1
,,4600019,,,local-authority-eng:TON,developer-agreement,,,,18/01013/OA_1
,,4600020,,,local-authority-eng:TON,developer-agreement,,,,18/02230/FL_1
,,4600021,,,local-authority-eng:TON,developer-agreement,,,,18/02488/FL_1
,,4600022,,,local-authority-eng:TON,developer-agreement,,,,18/03008/OA_1
,,4600023,,,local-authority-eng:TON,developer-agreement,,,,19/00162/FL_1
,,4600024,,,local-authority-eng:TON,developer-agreement,,,,19/00287/FL_1
,,4600025,,,local-authority-eng:TON,developer-agreement,,,,19/00979/FL_1
,,4600026,,,local-authority-eng:TON,developer-agreement,,,,19/01251/FL_1
,,4600027,,,local-authority-eng:TON,developer-agreement,,,,19/01531/OA_1
,,4600028,,,local-authority-eng:TON,developer-agreement,,,,19/01632/FL_1
,,4600029,,,local-authority-eng:TON,developer-agreement,,,,19/01890/FL_1
,,4600030,,,local-authority-eng:TON,developer-agreement,,,,19/01979/FL_1
,,4600031,,,local-authority-eng:TON,developer-agreement,,,,19/02047/FL_1
,,4600032,,,local-authority-eng:TON,developer-agreement,,,,19/02109/FL_1
,,4600033,,,local-authority-eng:TON,developer-agreement,,,,19/02277/FL_1
,,4600034,,,local-authority-eng:TON,developer-agreement,,,,19/02455/FL_1
,,4600035,,,local-authority-eng:TON,developer-agreement,,,,19/02589/FL_1
,,4600036,,,local-authority-eng:TON,developer-agreement,,,,19/02743/FL_1
,,4600037,,,local-authority-eng:NFK,developer-agreement,,,,06/15/0441/O
,,4600038,,,local-authority-eng:NFK,developer-agreement,,,,06/18/0149/O
,,4600039,,,local-authority-eng:NFK,developer-agreement,,,,16/02231/OM
,,4600040,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2015/0917/O
,,4600041,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2017/0996/O
,,4600042,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2017/1354/F
,,4600043,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2017/1487/O
,,4600044,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2017/1574/O
,,4600045,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2018/0852/F
,,4600046,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2018/0952/O
,,4600047,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2018/1102/O
,,4600048,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2016/0952/O
,,4600049,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2015/1490/O
,,4600050,,,local-authority-eng:NFK,developer-agreement,,,,3PL/2015/1487/O
,,4600051,,,local-authority-eng:NFK,developer-agreement,,,,9/6/15/0486
,,4600052,,,local-authority-eng:NFK,developer-agreement,,,,9/7/13/1793
,,4600053,,,local-authority-eng:NFK,developer-agreement,,,,9/2/17/1720
,,4600054,,,local-authority-eng:NFK,developer-agreement,,,,9/2/16/0471
,,4600055,,,local-authority-eng:NFK,developer-agreement,,,,9/1/15/1461
,,4600056,,,local-authority-eng:NFK,developer-agreement,,,,9/5/17/0212
,,4600057,,,local-authority-eng:NFK,developer-agreement,,,,9/2/16/0082
