end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,1,,,,development-corporation,,,,Q20648596
,,1,,,,wikidata,,,,Q20648596
,,1,,,,statistical-geography,,,,E51000002
,,2,,,,development-corporation,,,,Q4916714
,,2,,,,wikidata,,,,Q4916714
,,3,,,,development-corporation,,,,Q6670544
,,3,,,,wikidata,,,,Q6670544
,,3,,,,statistical-geography,,,,E51000001
,,4,,,,development-corporation,,,,Q6670837
,,4,,,,wikidata,,,,Q6670837
,,5,,,,development-corporation,,,,Q72456968
,,5,,,,wikidata,,,,Q72456968
,,5,,,,statistical-geography,,,,E51000004
,,6,,,,development-corporation,,,,Q72463795
,,6,,,,wikidata,,,,Q72463795
,,6,,,,statistical-geography,,,,E51000003
,,7,,,,development-corporation,,,,Q7799380
,,7,,,,wikidata,,,,Q7799380
,,8,,,,development-corporation,,,,Q7860503
,,8,,,,wikidata,,,,Q7860503
,,9,,,,development-corporation,,,,Q7986087
,,9,,,,wikidata,,,,Q7986087
,,600003,,,,development-corporation,,,,Q105544651
,,600003,,,,wikidata,,,,Q105544651
,,600004,,,,development-corporation,,,,Q105544654
,,600004,,,,wikidata,,,,Q105544654
,,600005,,,,development-corporation,,,,Q5061392
,,600005,,,,wikidata,,,,Q5061392
,,600006,,,,development-corporation,,,,Q3258953
,,600006,,,,wikidata,,,,Q3258953
,,600007,,,,development-corporation,,,,Q105544669
,,600007,,,,wikidata,,,,Q105544669
