old-entity,status,entity,end-date,notes,entry-date,start-date
44006968,301,44007897,,,,
44006983,301,44007894,,,,
44007143,301,44009042,,,,
44007345,301,44007893,,,,
44007346,301,44007895,,,,
44009931,301,44008291,,,,
44008298,301,44009983,,,,
44008299,301,44009986,,,,
44008300,301,44009987,,,,
44008301,301,44009988,,,,
44008302,301,44009990,,,,
44008303,301,44009991,,,,
44008304,301,44009994,,,,
44008305,301,44009997,,,,
44008306,301,44009999,,,,
44008307,301,44010002,,,,
44008308,301,44010005,,,,
44008309,301,44010007,,,,
44008310,301,44010009,,,,
44008311,301,44010010,,,,
44008312,301,44010014,,,,
44008313,301,44010015,,,,
44008314,301,44010016,,,,
44008315,301,44010020,,,,
44008316,301,44010021,,,,
44008317,301,44010032,,,,
44008318,301,44010035,,,,
44008319,301,44010036,,,,
44008320,301,44010038,,,,
44008321,301,44010041,,,,
44008322,301,44010042,,,,
44008323,301,44010043,,,,
44008326,301,44010052,,,,
44008327,301,44010053,,,,
44008328,301,44010055,,,,
44008329,301,44010057,,,,
44008330,301,44010065,,,,
44008331,301,44010068,,,,
44008332,301,44010069,,,,
44008333,301,44010072,,,,
44008336,301,44010079,,,,
44008349,301,44009889,,,,
44009901,301,44008357,,,,
44009902,301,44008358,,,,
44009903,301,44008359,,,,
44009904,301,44008360,,,,
44008370,301,44009924,,,,
44008371,301,44009925,,,,
44008372,301,44009926,,,,
44008373,301,44009927,,,,
44009909,301,44008375,,,,
44008376,301,44009923,,,,
44009916,301,44008388,,,,
44009276,301,44008591,,,,
44008662,301,44009897,,,,
44009899,301,44008664,,,,
44009900,301,44008665,,,,
44009912,301,44008671,,,,
44009913,301,44008672,,,,
44009914,301,44008673,,,,
44009919,301,44008676,,,,
44008679,301,44009922,,,,
44008681,301,44009930,,,,
44009905,301,44008685,,,,
44009906,301,44008686,,,,
44009907,301,44008687,,,,
44009910,301,44008688,,,,
44009911,301,44008689,,,,
44009915,301,44008690,,,,
44009917,301,44008691,,,,
44009920,301,44008692,,,,
44009921,301,44008693,,,,
44009918,301,44008694,,,,
44009908,301,44009106,,,,
44009146,301,44009887,,,,
44009147,301,44009888,,,,
44009148,301,44009890,,,,
44009149,301,44009891,,,,
44009150,301,44009892,,,,
44009151,301,44009893,,,,
44009152,301,44009894,,,,
44009153,301,44009896,,,,
44009156,301,44009898,,,,
44002365,301,44007441,,,,
44006363,301,44010125,,,,
44000694,301,44010126,,,,
44000690,301,44010127,,,,
44000698,301,44010128,,,,
44000695,301,44010129,,,,
44004835,301,44010131,,,,
44000696,301,44010132,,,,
44000697,301,44010133,,,,
44000689,301,44010134,,,,
44009974,410,,,,,
44005711,301,44010208,,,,
44005712,301,44010209,,,,
44005713,301,44010210,,,,
44005714,301,44010211,,,,
44005716,301,44010213,,,,
44005717,301,44010214,,,,
44005718,301,44010215,,,,
44005719,301,44010216,,,,
44002541,301,44010207,,,,
44002542,301,44010185,,,,
44002543,301,44010180,,,,
44002544,301,44010206,,,,
44002545,301,44010189,,,,
44002546,301,44010182,,,,
44002547,301,44010193,,,,
44004601,301,44010197,,,,
44004602,301,44010201,,,,
44004603,301,44010187,,,,
44004604,301,44010196,,,,
44004605,301,44010191,,,,
44004606,301,44010194,,,,
44004607,301,44010195,,,,
44004608,301,44010181,,,,
44004609,301,44010205,,,,
