dataset,entity-minimum,entity-maximum,organisation
conservation-area,44000001,44000001,government-organisation:PB1164
conservation-area,44000001,44000001,local-authority:SAL
conservation-area,44000002,44000002,government-organisation:PB1164
conservation-area,44000002,44000002,local-authority:SAL
conservation-area,44000003,44000003,government-organisation:PB1164
conservation-area,44000003,44000003,local-authority:SAL
conservation-area,44000004,44000004,government-organisation:PB1164
conservation-area,44000004,44000004,local-authority:SAL
conservation-area,44000005,44000005,government-organisation:PB1164
conservation-area,44000005,44000005,local-authority:SAL
conservation-area,44000006,44000006,government-organisation:PB1164
conservation-area,44000006,44000006,local-authority:SAL
conservation-area,44000007,44000007,government-organisation:PB1164
conservation-area,44000007,44000007,local-authority:SAL
conservation-area,44000008,44000008,government-organisation:PB1164
conservation-area,44000008,44000008,local-authority:SAL
conservation-area,44000009,44000009,government-organisation:PB1164
conservation-area,44000009,44000009,local-authority:SAL
conservation-area,44000010,44000010,government-organisation:PB1164
conservation-area,44000010,44000010,local-authority:SAL
conservation-area,44000011,44000011,government-organisation:PB1164
conservation-area,44000011,44000011,local-authority:SAL
conservation-area,44000012,44000012,government-organisation:PB1164
conservation-area,44000012,44000012,local-authority:SAL
conservation-area,44000013,44000013,government-organisation:PB1164
conservation-area,44000013,44000013,local-authority:SAL
conservation-area,44000014,44000014,government-organisation:PB1164
conservation-area,44000014,44000014,local-authority:SAL
conservation-area,44000015,44000015,government-organisation:PB1164
conservation-area,44000015,44000015,government-organisation:D1342
conservation-area,44000016,44000016,government-organisation:PB1164
conservation-area,44000016,44000016,government-organisation:D1342
conservation-area,44000017,44000017,government-organisation:PB1164
conservation-area,44000017,44000017,government-organisation:D1342
conservation-area,44000018,44000018,government-organisation:PB1164
conservation-area,44000018,44000018,government-organisation:D1342
conservation-area,44000019,44000019,government-organisation:PB1164
conservation-area,44000019,44000019,government-organisation:D1342
conservation-area,44000020,44000020,government-organisation:PB1164
conservation-area,44000020,44000020,government-organisation:D1342
conservation-area,44000021,44000021,government-organisation:PB1164
conservation-area,44000021,44000021,government-organisation:D1342
conservation-area,44000022,44000022,government-organisation:PB1164
conservation-area,44000022,44000022,government-organisation:D1342
conservation-area,44000023,44000023,government-organisation:PB1164
conservation-area,44000023,44000023,government-organisation:D1342
conservation-area,44000024,44000024,government-organisation:PB1164
conservation-area,44000024,44000024,government-organisation:D1342
conservation-area,44000025,44000025,government-organisation:PB1164
conservation-area,44000025,44000025,government-organisation:D1342
conservation-area,44000026,44000026,government-organisation:PB1164
conservation-area,44000026,44000026,government-organisation:D1342
conservation-area,44000027,44000027,government-organisation:PB1164
conservation-area,44000027,44000027,government-organisation:D1342
conservation-area,44000028,44000028,government-organisation:PB1164
conservation-area,44000028,44000028,government-organisation:D1342
conservation-area,44000029,44000029,government-organisation:PB1164
