dataset,endpoint,resource,column,field,start-date,end-date,entry-date
educational-establishment,,,EstablishmentName,name,,,
educational-establishment,,,EstablishmentNumber,educational-establishment-number,,,
educational-establishment,,,EstablishmentStatus (code),educational-establishment-status,,,
educational-establishment,,,TypeOfEstablishment (code),educational-establishment-type,,,
educational-establishment,,,OpenDate,start-date,,,
educational-establishment,,,DistrictAdministrative (code),local-authority-district,,,
educational-establishment,,,SchoolCapacity,school-capacity,,,
educational-establishment,,,UPRN,uprn,,,
educational-establishment,,,SchoolWebsite,website-url,,,
educational-establishment,,,AdministrativeWard (code),ward,,,
educational-establishment,,,LastChangedDate,entry-date,,,
educational-establishment,,,CloseDate,end-date,,,
educational-establishment,,,URN,reference,,,
educational-establishment,,,Easting,GeoX,,,
educational-establishment,,,Northing,GeoY,,,
