prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
planning-application,,,,local-authority:DNC,23/00002/FUL,10000000000,,,
planning-application,,,,local-authority:DNC,23/00004/3FUL,10000000001,,,
planning-application,,,,local-authority:DNC,23/00005/LBC,10000000002,,,
planning-application,,,,local-authority:DNC,23/00006/ADV,10000000003,,,
planning-application,,,,local-authority:DNC,23/00008/FUL,10000000004,,,
planning-application,,,,local-authority:DNC,23/00009/FUL,10000000005,,,
planning-application,,,,local-authority:DNC,23/00023/FUL,10000000006,,,
planning-application,,,,local-authority:DNC,23/00024/FUL,10000000007,,,
planning-application,,,,local-authority:DNC,23/00026/FUL,10000000008,,,
planning-application,,,,local-authority:DNC,23/00027/FUL,10000000009,,,
planning-application,,,,local-authority:DNC,23/00029/FUL,10000000010,,,
planning-application,,,,local-authority:DNC,23/00030/FUL,10000000011,,,
planning-application,,,,local-authority:DNC,23/00031/FULM,10000000012,,,
planning-application,,,,local-authority:DNC,23/00034/FUL,10000000013,,,
planning-application,,,,local-authority:DNC,23/00035/FUL,10000000014,,,
planning-application,,,,local-authority:DNC,23/00036/FUL,10000000015,,,
planning-application,,,,local-authority:DNC,23/00039/FUL,10000000016,,,
planning-application,,,,local-authority:DNC,23/00040/TPO,10000000017,,,
planning-application,,,,local-authority:DNC,23/00041/FUL,10000000018,,,
planning-application,,,,local-authority:DNC,23/00043/TPO,10000000019,,,
planning-application,,,,local-authority:DNC,23/00044/COU,10000000020,,,
planning-application,,,,local-authority:DNC,23/00048/FUL,10000000021,,,
planning-application,,,,local-authority:DNC,23/00049/3FUL,10000000022,,,
planning-application,,,,local-authority:DNC,23/00052/FUL,10000000023,,,
planning-application,,,,local-authority:DNC,23/00053/FUL,10000000024,,,
planning-application,,,,local-authority:DNC,23/00054/FUL,10000000025,,,
planning-application,,,,local-authority:DNC,23/00055/FUL,10000000026,,,
planning-application,,,,local-authority:DNC,23/00056/LBC,10000000027,,,
planning-application,,,,local-authority:DNC,23/00058/FUL,10000000028,,,
planning-application,,,,local-authority:DNC,23/00061/3FUL,10000000029,,,
planning-application,,,,local-authority:DNC,23/00062/3FUL,10000000030,,,
planning-application,,,,local-authority:DNC,23/00063/FUL,10000000031,,,
planning-application,,,,local-authority:DNC,23/00064/FUL,10000000032,,,
planning-application,,,,local-authority:DNC,23/00068/FUL,10000000033,,,
planning-application,,,,local-authority:DNC,23/00070/FUL,10000000034,,,
planning-application,,,,local-authority:DNC,23/00071/FUL,10000000035,,,
planning-application,,,,local-authority:DNC,23/00072/FUL,10000000036,,,
planning-application,,,,local-authority:DNC,23/00073/FUL,10000000037,,,
planning-application,,,,local-authority:DNC,23/00075/FUL,10000000038,,,
planning-application,,,,local-authority:DNC,23/00078/FUL,10000000039,,,
planning-application,,,,local-authority:DNC,23/00079/FUL,10000000040,,,
planning-application,,,,local-authority:DNC,23/00080/FUL,10000000041,,,
planning-application,,,,local-authority:DNC,23/00082/FUL,10000000042,,,
