dataset,entity-minimum,entity-maximum,organisation
planning-application,10000001126,10000008485,local-authority:ADU
planning-application,10000097443,10000097504,local-authority:ADU
planning-application,10000098460,10000098531,local-authority:ADU
planning-application,10000099637,10000099727,local-authority:ADU
planning-application,10000100633,10000100656,local-authority:ADU
planning-application,10000021615,10000097442,local-authority:CMD
planning-application,10000097623,10000097671,local-authority:CMD
planning-application,10000098690,10000099636,local-authority:CMD
planning-application,10000099728,10000100408,local-authority:CMD
planning-application,10000100657,10000100890,local-authority:CMD
planning-application,10000000000,10000001125,local-authority:DNC
planning-application,10000097672,10000098459,local-authority:DNC
planning-application,10000008486,10000021614,local-authority:WOT
planning-application,10000097505,10000097622,local-authority:WOT
planning-application,10000098532,10000098689,local-authority:WOT
planning-application,10000100409,10000100632,local-authority:WOT
planning-application,10000100891,10000100988,local-authority:WOT
