dataset,entity-minimum,entity-maximum,organisation
planning-application-condition,71000000,71005304,local-authority:DNC
planning-application-condition,73003279,73003279,local-authority:DNC
planning-application-condition,73003279,73003280,local-authority:DNC
planning-application-condition,73003280,73003281,local-authority:DNC
planning-application-condition,73003281,73003282,local-authority:DNC
planning-application-condition,73003282,73003283,local-authority:DNC
planning-application-condition,73003283,73003284,local-authority:DNC
planning-application-condition,73003284,73003285,local-authority:DNC
planning-application-condition,73003285,73003286,local-authority:DNC
planning-application-condition,73003286,73003287,local-authority:DNC
planning-application-condition,73003287,73003288,local-authority:DNC
planning-application-condition,73003288,73003289,local-authority:DNC
planning-application-condition,73003289,73003290,local-authority:DNC
planning-application-condition,73003290,73003291,local-authority:DNC
planning-application-condition,73003291,73003292,local-authority:DNC
planning-application-condition,73003292,73003293,local-authority:DNC
planning-application-condition,73003293,73003294,local-authority:DNC
planning-application-condition,73003294,73003295,local-authority:DNC
planning-application-condition,73003295,73003296,local-authority:DNC
planning-application-condition,73003296,73003297,local-authority:DNC
planning-application-condition,73003297,73003298,local-authority:DNC
planning-application-condition,73003298,73003299,local-authority:DNC
planning-application-condition,73003299,73003300,local-authority:DNC
planning-application-condition,73003300,73003301,local-authority:DNC
planning-application-condition,73003301,73003302,local-authority:DNC
planning-application-condition,73003302,73003303,local-authority:DNC
planning-application-condition,73003303,73003304,local-authority:DNC
planning-application-condition,73003304,73003305,local-authority:DNC
planning-application-condition,73003305,73003306,local-authority:DNC
planning-application-condition,73003306,73003307,local-authority:DNC
planning-application-condition,73003307,73003308,local-authority:DNC
planning-application-condition,73003308,73003309,local-authority:DNC
planning-application-condition,73003309,73003310,local-authority:DNC
planning-application-condition,73003310,73003311,local-authority:DNC
planning-application-condition,73003311,73003312,local-authority:DNC
planning-application-condition,73003312,73003313,local-authority:DNC
planning-application-condition,73003313,73003314,local-authority:DNC
planning-application-condition,73003314,73003315,local-authority:DNC
planning-application-condition,73003315,73003316,local-authority:DNC
planning-application-condition,73003316,73003317,local-authority:DNC
planning-application-condition,73003317,73003318,local-authority:DNC
planning-application-condition,73003318,73003319,local-authority:DNC
planning-application-condition,73003319,73003320,local-authority:DNC
planning-application-condition,73003320,73003321,local-authority:DNC
planning-application-condition,73003321,73003322,local-authority:DNC
planning-application-condition,73003322,73003323,local-authority:DNC
planning-application-condition,73003323,73003324,local-authority:DNC
planning-application-condition,73003324,73003325,local-authority:DNC
planning-application-condition,73003325,73003326,local-authority:DNC
planning-application-condition,73003326,73003327,local-authority:DNC
planning-application-condition,73003327,73003328,local-authority:DNC
planning-application-condition,73003328,73003329,local-authority:DNC
planning-application-condition,73003329,73003330,local-authority:DNC
planning-application-condition,73003330,73003331,local-authority:DNC
planning-application-condition,73003331,73003332,local-authority:DNC
planning-application-condition,73003332,73003333,local-authority:DNC
planning-application-condition,73003333,73003334,local-authority:DNC
planning-application-condition,73003334,73003335,local-authority:DNC
planning-application-condition,73003335,73003336,local-authority:DNC
planning-application-condition,73003336,73003337,local-authority:DNC
planning-application-condition,73003337,73003338,local-authority:DNC
planning-application-condition,73003338,73003339,local-authority:DNC
planning-application-condition,73003339,73003340,local-authority:DNC
planning-application-condition,73003340,73003341,local-authority:DNC
planning-application-condition,73003341,73003342,local-authority:DNC
